id,url,levels,word,translation,part_of_speech,ipa,audio_link
blotter,https://www.oxfordlearnersdictionaries.com/definition/english/blotter,C2,blotter,giấy thấm,noun,/ˈblɒtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blott/blotter__gb_1.mp3
bobby,https://www.oxfordlearnersdictionaries.com/definition/english/bobby_1,C2,bobby,bobby,noun,/ˈbɒbi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bob/bobby/bobby__gb_2.mp3
body_armour,https://www.oxfordlearnersdictionaries.com/definition/english/body-armour,C2,body armour,áo giáp,noun,/ˈbɒdi ɑːmə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bod/body_/body_armour_1_gb_1.mp3
billy_club,https://www.oxfordlearnersdictionaries.com/definition/english/billy-club,C2,billy club,câu lạc bộ Billy,noun,/ˈbɪli klʌb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bil/billy/billy_club_1_gb_1.mp3
black_maria,https://www.oxfordlearnersdictionaries.com/definition/english/black-maria,C2,Black Maria,Maria đen,noun,/ˌblæk məˈraɪə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/black/black_maria_1_gb_1.mp3
beat,https://www.oxfordlearnersdictionaries.com/definition/english/beat_2,C2,beat,tiết tấu,noun,/biːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beat_/beat__gb_3.mp3
body_search,https://www.oxfordlearnersdictionaries.com/definition/english/body-search,C1,body search,tìm kiếm cơ thể,noun,/ˈbɒdi sɜːtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bod/body_/body_search_1_gb_1.mp3
breathalyse,https://www.oxfordlearnersdictionaries.com/definition/english/breathalyse,C2,breathalyse,phân tích hơi thở,verb,/ˈbreθəlaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/breat/breathalyse__gb_1.mp3
baton,https://www.oxfordlearnersdictionaries.com/definition/english/baton,C2,baton,dùi cui,noun,/ˈbætɒn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/baton/baton__gb_4.mp3
breathalyser,https://www.oxfordlearnersdictionaries.com/definition/english/breathalyser,C2,breathalyser,máy phân tích hơi thở,noun,/ˈbreθəlaɪzə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/breat/breathalyser__gb_1.mp3
bust,https://www.oxfordlearnersdictionaries.com/definition/english/bust_2,C2,bust,bật ra,noun,/bʌst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bus/bust_/bust__gb_2.mp3
