id,url,levels,word,translation,part_of_speech,ipa,audio_link
abide_by,https://www.oxfordlearnersdictionaries.com/definition/english/abide-by,C2,abide by,tuân theo,phrasal verb,,
accommodate,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate,C1,accommodate,chứa,verb,/əˈkɒmədeɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accommodate__gb_1.mp3
acquiesce,https://www.oxfordlearnersdictionaries.com/definition/english/acquiesce,C2,acquiesce,bằng lòng,verb,/ˌækwiˈes/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acq/acqui/acquiesce__gb_1.mp3
acceptable,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable,B2,acceptable,chấp nhận được,adjective,/əkˈseptəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/acceptable__gb_1.mp3
acceptance,https://www.oxfordlearnersdictionaries.com/definition/english/acceptance,C1,acceptance,sự chấp nhận,noun,/əkˈseptəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/acceptance__gb_1.mp3
accord,https://www.oxfordlearnersdictionaries.com/definition/english/accord_1,C2,accord,hiệp định,noun,/əˈkɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accord__gb_1.mp3
accommodation,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation,C2,accommodation,chỗ ở,noun,/əˌkɒməˈdeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accommodation__gb_2.mp3
accept,https://www.oxfordlearnersdictionaries.com/definition/english/accept,B1,accept,chấp nhận,verb,/əkˈsept/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/accept__gb_3.mp3
accede,https://www.oxfordlearnersdictionaries.com/definition/english/accede,C2,accede,gia nhập,verb,/əkˈsiːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acced/accede__gb_1.mp3
acceptably,https://www.oxfordlearnersdictionaries.com/definition/english/acceptably,B2,acceptably,chấp nhận được,adverb,/əkˈseptəbli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/acceptably__gb_1.mp3
acquiescence,https://www.oxfordlearnersdictionaries.com/definition/english/acquiescence,C2,acquiescence,sự bằng lòng,noun,/ˌækwiˈesns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acq/acqui/acquiescence__gb_1.mp3
acquiescent,https://www.oxfordlearnersdictionaries.com/definition/english/acquiescent,C2,acquiescent,bằng lòng,adjective,/ˌækwiˈesnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acq/acqui/acquiescent__gb_1.mp3
agreed,https://www.oxfordlearnersdictionaries.com/definition/english/agreed,B2,agreed,đã đồng ý,adjective,/əˈɡriːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agree/agreed__gb_2.mp3
agree,https://www.oxfordlearnersdictionaries.com/definition/english/agree,A2,agree,đồng ý,verb,/əˈɡriː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agree/agree__gb_1.mp3
alliance,https://www.oxfordlearnersdictionaries.com/definition/english/alliance,C1,alliance,liên minh,noun,/əˈlaɪəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allia/alliance__gb_1.mp3
a_done_deal,https://www.oxfordlearnersdictionaries.com/definition/english/done_1,C2,a done deal,một thỏa thuận đã xong,adjective,/dʌn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/don/done_/done__gb_2.mp3
agreement,https://www.oxfordlearnersdictionaries.com/definition/english/agreement,B1,agreement,hiệp định,noun,/əˈɡriːmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agree/agreement__gb_1.mp3
agree_to_differ/disagree,https://www.oxfordlearnersdictionaries.com/definition/english/agree,C2,agree to differ/disagree,đồng ý khác/không đồng ý,verb,/əˈɡriː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agree/agree__gb_1.mp3
ally,https://www.oxfordlearnersdictionaries.com/definition/english/ally_3,C2,ally,đồng minh,verb,/əˈlaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/ally_/ally__gb_1.mp3
alright,https://www.oxfordlearnersdictionaries.com/definition/english/alright_1,A2,alright,được rồi,exclamation,/ɔːlˈraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alr/alrig/alright__gb_2.mp3
all_right,https://www.oxfordlearnersdictionaries.com/definition/english/all-right_1,A2,all right,được rồi,exclamation,/ɔːl ˈraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all_r/all_right_1_gb_2.mp3
arrangement,https://www.oxfordlearnersdictionaries.com/definition/english/arrangement,B2,arrangement,sắp xếp,noun,/əˈreɪndʒmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arr/arran/arrangement__gb_1.mp3
allow,https://www.oxfordlearnersdictionaries.com/definition/english/allow,C2,allow,cho phép,verb,/əˈlaʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allow/allow__gb_1.mp3
bargain,https://www.oxfordlearnersdictionaries.com/definition/english/bargain_1,B2,bargain,mặc cả,noun,/ˈbɑːɡən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barga/bargain__gb_3.mp3
as_one,https://www.oxfordlearnersdictionaries.com/definition/english/one_1,C2,as one,như một,"number,determiner",/wʌn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/one/one__/one__gb_2.mp3
be_(a)_party_to_something,https://www.oxfordlearnersdictionaries.com/definition/english/party_1,C2,be (a) party to something,là (a) tiệc tùng với cái gì đó,noun,/ˈpɑːti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/party/party__gb_2.mp3
