id,url,levels,word,translation,part_of_speech,ipa,audio_link
bakery,https://www.oxfordlearnersdictionaries.com/definition/english/bakery,B2,bakery,tiệm bánh,noun,/ˈbeɪkəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/baker/bakery__gb_1.mp3
barber,https://www.oxfordlearnersdictionaries.com/definition/english/barber,B2,barber,thợ cắt tóc,noun,/ˈbɑːbə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barbe/barber__gb_1.mp3
baker,https://www.oxfordlearnersdictionaries.com/definition/english/baker,B1,baker,thợ làm bánh,noun,/ˈbeɪkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/baker/baker__gb_2.mp3
bakeshop,https://www.oxfordlearnersdictionaries.com/definition/english/bakeshop,B2,bakeshop,tiệm bánh nướng,noun,/ˈbeɪkʃɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/bakes/bakeshop__gb_2.mp3
antique,https://www.oxfordlearnersdictionaries.com/definition/english/antique_2,B2,antique,đồ cổ,noun,/ænˈtiːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/antiq/antique__gb_1.mp3
bookshop,https://www.oxfordlearnersdictionaries.com/definition/english/bookshop,A2,bookshop,hiệu sách,noun,/ˈbʊkʃɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/books/bookshop__gb_2.mp3
bookie,https://www.oxfordlearnersdictionaries.com/definition/english/bookie,C2,bookie,người đánh cá,noun,/ˈbʊki/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/booki/bookie__gb_2.mp3
bookmaking,https://www.oxfordlearnersdictionaries.com/definition/english/bookmaking,C2,bookmaking,nghề cá cược,noun,/ˈbʊkmeɪkɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/bookm/bookmaking__gb_1.mp3
betting_shop,https://www.oxfordlearnersdictionaries.com/definition/english/betting-shop,C2,betting shop,cửa hàng cá cược,noun,/ˈbetɪŋ ʃɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bet/betti/betting_shop_1_gb_1.mp3
bookstall,https://www.oxfordlearnersdictionaries.com/definition/english/bookstall,C1,bookstall,hiệu sách,noun,/ˈbʊkstɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/books/bookstall__gb_2.mp3
chain,https://www.oxfordlearnersdictionaries.com/definition/english/chain_1,B1,chain,xích,noun,/tʃeɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chain/chain__gb_2.mp3
chain_store,https://www.oxfordlearnersdictionaries.com/definition/english/chain-store,C1,chain store,chuỗi cửa hàng,noun,/ˈtʃeɪn stɔː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chain/chain_store_1_gb_1.mp3
