id,url,levels,word,translation,part_of_speech,ipa,audio_link
cradle,https://www.oxfordlearnersdictionaries.com/definition/english/cradle_1,C1,cradle,cái nôi,noun,/ˈkreɪdl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cra/cradl/cradle__gb_1.mp3
baby,https://www.oxfordlearnersdictionaries.com/definition/english/baby_1,A1,baby,Đứa bé,noun,/ˈbeɪbi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bab/baby_/baby__gb_2.mp3
bottle,https://www.oxfordlearnersdictionaries.com/definition/english/bottle_1,B2,bottle,cái chai,noun,/ˈbɒtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/bottl/bottle__gb_3.mp3
buggy,https://www.oxfordlearnersdictionaries.com/definition/english/buggy_1,C2,buggy,có xe lôi,noun,/ˈbʌɡi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bug/buggy/buggy__gb_4.mp3
cot,https://www.oxfordlearnersdictionaries.com/definition/english/cot,C1,cot,cũi,noun,/kɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cot/cot__/cot__gb_1.mp3
baby_buggy,https://www.oxfordlearnersdictionaries.com/definition/english/baby-buggy,C2,baby buggy,bé xe đẩy,noun,/ˈbeɪbi bʌɡi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bab/baby_/baby_buggy_1_gb_1.mp3
carrycot,https://www.oxfordlearnersdictionaries.com/definition/english/carrycot,C2,carrycot,cũi,noun,/ˈkærikɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carry/carrycot__gb_1.mp3
babyhood,https://www.oxfordlearnersdictionaries.com/definition/english/babyhood,C1,babyhood,thời thơ ấu,noun,/ˈbeɪbihʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bab/babyh/babyhood__gb_1.mp3
bottle-feed,https://www.oxfordlearnersdictionaries.com/definition/english/bottle-feed,C1,bottle-feed,bú bình,verb,/ˈbɒtl fiːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/bottl/bottle_feed_1_gb_1.mp3
breastfeed,https://www.oxfordlearnersdictionaries.com/definition/english/breastfeed,C1,breastfeed,cho con bú,verb,/ˈbrestfiːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/breas/breastfeed__gb_1.mp3
