id,url,levels,word,translation,part_of_speech,ipa,audio_link
ambassador,https://www.oxfordlearnersdictionaries.com/definition/english/ambassador,C1,ambassador,đại sứ,noun,/æmˈbæsədə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amb/ambas/ambassador__gb_1.mp3
accountant,https://www.oxfordlearnersdictionaries.com/definition/english/accountant,B2,accountant,kế toán viên,noun,/əˈkaʊntənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountant__gb_1.mp3
actor,https://www.oxfordlearnersdictionaries.com/definition/english/actor,A1,actor,diễn viên,noun,/ˈæktə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/actor/actor__gb_2.mp3
actuary,https://www.oxfordlearnersdictionaries.com/definition/english/actuary,C2,actuary,chuyên gia tính toán,noun,/ˈæktʃuəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/actua/actuary__gb_1.mp3
aide,https://www.oxfordlearnersdictionaries.com/definition/english/aide,C1,aide,phụ tá,noun,/eɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aid/aid__/aid__gb_2.mp3
actress,https://www.oxfordlearnersdictionaries.com/definition/english/actress,A1,actress,nữ diễn viên,noun,/ˈæktrəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/actre/actress__gb_1.mp3
air_hostess,https://www.oxfordlearnersdictionaries.com/definition/english/air-hostess,C1,air hostess,tiếp viên hàng không,noun,/ˈeə həʊstəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/air_h/air_hostess_1_gb_1.mp3
analyst,https://www.oxfordlearnersdictionaries.com/definition/english/analyst,B2,analyst,nhà phân tích,noun,/ˈænəlɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ana/analy/analyst__gb_1.mp3
air_traffic_controller,https://www.oxfordlearnersdictionaries.com/definition/english/air-traffic-controller,C1,air traffic controller,người điều khiển không lưu,noun,/ˌeə træfɪk kənˈtrəʊlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/air_t/air_traffic_controller_1_gb_1.mp3
archaeologist,https://www.oxfordlearnersdictionaries.com/definition/english/archaeologist,B2,archaeologist,nhà khảo cổ học,noun,/ˌɑːkiˈɒlədʒɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arc/archa/archaeologist__gb_1.mp3
