id,url,levels,word,translation,part_of_speech,ipa,audio_link
aioli,https://www.oxfordlearnersdictionaries.com/definition/english/aioli,C2,aioli,aioli,noun,/aɪˈəʊli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aio/aioli/aioli__gb_1.mp3
catsup,https://www.oxfordlearnersdictionaries.com/definition/english/catsup,C2,catsup,xúc xích,noun,/ˈkætsʌp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cat/catsu/catsup__gb_2.mp3
carbonara,https://www.oxfordlearnersdictionaries.com/definition/english/carbonara,C2,carbonara,carbonara,adjective,/ˌkɑːbəˈnɑːrə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carbo/carbonara__gb_1.mp3
coconut_milk,https://www.oxfordlearnersdictionaries.com/definition/english/coconut-milk,C1,coconut milk,nước cốt dừa,noun,/ˈkəʊkənʌt mɪlk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coc/cocon/coconut_milk_1_gb_1.mp3
balsamic_vinegar,https://www.oxfordlearnersdictionaries.com/definition/english/balsamic-vinegar,C2,balsamic vinegar,giấm balsamic,noun,/bɔːlˌsæmɪk ˈvɪnɪɡə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/balsa/balsamic_vinegar_1_gb_1.mp3
clotted_cream,https://www.oxfordlearnersdictionaries.com/definition/english/clotted-cream,C2,clotted cream,kem vón cục,noun,/ˌklɒtɪd ˈkriːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/clott/clotted_cream_1_gb_1.mp3
béchamel,https://www.oxfordlearnersdictionaries.com/definition/english/bechamel,C2,béchamel,béchamel,noun,/ˌbeɪʃəˈmel/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bec/becha/bechamel__gb_1.mp3
chutney,https://www.oxfordlearnersdictionaries.com/definition/english/chutney,C2,chutney,tương ớt,noun,/ˈtʃʌtni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chu/chutn/chutney__gb_2.mp3
béarnaise_sauce,https://www.oxfordlearnersdictionaries.com/definition/english/bearnaise-sauce,C2,Béarnaise sauce,Nước sốt Béarnaise,noun,/ˌbeɪəneɪz ˈsɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/bearn/bearnaise_sauce_1_gb_2.mp3
barbecue_sauce,https://www.oxfordlearnersdictionaries.com/definition/english/barbecue-sauce,C1,barbecue sauce,nước sốt thịt nướng,noun,/ˌbɑːbɪkjuː ˈsɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barbe/barbecue_sauce_1_gb_1.mp3
custard,https://www.oxfordlearnersdictionaries.com/definition/english/custard,C1,custard,sữa trứng,noun,/ˈkʌstəd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cus/custa/custard__gb_1.mp3
dressing,https://www.oxfordlearnersdictionaries.com/definition/english/dressing,C1,dressing,mặc quần áo,noun,/ˈdresɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dre/dress/dressing__gb_4.mp3
gravy,https://www.oxfordlearnersdictionaries.com/definition/english/gravy,C1,gravy,nước xốt,noun,/ˈɡreɪvi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/gravy/gravy__gb_1.mp3
dip,https://www.oxfordlearnersdictionaries.com/definition/english/dip_2,C1,dip,nhúng,noun,/dɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dip/dip__/dip__gb_2.mp3
ketchup,https://www.oxfordlearnersdictionaries.com/definition/english/ketchup,B2,ketchup,sốt cà chua,noun,/ˈketʃʌp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/ket/ketch/ketchup__gb_4.mp3
hollandaise_sauce,https://www.oxfordlearnersdictionaries.com/definition/english/hollandaise-sauce,C2,hollandaise sauce,nước sốt hollandaise,noun,/ˌhɒləndeɪz ˈsɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hol/holla/hollandaise_sauce_1_gb_1.mp3
maple_syrup,https://www.oxfordlearnersdictionaries.com/definition/english/maple-syrup,C2,maple syrup,xi-rô cây phong,noun,/ˌmeɪpl ˈsɪrəp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/map/maple/maple_syrup_1_gb_1.mp3
mayonnaise,https://www.oxfordlearnersdictionaries.com/definition/english/mayonnaise,C1,mayonnaise,mayonaise,noun,/ˌmeɪəˈneɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/may/mayon/mayonnaise__gb_1.mp3
mornay,https://www.oxfordlearnersdictionaries.com/definition/english/mornay,C2,mornay,buổi sáng,adjective,/ˈmɔːneɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mor/morna/mornay__gb_1.mp3
pesto,https://www.oxfordlearnersdictionaries.com/definition/english/pesto,C2,pesto,sốt pesto,noun,/ˈpestəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pes/pesto/pesto__gb_1.mp3
piri-piri,https://www.oxfordlearnersdictionaries.com/definition/english/piri-piri,C2,piri-piri,piri-piri,noun,/ˌpɪri ˈpɪri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pir/piri_/piri_piri_1_gb_1.mp3
mustard,https://www.oxfordlearnersdictionaries.com/definition/english/mustard_2,B2,mustard,mù tạt,noun,/ˈmʌstəd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mus/musta/mustard__gb_1.mp3
marinara,https://www.oxfordlearnersdictionaries.com/definition/english/marinara,C2,marinara,nước sốt marinara,noun,/ˌmærɪˈnɑːrə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marin/marinara__gb_2.mp3
relish,https://www.oxfordlearnersdictionaries.com/definition/english/relish_2,C2,relish,thưởng thức,noun,/ˈrelɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rel/relis/relish__gb_1.mp3
salad_dressing,https://www.oxfordlearnersdictionaries.com/definition/english/salad-dressing,C1,salad dressing,nước sốt salad,noun,/ˈsæləd dresɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sal/salad/salad_dressing_1_gb_1.mp3
salsa,https://www.oxfordlearnersdictionaries.com/definition/english/salsa,C2,salsa,salsa,noun,/ˈsælsə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sal/salsa/salsa__gb_1.mp3
salad_cream,https://www.oxfordlearnersdictionaries.com/definition/english/salad-cream,C2,salad cream,kem sa-lát,noun,/ˈsæləd kriːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sal/salad/salad_cream_1_gb_1.mp3
satay,https://www.oxfordlearnersdictionaries.com/definition/english/satay,C2,satay,sa tế,noun,/ˈsæteɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sat/satay/satay__gb_1.mp3
sauce,https://www.oxfordlearnersdictionaries.com/definition/english/sauce,A2,sauce,nước xốt,noun,/sɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sou/sourc/source__gb_2.mp3
soy_sauce,https://www.oxfordlearnersdictionaries.com/definition/english/soy-sauce,C2,soy sauce,nước tương,noun,/ˌsɔɪ ˈsɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/soy/soy_s/soy_sauce_1_gb_1.mp3
sambal,https://www.oxfordlearnersdictionaries.com/definition/english/sambal,C2,sambal,sambal,noun,/ˈsæmbæl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sam/samba/sambal__gb_1.mp3
syrup,https://www.oxfordlearnersdictionaries.com/definition/english/syrup,C1,syrup,xi-rô,noun,/ˈsɪrəp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/syr/syrup/syrup__gb_1.mp3
sweet-and-sour,https://www.oxfordlearnersdictionaries.com/definition/english/sweet-and-sour,C2,sweet-and-sour,chua ngọt,adjective,/ˌswiːt ən ˈsaʊə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/swe/sweet/sweet_and_sour_1_gb_1.mp3
tabasco™,https://www.oxfordlearnersdictionaries.com/definition/english/tabascotm,C2,Tabasco™,Tabasco™,noun,/təˈbæskəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tab/tabas/tabasco__gb_1.mp3
tomato_ketchup,https://www.oxfordlearnersdictionaries.com/definition/english/tomato-ketchup,B2,tomato ketchup,sốt cà chua,noun,/təˌmɑːtəʊ ˈketʃʌp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tom/tomat/tomato_ketchup_1_gb_2.mp3
vinegar,https://www.oxfordlearnersdictionaries.com/definition/english/vinegar,B2,vinegar,giấm,noun,/ˈvɪnɪɡə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/v/vin/vineg/vinegar__gb_1.mp3
worcestershire_sauce,https://www.oxfordlearnersdictionaries.com/definition/english/worcestershire-sauce,C2,Worcestershire sauce,nước sốt Worcestershire,noun,/ˌwʊstəʃə ˈsɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wor/worce/worcester_sauce_1_gb_2.mp3
tartare_sauce,https://www.oxfordlearnersdictionaries.com/definition/english/tartare-sauce,C2,tartare sauce,sốt tartare,noun,/ˌtɑːtə ˈsɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tar/tarta/tartare_sauce_1_gb_1.mp3
thousand_island_dressing,https://www.oxfordlearnersdictionaries.com/definition/english/thousand-island-dressing,C2,Thousand Island dressing,Trang phục của Thousand Island,noun,/ˌθaʊznd ˌaɪlənd ˈdresɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tho/thous/thousand_island_dressing_1_gb_1.mp3
white_sauce,https://www.oxfordlearnersdictionaries.com/definition/english/white-sauce,B2,white sauce,nước sốt trắng,noun,/ˌwaɪt ˈsɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/whi/white/white_sauce_1_gb_1.mp3
