id,url,levels,word,translation,part_of_speech,ipa,audio_link
accrue,https://www.oxfordlearnersdictionaries.com/definition/english/accrue,C2,accrue,tích lũy,verb,/əˈkruː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accru/accrue__gb_1.mp3
accumulate,https://www.oxfordlearnersdictionaries.com/definition/english/accumulate,C1,accumulate,tích lũy,verb,/əˈkjuːmjəleɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulate__gb_2.mp3
ameliorate,https://www.oxfordlearnersdictionaries.com/definition/english/ameliorate,C2,ameliorate,cải thiện,verb,/əˈmiːliəreɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ame/ameli/ameliorate__gb_1.mp3
accumulative,https://www.oxfordlearnersdictionaries.com/definition/english/accumulative,C2,accumulative,tích lũy,adjective,/əˈkjuːmjələtɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulative__gb_1.mp3
accrual,https://www.oxfordlearnersdictionaries.com/definition/english/accrual,C2,accrual,tích lũy,noun,/əˈkruːəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accru/accrual__gb_1.mp3
accumulation,https://www.oxfordlearnersdictionaries.com/definition/english/accumulation,C1,accumulation,sự tích lũy,noun,/əˌkjuːmjəˈleɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulation__gb_1.mp3
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_2,C2,advance,nâng cao,verb,/ədˈvɑːns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3
acceleration,https://www.oxfordlearnersdictionaries.com/definition/english/acceleration,C2,acceleration,tăng tốc,noun,/əkˌseləˈreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accel/acceleration__gb_1.mp3
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_1,C2,advance,nâng cao,noun,/ədˈvɑːns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3
accelerate,https://www.oxfordlearnersdictionaries.com/definition/english/accelerate,C1,accelerate,tăng tốc,verb,/əkˈseləreɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accel/accelerate__gb_1.mp3
appreciate,https://www.oxfordlearnersdictionaries.com/definition/english/appreciate,C1,appreciate,đánh giá,verb,/əˈpriːʃieɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appre/appreciate__gb_1.mp3
appreciation,https://www.oxfordlearnersdictionaries.com/definition/english/appreciation,C1,appreciation,đánh giá cao,noun,/əˌpriːʃiˈeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appre/appreciation__gb_1.mp3
augmentation,https://www.oxfordlearnersdictionaries.com/definition/english/augmentation,C2,augmentation,tăng thêm,noun,/ˌɔːɡmenˈteɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aug/augme/augmentation__gb_1.mp3
augment,https://www.oxfordlearnersdictionaries.com/definition/english/augment,C2,augment,tăng,verb,/ɔːɡˈment/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aug/augme/augment__gb_1.mp3
boost,https://www.oxfordlearnersdictionaries.com/definition/english/boost_1,B2,boost,tăng,verb,/buːst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/boost/boost__gb_2.mp3
boost,https://www.oxfordlearnersdictionaries.com/definition/english/boost_2,B2,boost,tăng,noun,/buːst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/boost/boost__gb_2.mp3
booster,https://www.oxfordlearnersdictionaries.com/definition/english/booster,C2,booster,tăng cường,noun,/ˈbuːstə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/boost/booster__gb_1.mp3
amelioration,https://www.oxfordlearnersdictionaries.com/definition/english/amelioration,C2,amelioration,sự cải thiện,noun,/əˌmiːliəˈreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ame/ameli/amelioration__gb_1.mp3
build_up,https://www.oxfordlearnersdictionaries.com/definition/english/build-up_1,B2,build up,xây dựng lên,phrasal verb,,
change,https://www.oxfordlearnersdictionaries.com/definition/english/change_2,A1,change,thay đổi,noun,/tʃeɪndʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chang/change__gb_2.mp3
change,https://www.oxfordlearnersdictionaries.com/definition/english/change_1,A1,change,thay đổi,verb,/tʃeɪndʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chang/change__gb_2.mp3
climb,https://www.oxfordlearnersdictionaries.com/definition/english/climb_2,C1,climb,leo,noun,/klaɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/climb/climb__gb_2.mp3
collapse,https://www.oxfordlearnersdictionaries.com/definition/english/collapse_2,B2,collapse,sụp đổ,noun,/kəˈlæps/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colla/collapse__gb_2.mp3
climb,https://www.oxfordlearnersdictionaries.com/definition/english/climb_1,B2,climb,leo,verb,/klaɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/climb/climb__gb_2.mp3
collapse,https://www.oxfordlearnersdictionaries.com/definition/english/collapse_1,B2,collapse,sụp đổ,verb,/kəˈlæps/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colla/collapse__gb_2.mp3
creep,https://www.oxfordlearnersdictionaries.com/definition/english/creep_2,C2,creep,leo,noun,/kriːp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/creep/creep__gb_1.mp3
creep_up,https://www.oxfordlearnersdictionaries.com/definition/english/creep-up,C2,creep up,leo lên,phrasal verb,,
build-up,https://www.oxfordlearnersdictionaries.com/definition/english/build-up_2,C2,build-up,xây dựng,noun,/ˈbɪld ʌp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bui/build/build_up_1_gb_1.mp3
cumulative,https://www.oxfordlearnersdictionaries.com/definition/english/cumulative,C2,cumulative,tích lũy,adjective,/ˈkjuːmjələtɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cum/cumul/cumulative__gb_1.mp3
decline,https://www.oxfordlearnersdictionaries.com/definition/english/decline_1,B2,decline,sự suy sụp,verb,/dɪˈklaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decli/decline__gb_2.mp3
deteriorate,https://www.oxfordlearnersdictionaries.com/definition/english/deteriorate,C1,deteriorate,xấu đi,verb,/dɪˈtɪəriəreɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/det/deter/deteriorate__gb_2.mp3
decrease,https://www.oxfordlearnersdictionaries.com/definition/english/decrease_2,B2,decrease,giảm bớt,noun,/ˈdiːkriːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decre/decrease__gb_3.mp3
decrease,https://www.oxfordlearnersdictionaries.com/definition/english/decrease_1,B2,decrease,giảm bớt,verb,/dɪˈkriːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decre/decrease__gb_3.mp3
