id,url,levels,word,translation,part_of_speech,ipa,audio_link
baked_goods,https://www.oxfordlearnersdictionaries.com/definition/english/baked-goods,C1,baked goods,đồ nướng,noun,/ˌbeɪkt ˈɡʊdz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/baked/baked_goods_1_gb_1.mp3
baking,https://www.oxfordlearnersdictionaries.com/definition/english/baking_1,C1,baking,nướng bánh,noun,/ˈbeɪkɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/bakin/baking__gb_3.mp3
apple_pie,https://www.oxfordlearnersdictionaries.com/definition/english/apple-pie,B2,apple pie,bánh táo,noun,/ˌæpl ˈpaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/apple/apple_pie_1_gb_1.mp3
barley_sugar,https://www.oxfordlearnersdictionaries.com/definition/english/barley-sugar,C2,barley sugar,đường lúa mạch,noun,/ˈbɑːli ʃʊɡə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barle/barley_sugar_1_gb_1.mp3
bakewell_tart,https://www.oxfordlearnersdictionaries.com/definition/english/bakewell-tart,C2,Bakewell tart,bánh tart nướng,noun,/ˌbeɪkwel ˈtɑːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/bakew/bakewell_tart_1_gb_3.mp3
baklava,https://www.oxfordlearnersdictionaries.com/definition/english/baklava,C2,baklava,baklava,noun,/ˈbɑːkləvə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/bakla/baklava__gb_2.mp3
acid_drop,https://www.oxfordlearnersdictionaries.com/definition/english/acid-drop,C2,acid drop,giọt axit,noun,/ˈæsɪd drɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aci/acid_/acid_drop_1_gb_1.mp3
banoffi_pie,https://www.oxfordlearnersdictionaries.com/definition/english/banoffi-pie,C2,banoffi pie,bánh banoffi,noun,/bəˌnɒfi ˈpaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/banof/banoffi_pie_1_gb_2.mp3
baked_alaska,https://www.oxfordlearnersdictionaries.com/definition/english/baked-alaska,C2,baked Alaska,Alaska nướng,noun,/ˌbeɪkt əˈlæskə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/baked/baked_alaska_1_gb_3.mp3
banana_split,https://www.oxfordlearnersdictionaries.com/definition/english/banana-split,C2,banana split,chuối chẻ,noun,/bəˌnɑːnə ˈsplɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/banan/banana_split_1_gb_1.mp3
biscotti,https://www.oxfordlearnersdictionaries.com/definition/english/biscotti,C2,biscotti,bánh biscotti,noun,/bɪˈskɒti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bis/bisco/biscotti__gb_1.mp3
blancmange,https://www.oxfordlearnersdictionaries.com/definition/english/blancmange,C2,blancmange,blancmange,noun,/bləˈmɒnʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/blanc/blancmange__gb_2.mp3
biscuit,https://www.oxfordlearnersdictionaries.com/definition/english/biscuit,A2,biscuit,bánh quy,noun,/ˈbɪskɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bis/biscu/biscuit__gb_2.mp3
bonbon,https://www.oxfordlearnersdictionaries.com/definition/english/bonbon,C2,bonbon,kẹo dẻo,noun,/ˈbɒnbɒn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bon/bonbo/bonbon__gb_2.mp3
boiled_sweet,https://www.oxfordlearnersdictionaries.com/definition/english/boiled-sweet,C2,boiled sweet,luộc ngọt,noun,/ˌbɔɪld ˈswiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boi/boile/boiled_sweet_1_gb_1.mp3
bread_pudding,https://www.oxfordlearnersdictionaries.com/definition/english/bread-pudding,C2,bread pudding,bánh mì pudding,noun,/ˌbred ˈpʊdɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/bread/bread_pudding_1_gb_1.mp3
blintz,https://www.oxfordlearnersdictionaries.com/definition/english/blintz,C2,blintz,chớp nhoáng,noun,/blɪnts/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bli/blint/blintz__gb_1.mp3
bombe,https://www.oxfordlearnersdictionaries.com/definition/english/bombe,C2,bombe,quả bom,noun,/bɒmb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bom/bombe/bombe__gb_3.mp3
brownie,https://www.oxfordlearnersdictionaries.com/definition/english/brownie,C2,brownie,bánh hạnh nhân,noun,/ˈbraʊni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brown/brownie__gb_1.mp3
