id,url,levels,word,translation,part_of_speech,ipa,audio_link
allied,https://www.oxfordlearnersdictionaries.com/definition/english/allied,C1,allied,liên minh,adjective,/ˈælaɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allie/allied__gb_1.mp3
ambassador,https://www.oxfordlearnersdictionaries.com/definition/english/ambassador,C1,ambassador,đại sứ,noun,/æmˈbæsədə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amb/ambas/ambassador__gb_1.mp3
bloc,https://www.oxfordlearnersdictionaries.com/definition/english/bloc,C2,bloc,khối,noun,/blɒk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/bloc_/bloc__gb_2.mp3
arena,https://www.oxfordlearnersdictionaries.com/definition/english/arena,C1,arena,đấu trường,noun,/əˈriːnə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/are/arena/arena__gb_1.mp3
ally,https://www.oxfordlearnersdictionaries.com/definition/english/ally_1,C1,ally,đồng minh,noun,/ˈælaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/ally_/ally__gb_1.mp3
axis,https://www.oxfordlearnersdictionaries.com/definition/english/axis,C2,axis,trục,noun,/ˈæksɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/axi/axis_/axis__gb_2.mp3
alliance,https://www.oxfordlearnersdictionaries.com/definition/english/alliance,C1,alliance,liên minh,noun,/əˈlaɪəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allia/alliance__gb_1.mp3
bilateral,https://www.oxfordlearnersdictionaries.com/definition/english/bilateral,C2,bilateral,song phương,adjective,/ˌbaɪˈlætərəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bil/bilat/bilateral__gb_1.mp3
arms_control,https://www.oxfordlearnersdictionaries.com/definition/english/arms-control,C2,arms control,kiểm soát vũ khí,noun,/ˈɑːmz kəntrəʊl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arm/arms_/arms_control_1_gb_1.mp3
balance_of_power,https://www.oxfordlearnersdictionaries.com/definition/english/balance-of-power,C2,balance of power,cân bằng quyền lực,noun,/ˌbæləns əv ˈpaʊə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/balan/balance_of_power_1_gb_1.mp3
broker,https://www.oxfordlearnersdictionaries.com/definition/english/broker_2,C2,broker,người môi giới,verb,/ˈbrəʊkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broke/broker__gb_1.mp3
border,https://www.oxfordlearnersdictionaries.com/definition/english/border_1,B1,border,ranh giới,noun,/ˈbɔːdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bor/borde/border__gb_1.mp3
compact,https://www.oxfordlearnersdictionaries.com/definition/english/compact_2,C2,compact,nhỏ gọn,noun,/ˈkɒmpækt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compa/compact__gb_2.mp3
confederation,https://www.oxfordlearnersdictionaries.com/definition/english/confederation,C2,confederation,liên minh,noun,/kənˌfedəˈreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconf/xconfederation__gb_1.mp3
colonialist,https://www.oxfordlearnersdictionaries.com/definition/english/colonialist_1,C2,colonialist,người theo chủ nghĩa thực dân,adjective,/kəˈləʊniəlɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colon/colonialist__gb_1.mp3
commerce,https://www.oxfordlearnersdictionaries.com/definition/english/commerce,C1,commerce,thương mại,noun,/ˈkɒmɜːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comme/commerce__gb_2.mp3
bridge-building,https://www.oxfordlearnersdictionaries.com/definition/english/bridge-building,C2,bridge-building,xây cầu,noun,/ˈbrɪdʒ bɪldɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/bridg/bridge_building_1_gb_1.mp3
customs_union,https://www.oxfordlearnersdictionaries.com/definition/english/customs-union,C2,customs union,liên minh hải quan,noun,/ˈkʌstəmz juːniən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cus/custo/customs_union_1_gb_1.mp3
