id,url,levels,word,translation,part_of_speech,ipa,audio_link
alcohol,https://www.oxfordlearnersdictionaries.com/definition/english/alcohol,B1,alcohol,rượu bia,noun,/ˈælkəhɒl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcohol__gb_1.mp3
activate,https://www.oxfordlearnersdictionaries.com/definition/english/activate,B2,activate,kích hoạt,verb,/ˈæktɪveɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/activate__gb_1.mp3
ammonia,https://www.oxfordlearnersdictionaries.com/definition/english/ammonia,C2,ammonia,amoniac,noun,/əˈməʊniə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amm/ammon/ammonia__gb_1.mp3
acid,https://www.oxfordlearnersdictionaries.com/definition/english/acid_1,B2,acid,axit,noun,/ˈæsɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aci/acid_/acid__gb_1.mp3
acid,https://www.oxfordlearnersdictionaries.com/definition/english/acid_2,C1,acid,axit,adjective,/ˈæsɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aci/acid_/acid__gb_1.mp3
acidity,https://www.oxfordlearnersdictionaries.com/definition/english/acidity,C1,acidity,tính axit,noun,/əˈsɪdəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aci/acidi/acidity__gb_1.mp3
activation,https://www.oxfordlearnersdictionaries.com/definition/english/activation,C1,activation,kích hoạt,noun,/ˌæktɪˈveɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/activation__gb_1.mp3
arsenic,https://www.oxfordlearnersdictionaries.com/definition/english/arsenic,C2,arsenic,thạch tín,noun,/ˈɑːsnɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ars/arsen/arsenic__gb_1.mp3
alkali,https://www.oxfordlearnersdictionaries.com/definition/english/alkali,C2,alkali,chất kiềm,noun,/ˈælkəlaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alk/alkal/alkali__gb_1.mp3
calcium,https://www.oxfordlearnersdictionaries.com/definition/english/calcium,B2,calcium,canxi,noun,/ˈkælsiəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/calci/calcium__gb_2.mp3
