id,url,levels,word,translation,part_of_speech,ipa,audio_link
blueprint,https://www.oxfordlearnersdictionaries.com/definition/english/blueprint,C2,blueprint,bản thiết kế,noun,/ˈbluːprɪnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/bluep/blueprint__gb_1.mp3
belt,https://www.oxfordlearnersdictionaries.com/definition/english/belt_1,C1,belt,thắt lưng,noun,/belt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/belt_/belt__gb_2.mp3
arm,https://www.oxfordlearnersdictionaries.com/definition/english/arm_1,C1,arm,cánh tay,noun,/ɑːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arm/arm__/arm__gb_2.mp3
bearing,https://www.oxfordlearnersdictionaries.com/definition/english/bearing,C2,bearing,mang,noun,/ˈbeərɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beari/bearing__gb_1.mp3
action,https://www.oxfordlearnersdictionaries.com/definition/english/action_1,C2,action,hoạt động,noun,/ˈækʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/actio/action__gb_1.mp3
blade,https://www.oxfordlearnersdictionaries.com/definition/english/blade,C1,blade,lưỡi dao,noun,/bleɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/blade/blade__gb_2.mp3
ball_bearing,https://www.oxfordlearnersdictionaries.com/definition/english/ball-bearing,C2,ball bearing,ổ bi,noun,/ˌbɔːl ˈbeərɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/ball_/ball_bearing_1_gb_1.mp3
bench-test,https://www.oxfordlearnersdictionaries.com/definition/english/bench-test_2,C2,bench-test,bài kiểm tra băng ghế dự bị,verb,/ˈbentʃ test/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ben/bench/bench_test_1_gb_1.mp3
belt_drive,https://www.oxfordlearnersdictionaries.com/definition/english/belt-drive,C2,belt drive,truyền động đai,noun,/ˈbelt draɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/belt_/belt_drive_1_gb_1.mp3
bench_test,https://www.oxfordlearnersdictionaries.com/definition/english/bench-test_1,C2,bench test,bài kiểm tra băng ghế dự bị,noun,/ˈbentʃ test/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ben/bench/bench_test_1_gb_1.mp3
