id,url,levels,word,translation,part_of_speech,ipa,audio_link
contour,https://www.oxfordlearnersdictionaries.com/definition/english/contour_2,C2,contour,đường viền,verb,/ˈkɒntʊə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontour__gb_1.mp3
bubble_bath,https://www.oxfordlearnersdictionaries.com/definition/english/bubble-bath,C2,bubble bath,tắm bong bóng,noun,/ˈbʌbl bɑːθ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bub/bubbl/bubble_bath_1_gb_1.mp3
balm,https://www.oxfordlearnersdictionaries.com/definition/english/balm,C2,balm,dầu thơm,noun,/bɑːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/balm_/balm__gb_2.mp3
concealer,https://www.oxfordlearnersdictionaries.com/definition/english/concealer,C2,concealer,kem che khuyết điểm,noun,/kənˈsiːlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconcealer__gb_1.mp3
bronzer,https://www.oxfordlearnersdictionaries.com/definition/english/bronzer,C2,bronzer,phấn tạo khối,noun,/ˈbrɒnzə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/bronz/bronzer__gb_1.mp3
blusher,https://www.oxfordlearnersdictionaries.com/definition/english/blusher,C2,blusher,phấn má hồng,noun,/ˈblʌʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/blush/blusher__gb_1.mp3
conditioner,https://www.oxfordlearnersdictionaries.com/definition/english/conditioner,C2,conditioner,điều hòa,noun,/kənˈdɪʃənə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcond/xconditioner__gb_1.mp3
cleanser,https://www.oxfordlearnersdictionaries.com/definition/english/cleanser,C2,cleanser,sữa rửa mặt,noun,/ˈklenzə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cle/clean/cleanser__gb_1.mp3
cold_cream,https://www.oxfordlearnersdictionaries.com/definition/english/cold-cream,C2,cold cream,kem lạnh,noun,/ˈkəʊld kriːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/cold_/cold_cream_1_gb_1.mp3
cotton_bud,https://www.oxfordlearnersdictionaries.com/definition/english/cotton-bud,C2,cotton bud,nụ bông,noun,/ˈkɒtn bʌd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cot/cotto/cotton_bud_1_gb_2.mp3
