id,url,levels,word,translation,part_of_speech,ipa,audio_link
announcer,https://www.oxfordlearnersdictionaries.com/definition/english/announcer,B2,announcer,phát thanh viên,noun,/əˈnaʊnsə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ann/annou/announcer__gb_1.mp3
censor,https://www.oxfordlearnersdictionaries.com/definition/english/censor_1,C1,censor,người kiểm duyệt,noun,/ˈsensə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cen/censo/censor__gb_1.mp3
anchor,https://www.oxfordlearnersdictionaries.com/definition/english/anchor_1,C1,anchor,neo,noun,/ˈæŋkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/anc/ancho/anchor__gb_1.mp3
anchorwoman,https://www.oxfordlearnersdictionaries.com/definition/english/anchorwoman,C2,anchorwoman,người dẫn chương trình,noun,/ˈæŋkəwʊmən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/anc/ancho/anchorman__gb_2.mp3
anchorman,https://www.oxfordlearnersdictionaries.com/definition/english/anchorman,C2,anchorman,người dẫn chương trình,noun,/ˈæŋkəmæn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/anc/ancho/anchorman__gb_1.mp3
broadcaster,https://www.oxfordlearnersdictionaries.com/definition/english/broadcaster,B2,broadcaster,đài phát thanh,noun,/ˈbrɔːdkɑːstə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broad/broadcaster__gb_1.mp3
city_editor,https://www.oxfordlearnersdictionaries.com/definition/english/city-editor,C2,city editor,biên tập viên thành phố,noun,/ˈsɪti edɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cit/city_/city_editor_1_gb_1.mp3
camera_operator,https://www.oxfordlearnersdictionaries.com/definition/english/camera-operator,B2,camera operator,nhà điều hành máy ảnh,noun,/ˈkæmrə ɒpəreɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cam/camer/camera_operator_1_gb_1.mp3
camerawoman,https://www.oxfordlearnersdictionaries.com/definition/english/camerawoman,B1,camerawoman,người quay phim,noun,/ˈkæmrəwʊmən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cam/camer/cameraman__gb_2.mp3
advice_columnist,https://www.oxfordlearnersdictionaries.com/definition/english/advice-columnist,C1,advice columnist,chuyên mục tư vấn,noun,/ədˈvaɪs kɒləmnɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advic/advice_columnist_1_gb_1.mp3
