id,url,levels,word,translation,part_of_speech,ipa,audio_link
chopping_board,https://www.oxfordlearnersdictionaries.com/definition/english/chopping-board,C1,chopping board,thớt,noun,/ˈtʃɒpɪŋ bɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cho/chopp/chopping_board_1_gb_1.mp3
burner,https://www.oxfordlearnersdictionaries.com/definition/english/burner,C2,burner,đầu đốt,noun,/ˈbɜːnə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bur/burne/burner__gb_1.mp3
baking_sheet,https://www.oxfordlearnersdictionaries.com/definition/english/baking-sheet,C2,baking sheet,tấm nướng bánh,noun,/ˈbeɪkɪŋ ʃiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/bakin/baking_sheet_1_gb_1.mp3
barbie,https://www.oxfordlearnersdictionaries.com/definition/english/barbie,C2,barbie,búp bê barbie,noun,/ˈbɑːbi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barbi/barbie__gb_2.mp3
cling_film,https://www.oxfordlearnersdictionaries.com/definition/english/cling-film,C2,cling film,màng bám,noun,/ˈklɪŋ fɪlm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/cling/cling_film_1_gb_1.mp3
barbecue,https://www.oxfordlearnersdictionaries.com/definition/english/barbecue_1,B1,barbecue,thịt nướng,noun,/ˈbɑːbɪkjuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barbe/barbecue__gb_2.mp3
air_fryer,https://www.oxfordlearnersdictionaries.com/definition/english/air-fryer,C1,air fryer,nồi chiên không khí,noun,/ˈeə fraɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/air_f/air_fryer_1_gb_1.mp3
blender,https://www.oxfordlearnersdictionaries.com/definition/english/blender,C1,blender,máy xay sinh tố,noun,/ˈblendə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ble/blend/blender__gb_1.mp3
balloon_whisk,https://www.oxfordlearnersdictionaries.com/definition/english/balloon-whisk,C2,balloon whisk,máy đánh bóng bay,noun,/bəˈluːn wɪsk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/ballo/balloon_whisk_1_gb_1.mp3
broiler,https://www.oxfordlearnersdictionaries.com/definition/english/broiler,C2,broiler,gà thịt,noun,/ˈbrɔɪlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broil/broiler__gb_1.mp3
cooker,https://www.oxfordlearnersdictionaries.com/definition/english/cooker,A2,cooker,nồi cơm điện,noun,/ˈkʊkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cooke/cooker__gb_2.mp3
cookware,https://www.oxfordlearnersdictionaries.com/definition/english/cookware,C2,cookware,dụng cụ nấu ăn,noun,/ˈkʊkweə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cookw/cookware__gb_1.mp3
corkscrew,https://www.oxfordlearnersdictionaries.com/definition/english/corkscrew_1,C1,corkscrew,cái mở nút chai,noun,/ˈkɔːkskruː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corks/corkscrew__gb_1.mp3
countertop,https://www.oxfordlearnersdictionaries.com/definition/english/countertop,B2,countertop,mặt bàn,noun,/ˈkaʊntətɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/count/countertop__gb_1.mp3
colander,https://www.oxfordlearnersdictionaries.com/definition/english/colander,C2,colander,cái chao,noun,/ˈkʌləndə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colan/colander__gb_1.mp3
counter,https://www.oxfordlearnersdictionaries.com/definition/english/counter_1,B2,counter,quầy tính tiền,noun,/ˈkaʊntə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/count/counter__gb_1.mp3
dish,https://www.oxfordlearnersdictionaries.com/definition/english/dish_1,A1,dish,món ăn,noun,/dɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/dish_/dish__gb_1.mp3
cocktail_stick,https://www.oxfordlearnersdictionaries.com/definition/english/cocktail-stick,C2,cocktail stick,thanh cocktail,noun,/ˈkɒkteɪl stɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coc/cockt/cocktail_stick_1_gb_1.mp3
convection_oven,https://www.oxfordlearnersdictionaries.com/definition/english/convection-oven,C2,convection oven,lò đối lưu,noun,/kənˈvekʃn ʌvn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconv/xconvection_oven_1_gb_1.mp3
dishwasher,https://www.oxfordlearnersdictionaries.com/definition/english/dishwasher,A2,dishwasher,máy rửa chén,noun,/ˈdɪʃwɒʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/dishw/dishwasher__gb_2.mp3
frying_pan,https://www.oxfordlearnersdictionaries.com/definition/english/frying-pan,B2,frying pan,chảo rán,noun,/ˈfraɪɪŋ pæn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fry/fryin/frying_pan_1_gb_1.mp3
garbage_disposal,https://www.oxfordlearnersdictionaries.com/definition/english/garbage-disposal,C1,garbage disposal,xử lý rác thải,noun,/ˈɡɑːbɪdʒ dɪspəʊzl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gar/garba/garbage_disposal_1_gb_1.mp3
fan_oven,https://www.oxfordlearnersdictionaries.com/definition/english/fan-oven,C2,fan oven,lò nướng có quạt,noun,/ˈfæn ʌvn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fan/fan_o/fan_oven_1_gb_1.mp3
food_processor,https://www.oxfordlearnersdictionaries.com/definition/english/food-processor,C1,food processor,máy chế biến thực phẩm,noun,/ˈfuːd prəʊsesə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/food_/food_processor_1_gb_1.mp3
fryer,https://www.oxfordlearnersdictionaries.com/definition/english/fryer,B2,fryer,nồi chiên,noun,/ˈfraɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fry/fryer/fryer__gb_1.mp3
