id,url,levels,word,translation,part_of_speech,ipa,audio_link
aisle,https://www.oxfordlearnersdictionaries.com/definition/english/aisle,B2,aisle,lối đi,noun,/aɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ais/aisle/aisle__gb_1.mp3
barter,https://www.oxfordlearnersdictionaries.com/definition/english/barter_1,C1,barter,trao đổi hàng hóa,noun,/ˈbɑːtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barte/barter__gb_1.mp3
basket,https://www.oxfordlearnersdictionaries.com/definition/english/basket,B2,basket,rổ,noun,/ˈbɑːskɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/baske/basket__gb_6.mp3
bargain,https://www.oxfordlearnersdictionaries.com/definition/english/bargain_1,B2,bargain,mặc cả,noun,/ˈbɑːɡən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barga/bargain__gb_3.mp3
article,https://www.oxfordlearnersdictionaries.com/definition/english/article,B2,article,bài báo,noun,/ˈɑːtɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/art/artic/article__gb_1.mp3
assistant,https://www.oxfordlearnersdictionaries.com/definition/english/assistant_1,A2,assistant,trợ lý,noun,/əˈsɪstənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assis/assistant__gb_1.mp3
barter,https://www.oxfordlearnersdictionaries.com/definition/english/barter_2,C1,barter,trao đổi hàng hóa,verb,/ˈbɑːtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barte/barter__gb_1.mp3
bargain,https://www.oxfordlearnersdictionaries.com/definition/english/bargain_2,C1,bargain,mặc cả,verb,/ˈbɑːɡən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barga/bargain__gb_3.mp3
bag,https://www.oxfordlearnersdictionaries.com/definition/english/bag_1,A1,bag,cái túi,noun,/bæɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bag/bag__/bag__gb_2.mp3
bargain_basement,https://www.oxfordlearnersdictionaries.com/definition/english/bargain-basement,C2,bargain basement,tầng hầm mặc cả,noun,/ˌbɑːɡən ˈbeɪsmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barga/bargain_basement_1_gb_1.mp3
