id,url,levels,word,translation,part_of_speech,ipa,audio_link
baking,https://www.oxfordlearnersdictionaries.com/definition/english/baking_1,B1,baking,nướng bánh,noun,/ˈbeɪkɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/bakin/baking__gb_3.mp3
baking_powder,https://www.oxfordlearnersdictionaries.com/definition/english/baking-powder,C2,baking powder,bột nở,noun,/ˈbeɪkɪŋ paʊdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/bakin/baking_powder_1_gb_1.mp3
batter,https://www.oxfordlearnersdictionaries.com/definition/english/batter_2,C1,batter,bột,noun,/ˈbætə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/batte/batter__gb_1.mp3
boil,https://www.oxfordlearnersdictionaries.com/definition/english/boil_1,A2,boil,đun sôi,verb,/bɔɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boi/boil_/boil__gb_2.mp3
barbecue,https://www.oxfordlearnersdictionaries.com/definition/english/barbecue_2,B1,barbecue,thịt nướng,verb,/ˈbɑːbɪkjuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barbe/barbecue__gb_2.mp3
blend,https://www.oxfordlearnersdictionaries.com/definition/english/blend_1,C1,blend,trộn,verb,/blend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ble/blend/blend__gb_2.mp3
bake,https://www.oxfordlearnersdictionaries.com/definition/english/bake_1,B1,bake,nướng,verb,/beɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/bake_/bake__gb_4.mp3
beat,https://www.oxfordlearnersdictionaries.com/definition/english/beat_1,B2,beat,tiết tấu,verb,/biːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beat_/beat__gb_3.mp3
boil_over,https://www.oxfordlearnersdictionaries.com/definition/english/boil-over,C2,boil over,đun sôi,phrasal verb,,
broil,https://www.oxfordlearnersdictionaries.com/definition/english/broil,C2,broil,nướng,verb,/brɔɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broil/broil__gb_1.mp3
chop,https://www.oxfordlearnersdictionaries.com/definition/english/chop_1,B2,chop,chặt,verb,/tʃɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cho/chop_/chop__gb_6.mp3
carve,https://www.oxfordlearnersdictionaries.com/definition/english/carve,C1,carve,khắc,verb,/kɑːv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carve/carve__gb_2.mp3
braise,https://www.oxfordlearnersdictionaries.com/definition/english/braise,C2,braise,om,verb,/breɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/brais/braise__gb_1.mp3
baste,https://www.oxfordlearnersdictionaries.com/definition/english/baste,C2,baste,nếm thử,verb,/beɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/baste/baste__gb_2.mp3
bouillon_cube,https://www.oxfordlearnersdictionaries.com/definition/english/bouillon-cube,C2,bouillon cube,khối nước dùng,noun,/ˈbuːjɒn kjuːb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bou/bouil/bouillon_cube_1_gb_1.mp3
convenience_food,https://www.oxfordlearnersdictionaries.com/definition/english/convenience-food,C1,convenience food,thực phẩm tiện lợi,noun,/kənˈviːniəns fuːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconv/xconvenience_food_1_gb_1.mp3
cook,https://www.oxfordlearnersdictionaries.com/definition/english/cook_1,A1,cook,đầu bếp,verb,/kʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cook_/cook__gb_3.mp3
cookbook,https://www.oxfordlearnersdictionaries.com/definition/english/cookbook,B1,cookbook,sách dạy nấu ăn,noun,/ˈkʊkbʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cookb/cookbook__gb_1.mp3
chargrill,https://www.oxfordlearnersdictionaries.com/definition/english/chargrill,C2,chargrill,lò nướng than,verb,/ˈtʃɑːɡrɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/charg/chargrill__gb_1.mp3
cookery,https://www.oxfordlearnersdictionaries.com/definition/english/cookery,B1,cookery,nấu ăn,noun,/ˈkʊkəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cooke/cookery__gb_1.mp3
culinary,https://www.oxfordlearnersdictionaries.com/definition/english/culinary,C2,culinary,ẩm thực,adjective,/ˈkʌlɪnəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cul/culin/culinary__gb_1.mp3
cookery_book,https://www.oxfordlearnersdictionaries.com/definition/english/cookery-book,B1,cookery book,sách nấu ăn,noun,/ˈkʊkəri bʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cooke/cookery_book_1_gb_1.mp3
dice,https://www.oxfordlearnersdictionaries.com/definition/english/dice_2,C2,dice,xúc xắc,verb,/daɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dic/dice_/dice__gb_1.mp3
cooking,https://www.oxfordlearnersdictionaries.com/definition/english/cooking_1,A1,cooking,nấu ăn,noun,/ˈkʊkɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cooki/cooking__gb_1.mp3
dressed,https://www.oxfordlearnersdictionaries.com/definition/english/dressed,C2,dressed,mặc quần áo,adjective,/drest/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dre/dress/dressed__gb_3.mp3
deep-fry,https://www.oxfordlearnersdictionaries.com/definition/english/deep-fry,C1,deep-fry,chiên ngập dầu,verb,/ˌdiːp ˈfraɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dee/deep_/deep_fry_1_gb_1.mp3
fry,https://www.oxfordlearnersdictionaries.com/definition/english/fry_1,B1,fry,chiên rán,verb,/fraɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fry/fry__/fry__gb_1.mp3
gelatin,https://www.oxfordlearnersdictionaries.com/definition/english/gelatin,C2,gelatin,gelatin,noun,/ˈdʒelətɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gel/gelat/gelatin__gb_2.mp3
defrost,https://www.oxfordlearnersdictionaries.com/definition/english/defrost,C1,defrost,rã đông,verb,/diːˈfrɒst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defro/defrost__gb_2.mp3
garnish,https://www.oxfordlearnersdictionaries.com/definition/english/garnish_1,C2,garnish,trang trí,verb,/ˈɡɑːnɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gar/garni/garnish__gb_2.mp3
gram,https://www.oxfordlearnersdictionaries.com/definition/english/gram,B2,gram,gram,noun,/ɡræm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/gram_/gram__gb_2.mp3
gramme,https://www.oxfordlearnersdictionaries.com/definition/english/gramme,B2,gramme,ngữ pháp,noun,/ɡræm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/gram_/gram__gb_1.mp3
grill,https://www.oxfordlearnersdictionaries.com/definition/english/grill_2,B2,grill,nướng,verb,/ɡrɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gri/grill/grill__gb_1.mp3
grate,https://www.oxfordlearnersdictionaries.com/definition/english/grate_2,C1,grate,vỉ lò sưởi,verb,/ɡreɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/grate/grate__gb_1.mp3
heat,https://www.oxfordlearnersdictionaries.com/definition/english/heat_2,A2,heat,nhiệt,verb,/hiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/heat_/heat__gb_1.mp3
heat_up,https://www.oxfordlearnersdictionaries.com/definition/english/heat-up,B2,heat up,nóng lên,phrasal verb,,
grind,https://www.oxfordlearnersdictionaries.com/definition/english/grind_1,C1,grind,xay,verb,/ɡraɪnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gri/grind/grind__gb_1.mp3
ice,https://www.oxfordlearnersdictionaries.com/definition/english/ice_2,C1,ice,đá,verb,/aɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ice/ice__/ice__gb_1.mp3
kilo,https://www.oxfordlearnersdictionaries.com/definition/english/kilo_1,A2,kilo,kg,noun,/ˈkiːləʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kil/kilo_/kilo__gb_4.mp3
ingredient,https://www.oxfordlearnersdictionaries.com/definition/english/ingredient,B1,ingredient,nguyên liệu,noun,/ɪnˈɡriːdiənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ing/ingre/ingredient__gb_1.mp3
kilogram,https://www.oxfordlearnersdictionaries.com/definition/english/kilogram,A2,kilogram,kg,noun,/ˈkɪləɡræm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kil/kilog/kilogram__gb_2.mp3
julienne,https://www.oxfordlearnersdictionaries.com/definition/english/julienne,C2,julienne,thái sợi,adjective,/ˌdʒuːliˈen/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/jul/julie/julienne__gb_1.mp3
kitchen,https://www.oxfordlearnersdictionaries.com/definition/english/kitchen,A1,kitchen,phòng bếp,noun,/ˈkɪtʃɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kit/kitch/kitchen__gb_2.mp3
