id,url,levels,word,translation,part_of_speech,ipa,audio_link
conformance,https://www.oxfordlearnersdictionaries.com/definition/english/conformance,C2,conformance,sự phù hợp,noun,/kənˈfɔːməns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconf/xconformance__gb_1.mp3
conformable,https://www.oxfordlearnersdictionaries.com/definition/english/conformable,C2,conformable,phù hợp,adjective,/kənˈfɔːməbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconf/xconformable__gb_1.mp3
conform,https://www.oxfordlearnersdictionaries.com/definition/english/conform,C1,conform,theo,verb,/kənˈfɔːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconf/xconform__gb_1.mp3
conformity,https://www.oxfordlearnersdictionaries.com/definition/english/conformity,C1,conformity,sự phù hợp,noun,/kənˈfɔːməti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconf/xconformity__gb_1.mp3
chime_with,https://www.oxfordlearnersdictionaries.com/definition/english/chime-with,C2,chime with,kêu vang với,phrasal verb,,
consonance,https://www.oxfordlearnersdictionaries.com/definition/english/consonance,C2,consonance,phụ âm,noun,/ˈkɒnsənəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsonance__gb_1.mp3
consonant,https://www.oxfordlearnersdictionaries.com/definition/english/consonant_2,C2,consonant,phụ âm,adjective,/ˈkɒnsənənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsonant__gb_1.mp3
compliant,https://www.oxfordlearnersdictionaries.com/definition/english/compliant,C2,compliant,tuân thủ,adjective,/kəmˈplaɪənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compl/compliant__gb_1.mp3
accord_with,https://www.oxfordlearnersdictionaries.com/definition/english/accord-with,C2,accord with,đồng ý với,phrasal verb,,
conformability,https://www.oxfordlearnersdictionaries.com/definition/english/conformability,C2,conformability,sự phù hợp,noun,/kənˌfɔːməˈbɪləti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconf/xconformability__gb_1.mp3
fit,https://www.oxfordlearnersdictionaries.com/definition/english/fit_1,B2,fit,phù hợp,verb,/fɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fit/fit__/fit__gb_1.mp3
match,https://www.oxfordlearnersdictionaries.com/definition/english/match_1,C1,match,cuộc thi đấu,noun,/mætʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mat/match/match__gb_1.mp3
square,https://www.oxfordlearnersdictionaries.com/definition/english/square_1,C2,square,quảng trường,adjective,/skweə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/squ/squar/square__gb_1.mp3
match,https://www.oxfordlearnersdictionaries.com/definition/english/match_2,A2,match,cuộc thi đấu,verb,/mætʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mat/match/match__gb_1.mp3
tie_in,https://www.oxfordlearnersdictionaries.com/definition/english/tie-in_1,C2,tie in,buộc vào,phrasal verb,,
in_accordance_with_something,https://www.oxfordlearnersdictionaries.com/definition/english/accordance,C1,in accordance with something,phù hợp với cái gì đó,noun,/əˈkɔːdns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accordance__gb_1.mp3
in_conformity_with_something,https://www.oxfordlearnersdictionaries.com/definition/english/conformity,C2,in conformity with something,phù hợp với cái gì đó,noun,/kənˈfɔːməti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconf/xconformity__gb_1.mp3
in_keeping_(with_something),https://www.oxfordlearnersdictionaries.com/definition/english/keeping,C2,in keeping (with something),theo kịp (với cái gì),noun,/ˈkiːpɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kee/keepi/keeping__gb_3.mp3
square_with,https://www.oxfordlearnersdictionaries.com/definition/english/square-with,C2,square with,hình vuông với,phrasal verb,,
