id,url,levels,word,translation,part_of_speech,ipa,audio_link
broken_heart,https://www.oxfordlearnersdictionaries.com/definition/english/broken-heart,C1,broken heart,trái tim tan vỡ,noun,/ˌbrəʊkən ˈhɑːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broke/broken_heart_1_gb_1.mp3
bum,https://www.oxfordlearnersdictionaries.com/definition/english/bum_2,C2,bum,kẻ ăn mày,verb,/bʌm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bum/bum__/bum__gb_8.mp3
broken-hearted,https://www.oxfordlearnersdictionaries.com/definition/english/broken-hearted,C1,broken-hearted,trái tim tan vỡ,adjective,/ˌbrəʊkən ˈhɑːtɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broke/broken_hearted_1_gb_1.mp3
blue,https://www.oxfordlearnersdictionaries.com/definition/english/blue_1,C2,blue,màu xanh da trời,adjective,/bluː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/blue_/blue__gb_2.mp3
condole,https://www.oxfordlearnersdictionaries.com/definition/english/condole,C2,condole,chia buồn,verb,/kənˈdəʊl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcond/xcondole__gb_1.mp3
cloud,https://www.oxfordlearnersdictionaries.com/definition/english/cloud_2,C2,cloud,đám mây,verb,/klaʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/cloud/cloud__gb_1.mp3
bitter,https://www.oxfordlearnersdictionaries.com/definition/english/bitter_1,B2,bitter,vị đắng,adjective,/ˈbɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bit/bitte/bitter__gb_1.mp3
broody,https://www.oxfordlearnersdictionaries.com/definition/english/broody,C2,broody,ấp ủ,adjective,/ˈbruːdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brood/broody__gb_1.mp3
choked,https://www.oxfordlearnersdictionaries.com/definition/english/choked,C2,choked,nghẹn ngào,adjective,/tʃəʊkt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cho/choke/choked__gb_4.mp3
consternation,https://www.oxfordlearnersdictionaries.com/definition/english/consternation,C2,consternation,sự sửng sốt,noun,/ˌkɒnstəˈneɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsternation__gb_1.mp3
despair,https://www.oxfordlearnersdictionaries.com/definition/english/despair_1,C1,despair,tuyệt vọng,noun,/dɪˈspeə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/despa/despair__gb_3.mp3
cry,https://www.oxfordlearnersdictionaries.com/definition/english/cry_1,A2,cry,khóc,verb,/kraɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cry/cry__/cry__gb_1.mp3
depressed,https://www.oxfordlearnersdictionaries.com/definition/english/depressed,B2,depressed,trầm cảm,adjective,/dɪˈprest/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depre/depressed__gb_4.mp3
depressing,https://www.oxfordlearnersdictionaries.com/definition/english/depressing,B2,depressing,chán nản,adjective,/dɪˈpresɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depre/depressing__gb_3.mp3
despair,https://www.oxfordlearnersdictionaries.com/definition/english/despair_2,C1,despair,tuyệt vọng,verb,/dɪˈspeə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/despa/despair__gb_3.mp3
depression,https://www.oxfordlearnersdictionaries.com/definition/english/depression,B2,depression,trầm cảm,noun,/dɪˈpreʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depre/depression__gb_2.mp3
desperate,https://www.oxfordlearnersdictionaries.com/definition/english/desperate,B2,desperate,tuyệt vọng,adjective,/ˈdespərət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/despe/desperate__gb_3.mp3
despondency,https://www.oxfordlearnersdictionaries.com/definition/english/despondency,C2,despondency,sự chán nản,noun,/dɪˈspɒndənsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/despo/despondency__gb_1.mp3
desperation,https://www.oxfordlearnersdictionaries.com/definition/english/desperation,C2,desperation,tuyệt vọng,noun,/ˌdespəˈreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/despe/desperation__gb_3.mp3
despondent,https://www.oxfordlearnersdictionaries.com/definition/english/despondent,C2,despondent,chán nản,adjective,/dɪˈspɒndənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/despo/despondent__gb_1.mp3
disconsolate,https://www.oxfordlearnersdictionaries.com/definition/english/disconsolate,C2,disconsolate,chán nản,adjective,/dɪsˈkɒnsələt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disco/disconsolate__gb_1.mp3
discontent,https://www.oxfordlearnersdictionaries.com/definition/english/discontent,C1,discontent,bất mãn,noun,/ˌdɪskənˈtent/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disco/discontent__gb_1.mp3
distress,https://www.oxfordlearnersdictionaries.com/definition/english/distress_1,C1,distress,đau khổ,noun,/dɪˈstres/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/distr/distress__gb_2.mp3
