id,url,levels,word,translation,part_of_speech,ipa,audio_link
maggot,https://www.oxfordlearnersdictionaries.com/definition/english/maggot,C2,maggot,sâu non,noun,/ˈmæɡət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mag/maggo/maggot__gb_1.mp3
chrysalis,https://www.oxfordlearnersdictionaries.com/definition/english/chrysalis,C2,chrysalis,hoa cúc,noun,/ˈkrɪsəlɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chr/chrys/chrysalis__gb_1.mp3
cocoon,https://www.oxfordlearnersdictionaries.com/definition/english/cocoon_1,C2,cocoon,cái kén,noun,/kəˈkuːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coc/cocoo/cocoon__gb_1.mp3
caterpillar,https://www.oxfordlearnersdictionaries.com/definition/english/caterpillar,C1,caterpillar,sâu bướm,noun,/ˈkætəpɪlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cat/cater/caterpillar__gb_1.mp3
pupa,https://www.oxfordlearnersdictionaries.com/definition/english/pupa,C2,pupa,con nhộng,noun,/ˈpjuːpə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pup/pupa_/pupa__gb_1.mp3
nymph,https://www.oxfordlearnersdictionaries.com/definition/english/nymph,C2,nymph,nữ thần,noun,/nɪmf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nym/nymph/nymph__gb_1.mp3
larva,https://www.oxfordlearnersdictionaries.com/definition/english/larva,C2,larva,ấu trùng,noun,/ˈlɑːvə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lar/larva/larva__gb_1.mp3
egg,https://www.oxfordlearnersdictionaries.com/definition/english/egg_1,A1,egg,trứng,noun,/eɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/egg/egg__/egg__gb_3.mp3
nit,https://www.oxfordlearnersdictionaries.com/definition/english/nit,C2,nit,cái chết,noun,/nɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nit/nit__/nit__gb_1.mp3
grub,https://www.oxfordlearnersdictionaries.com/definition/english/grub_1,C2,grub,sâu bọ,noun,/ɡrʌb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gru/grub_/grub__gb_1.mp3
silkworm,https://www.oxfordlearnersdictionaries.com/definition/english/silkworm,C1,silkworm,con tằm,noun,/ˈsɪlkwɜːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sil/silkw/silkworm__gb_1.mp3
