id,url,levels,word,translation,part_of_speech,ipa,audio_link
acre,https://www.oxfordlearnersdictionaries.com/definition/english/acre,C1,acre,mẫu Anh,noun,/ˈeɪkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acr/acre_/acre__gb_1.mp3
barbed_wire,https://www.oxfordlearnersdictionaries.com/definition/english/barbed-wire,C1,barbed wire,dây thép gai,noun,/ˌbɑːbd ˈwaɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barbe/barbed_wire_1_gb_1.mp3
barn,https://www.oxfordlearnersdictionaries.com/definition/english/barn,C1,barn,chuồng ngựa,noun,/bɑːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barn_/barn__gb_2.mp3
corral,https://www.oxfordlearnersdictionaries.com/definition/english/corral_1,C2,corral,bãi quây,noun,/kəˈrɑːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corra/corral__gb_1.mp3
cornfield,https://www.oxfordlearnersdictionaries.com/definition/english/cornfield,B2,cornfield,cánh đồng ngô,noun,/ˈkɔːnfiːld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/cornf/cornfield__gb_1.mp3
croft,https://www.oxfordlearnersdictionaries.com/definition/english/croft,C2,croft,croft,noun,/krɒft/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/croft/croft__gb_1.mp3
cattle_grid,https://www.oxfordlearnersdictionaries.com/definition/english/cattle-grid,C2,cattle grid,lưới gia súc,noun,/ˈkætl ɡrɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cat/cattl/cattle_grid_1_gb_1.mp3
cowshed,https://www.oxfordlearnersdictionaries.com/definition/english/cowshed,C1,cowshed,chuồng bò,noun,/ˈkaʊʃed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cow/cowsh/cowshed__gb_1.mp3
city_farm,https://www.oxfordlearnersdictionaries.com/definition/english/city-farm,B1,city farm,nông trại thành phố,noun,/ˌsɪti ˈfɑːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cit/city_/city_farm_1_gb_1.mp3
farm,https://www.oxfordlearnersdictionaries.com/definition/english/farm_1,A1,farm,nông trại,noun,/fɑːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/far/farm_/farm__gb_1.mp3
dairy,https://www.oxfordlearnersdictionaries.com/definition/english/dairy_1,C1,dairy,sữa,noun,/ˈdeəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dai/dairy/dairy__gb_1.mp3
fence,https://www.oxfordlearnersdictionaries.com/definition/english/fence_1,B1,fence,hàng rào,noun,/fens/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fen/fence/fence__gb_1.mp3
field,https://www.oxfordlearnersdictionaries.com/definition/english/field_1,A2,field,cánh đồng,noun,/fiːld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fie/field/field__gb_3.mp3
factory_farm,https://www.oxfordlearnersdictionaries.com/definition/english/factory-farm,C1,factory farm,trang trại nhà máy,noun,/ˈfæktri fɑːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fac/facto/factory_farm_1_gb_1.mp3
fold,https://www.oxfordlearnersdictionaries.com/definition/english/fold_3,C2,fold,nếp gấp,noun,/fəʊld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fol/fold_/fold__gb_1.mp3
hedgerow,https://www.oxfordlearnersdictionaries.com/definition/english/hedgerow,C2,hedgerow,hàng rào,noun,/ˈhedʒrəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hed/hedge/hedgerow__gb_1.mp3
haystack,https://www.oxfordlearnersdictionaries.com/definition/english/haystack,C2,haystack,đống cỏ khô,noun,/ˈheɪstæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hay/hayst/haystack__gb_1.mp3
homestead,https://www.oxfordlearnersdictionaries.com/definition/english/homestead_1,C2,homestead,trang trại,noun,/ˈhəʊmsted/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hom/homes/homestead__gb_1.mp3
hayloft,https://www.oxfordlearnersdictionaries.com/definition/english/hayloft,C2,hayloft,cỏ khô,noun,/ˈheɪlɒft/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hay/haylo/hayloft__gb_1.mp3
