id,url,levels,word,translation,part_of_speech,ipa,audio_link
aphid,https://www.oxfordlearnersdictionaries.com/definition/english/aphid,C2,aphid,rệp,noun,/ˈeɪfɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aph/aphid/aphid__gb_1.mp3
ant,https://www.oxfordlearnersdictionaries.com/definition/english/ant_1,B1,ant,kiến,noun,/ænt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/ant__/ant__gb_1.mp3
butterfly,https://www.oxfordlearnersdictionaries.com/definition/english/butterfly,B1,butterfly,bươm bướm,noun,/ˈbʌtəflaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/but/butte/butterfly__gb_2.mp3
bug,https://www.oxfordlearnersdictionaries.com/definition/english/bug_1,B2,bug,sâu bọ,noun,/bʌɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bug/bug__/bug__gb_3.mp3
beetle,https://www.oxfordlearnersdictionaries.com/definition/english/beetle_1,C1,beetle,bọ cánh cứng,noun,/ˈbiːtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bee/beetl/beetle__gb_3.mp3
blackfly,https://www.oxfordlearnersdictionaries.com/definition/english/blackfly,C2,blackfly,ruồi đen,noun,/ˈblækflaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/black/blackfly__gb_2.mp3
boll_weevil,https://www.oxfordlearnersdictionaries.com/definition/english/boll-weevil,C2,boll weevil,mọt bông,noun,/ˈbəʊl wiːvl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bol/boll_/boll_weevil_1_gb_1.mp3
ant_lion,https://www.oxfordlearnersdictionaries.com/definition/english/ant-lion,C2,ant lion,kiến sư tử,noun,/ˈænt laɪən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/ant_l/ant_lion_1_gb_1.mp3
bee,https://www.oxfordlearnersdictionaries.com/definition/english/bee,B1,bee,con ong,noun,/biː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bee/bee__/bee__gb_2.mp3
cockroach,https://www.oxfordlearnersdictionaries.com/definition/english/cockroach,C1,cockroach,con gián,noun,/ˈkɒkrəʊtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coc/cockr/cockroach__gb_1.mp3
cockchafer,https://www.oxfordlearnersdictionaries.com/definition/english/cockchafer,C2,cockchafer,kẻ lừa đảo,noun,/ˈkɒktʃeɪfə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coc/cockc/cockchafer__gb_1.mp3
cicada,https://www.oxfordlearnersdictionaries.com/definition/english/cicada,C2,cicada,ve sầu,noun,/sɪˈkɑːdə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cic/cicad/cicada__gb_1.mp3
cricket,https://www.oxfordlearnersdictionaries.com/definition/english/cricket,C2,cricket,dế,noun,/ˈkrɪkɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cri/crick/cricket__gb_2.mp3
bedbug,https://www.oxfordlearnersdictionaries.com/definition/english/bedbug,C2,bedbug,rệp,noun,/ˈbedbʌɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bed/bedbu/bedbug__gb_3.mp3
crane_fly,https://www.oxfordlearnersdictionaries.com/definition/english/crane-fly,C2,crane fly,cần cẩu bay,noun,/ˈkreɪn flaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cra/crane/crane_fly_1_gb_1.mp3
caddis,https://www.oxfordlearnersdictionaries.com/definition/english/caddis,C2,caddis,caddis,noun,/ˈkædɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cad/caddi/caddis__gb_2.mp3
colorado_beetle,https://www.oxfordlearnersdictionaries.com/definition/english/colorado-beetle,C2,Colorado beetle,bọ Colorado,noun,/ˌkɒlərɑːdəʊ ˈbiːtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/color/colorado_beetle_1_gb_1.mp3
daddy-long-legs,https://www.oxfordlearnersdictionaries.com/definition/english/daddy-long-legs,C2,daddy-long-legs,bố-chân dài,noun,/ˌdædi ˈlɒŋ leɡz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dad/daddy/daddy_long_legs_1_gb_1.mp3
chigger,https://www.oxfordlearnersdictionaries.com/definition/english/chigger,C2,chigger,người kêu la,noun,/ˈtʃɪɡə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chigg/chigger__gb_2.mp3
deathwatch_beetle,https://www.oxfordlearnersdictionaries.com/definition/english/deathwatch-beetle,C2,deathwatch beetle,bọ tử thần,noun,/ˌdeθwɒtʃ ˈbiːtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dea/death/death_watch_beetle_1_gb_1.mp3
damselfly,https://www.oxfordlearnersdictionaries.com/definition/english/damselfly,C2,damselfly,thiếu nữ,noun,/ˈdæmzlflaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dam/damse/damselfly__gb_1.mp3
firefly,https://www.oxfordlearnersdictionaries.com/definition/english/firefly,C2,firefly,đom đóm,noun,/ˈfaɪəflaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fir/firef/firefly__gb_1.mp3
flea,https://www.oxfordlearnersdictionaries.com/definition/english/flea,C1,flea,bọ chét,noun,/fliː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fle/flea_/flea__gb_1.mp3
earwig,https://www.oxfordlearnersdictionaries.com/definition/english/earwig,C2,earwig,cái ráy tai,noun,/ˈɪəwɪɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ear/earwi/earwig__gb_1.mp3
fly,https://www.oxfordlearnersdictionaries.com/definition/english/fly_2,A2,fly,bay,noun,/flaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fly/fly__/fly__gb_1.mp3
dragonfly,https://www.oxfordlearnersdictionaries.com/definition/english/dragonfly,C2,dragonfly,chuồn chuồn,noun,/ˈdræɡənflaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dra/drago/dragonfly__gb_2.mp3
fire_ant,https://www.oxfordlearnersdictionaries.com/definition/english/fire-ant,C2,fire ant,kiến lửa,noun,/ˈfaɪər ænt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fir/fire_/fire_ant_1_gb_1.mp3
furniture_beetle,https://www.oxfordlearnersdictionaries.com/definition/english/furniture-beetle,C2,furniture beetle,bọ đồ nội thất,noun,/ˈfɜːnɪtʃə biːtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fur/furni/furniture_beetle_1_gb_1.mp3
gnat,https://www.oxfordlearnersdictionaries.com/definition/english/gnat,C2,gnat,con ruồi,noun,/næt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gna/gnat_/gnat__gb_2.mp3
