id,url,levels,word,translation,part_of_speech,ipa,audio_link
baked_potato,https://www.oxfordlearnersdictionaries.com/definition/english/baked-potato,A2,baked potato,khoai tây nướng,noun,/ˌbeɪkt pəˈteɪtəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/baked/baked_potato_1_gb_1.mp3
barley,https://www.oxfordlearnersdictionaries.com/definition/english/barley,C1,barley,lúa mạch,noun,/ˈbɑːli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barle/barley__gb_3.mp3
bread,https://www.oxfordlearnersdictionaries.com/definition/english/bread,A1,bread,bánh mỳ,noun,/bred/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/bread/bread__gb_2.mp3
bap,https://www.oxfordlearnersdictionaries.com/definition/english/bap,C2,bap,bap,noun,/bæp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bap/bap__/bap__gb_3.mp3
banh_mi,https://www.oxfordlearnersdictionaries.com/definition/english/banh-mi,C2,banh mi,bánh mì,noun,/ˌbɑːn ˈmiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bah/bahn_/bahn_mi_1_gb_1.mp3
baguette,https://www.oxfordlearnersdictionaries.com/definition/english/baguette,B2,baguette,bánh mì baguette,noun,/bæˈɡet/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bag/bague/baguette__gb_3.mp3
baking_flour,https://www.oxfordlearnersdictionaries.com/definition/english/baking-flour,C1,baking flour,bột nở,noun,/ˈbeɪkɪŋ flaʊə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/bakin/baking_flour_1_gb_1.mp3
angel_hair,https://www.oxfordlearnersdictionaries.com/definition/english/angel-hair,C2,angel hair,tóc thiên thần,noun,/ˈeɪndʒl heə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ang/angel/angel_hair_1_gb_1.mp3
besan,https://www.oxfordlearnersdictionaries.com/definition/english/besan,C2,besan,besan,noun,/ˈbeɪsʌn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bes/besan/besan__gb_1.mp3
brioche,https://www.oxfordlearnersdictionaries.com/definition/english/brioche,C2,brioche,bánh mỳ brioche,noun,/ˈbriːɒʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brioc/brioche__gb_2.mp3
breadstick,https://www.oxfordlearnersdictionaries.com/definition/english/breadstick,C1,breadstick,bánh mì que,noun,/ˈbredstɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/bread/breadstick__gb_1.mp3
