id,url,levels,word,translation,part_of_speech,ipa,audio_link
conservatory,https://www.oxfordlearnersdictionaries.com/definition/english/conservatory,C2,conservatory,nhạc viện,noun,/kənˈsɜːvətri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconservatory__gb_1.mp3
department,https://www.oxfordlearnersdictionaries.com/definition/english/department,A2,department,phòng,noun,/dɪˈpɑːtmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depar/department__gb_2.mp3
campus,https://www.oxfordlearnersdictionaries.com/definition/english/campus,B1,campus,khuôn viên đại học,noun,/ˈkæmpəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cam/campu/campus__gb_1.mp3
collegiate,https://www.oxfordlearnersdictionaries.com/definition/english/collegiate,C2,collegiate,đại học,adjective,/kəˈliːdʒiət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colle/collegiate__gb_1.mp3
college,https://www.oxfordlearnersdictionaries.com/definition/english/college,A1,college,trường cao đẳng,noun,/ˈkɒlɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colle/college__gb_1.mp3
community_college,https://www.oxfordlearnersdictionaries.com/definition/english/community-college,C2,community college,cao đẳng cộng đồng,noun,/kəˈmjuːnəti kɒlɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commu/community_college_1_gb_1.mp3
alma_mater,https://www.oxfordlearnersdictionaries.com/definition/english/alma-mater,C2,alma mater,trường cũ,noun,/ˌælmə ˈmɑːtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alm/alma_/alma_mater_1_gb_1.mp3
academy,https://www.oxfordlearnersdictionaries.com/definition/english/academy,C1,academy,học viện,noun,/əˈkædəmi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academy__gb_1.mp3
art_school,https://www.oxfordlearnersdictionaries.com/definition/english/art-school,B2,art school,trường nghệ thuật,noun,/ˈɑːt skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/art/art_s/art_school_1_gb_1.mp3
business_school,https://www.oxfordlearnersdictionaries.com/definition/english/business-school,B1,business school,trường kinh doanh,noun,/ˈbɪznəs skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bus/busin/business_school_1_gb_1.mp3
graduate_school,https://www.oxfordlearnersdictionaries.com/definition/english/graduate-school,B2,graduate school,trường cao học,noun,/ˈɡrædʒuət skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/gradu/graduate_school_1_gb_1.mp3
dorm,https://www.oxfordlearnersdictionaries.com/definition/english/dorm,B2,dorm,ký túc xá,noun,/dɔːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dor/dorm_/dorm__gb_1.mp3
fraternity,https://www.oxfordlearnersdictionaries.com/definition/english/fraternity,C2,fraternity,tình huynh đệ,noun,/frəˈtɜːnəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fra/frate/fraternity__gb_1.mp3
faculty,https://www.oxfordlearnersdictionaries.com/definition/english/faculty,C1,faculty,giảng viên,noun,/ˈfæklti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fac/facul/faculty__gb_2.mp3
hall_of_residence,https://www.oxfordlearnersdictionaries.com/definition/english/hall-of-residence,B2,hall of residence,hội trường cư trú,noun,/ˌhɔːl əv ˈrezɪdəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hal/hall_/hall_of_residence_1_gb_1.mp3
gap_year,https://www.oxfordlearnersdictionaries.com/definition/english/gap-year,B2,gap year,năm trống,noun,/ˈɡæp jɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gap/gap_y/gap_year_1_gb_1.mp3
frat,https://www.oxfordlearnersdictionaries.com/definition/english/frat,C2,frat,anh em,noun,/fræt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fra/frat_/frat__gb_1.mp3
grad_school,https://www.oxfordlearnersdictionaries.com/definition/english/grad-school,B2,grad school,trường sau đại học,noun,/ˈɡræd skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/grad_/grad_school_1_gb_1.mp3
higher_education,https://www.oxfordlearnersdictionaries.com/definition/english/higher-education,B1,higher education,giáo dục đại học,noun,/ˌhaɪər edʒuˈkeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hig/highe/higher_education_1_gb_1.mp3
institution,https://www.oxfordlearnersdictionaries.com/definition/english/institution,B2,institution,tổ chức,noun,/ˌɪnstɪˈtjuːʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ins/insti/institution__gb_2.mp3
ivy_league,https://www.oxfordlearnersdictionaries.com/definition/english/ivy-league,C2,Ivy League,Ivy League,adjective,/ˌaɪvi ˈliːɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ivy/ivy_l/ivy_league_1_gb_1.mp3
lecture_hall,https://www.oxfordlearnersdictionaries.com/definition/english/lecture-hall,B2,lecture hall,giảng đường,noun,/ˈlektʃə hɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lec/lectu/lecture_hall_1_gb_2.mp3
lecture_theatre,https://www.oxfordlearnersdictionaries.com/definition/english/lecture-theatre,B2,lecture theatre,giảng đường,noun,/ˈlektʃə θɪətə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lec/lectu/lecture_theatre_1_gb_1.mp3
ivy_league,https://www.oxfordlearnersdictionaries.com/definition/english/the-ivy-league,C2,Ivy League,Ivy League,noun,/ði ˌaɪvi ˈliːɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_i/the_ivy_league_1_gb_1.mp3
