id,url,levels,word,translation,part_of_speech,ipa,audio_link
abuse,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2,C1,abuse,lạm dụng,verb,/əˈbjuːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abuse/abuse__gb_2.mp3
attack,https://www.oxfordlearnersdictionaries.com/definition/english/attack_2,A2,attack,tấn công,verb,/əˈtæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/attac/attack__gb_1.mp3
appropriate,https://www.oxfordlearnersdictionaries.com/definition/english/appropriate_2,C2,appropriate,phù hợp,verb,/əˈprəʊprieɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appro/appropriate__gb_4.mp3
batter,https://www.oxfordlearnersdictionaries.com/definition/english/batter_1,C2,batter,bột,verb,/ˈbætə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/batte/batter__gb_1.mp3
abduct,https://www.oxfordlearnersdictionaries.com/definition/english/abduct,C2,abduct,bắt cóc,verb,/æbˈdʌkt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abd/abduc/abduct__gb_1.mp3
assault,https://www.oxfordlearnersdictionaries.com/definition/english/assault_2,C1,assault,tấn công,verb,/əˈsɔːlt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assau/assault__gb_1.mp3
blackmail,https://www.oxfordlearnersdictionaries.com/definition/english/blackmail_2,C1,blackmail,tống tiền,verb,/ˈblækmeɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/black/blackmail__gb_2.mp3
assail,https://www.oxfordlearnersdictionaries.com/definition/english/assail,C2,assail,tấn công,verb,/əˈseɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assai/assail__gb_1.mp3
abductee,https://www.oxfordlearnersdictionaries.com/definition/english/abductee,C2,abductee,kẻ bắt cóc,noun,/ˌæbdʌkˈtiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abd/abduc/abductee__gb_1.mp3
battered,https://www.oxfordlearnersdictionaries.com/definition/english/battered,C2,battered,bị đánh đập,adjective,/ˈbætəd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/batte/battered__gb_3.mp3
bomb,https://www.oxfordlearnersdictionaries.com/definition/english/bomb_2,B1,bomb,bom,verb,/bɒm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bom/bomb_/bomb__gb_2.mp3
break_into,https://www.oxfordlearnersdictionaries.com/definition/english/break-into,B2,break into,đột nhập,phrasal verb,,
bootleg,https://www.oxfordlearnersdictionaries.com/definition/english/bootleg_3,C2,bootleg,lậu,verb,/ˈbuːtleɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/bootl/bootleg__gb_2.mp3
break_in,https://www.oxfordlearnersdictionaries.com/definition/english/break-in_1,B2,break in,đột nhập,phrasal verb,,
break,https://www.oxfordlearnersdictionaries.com/definition/english/break_1,B1,break,phá vỡ,verb,/breɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/break/break__gb_1.mp3
breach,https://www.oxfordlearnersdictionaries.com/definition/english/breach_2,C1,breach,sự vi phạm,verb,/briːtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/breac/breach__gb_1.mp3
bribe,https://www.oxfordlearnersdictionaries.com/definition/english/bribe_2,C1,bribe,hối lộ,verb,/braɪb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/bribe/bribe__gb_1.mp3
carjack,https://www.oxfordlearnersdictionaries.com/definition/english/carjack,C2,carjack,cướp xe,verb,/ˈkɑːdʒæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carja/carjack__gb_1.mp3
collude,https://www.oxfordlearnersdictionaries.com/definition/english/collude,C2,collude,thông đồng,verb,/kəˈluːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/collu/collude__gb_1.mp3
burgle,https://www.oxfordlearnersdictionaries.com/definition/english/burgle,B1,burgle,trộm,verb,/ˈbɜːɡl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bur/burgl/burgle__gb_3.mp3
