id,url,levels,word,translation,part_of_speech,ipa,audio_link
artery,https://www.oxfordlearnersdictionaries.com/definition/english/artery,C2,artery,động mạch,noun,/ˈɑːtəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/art/arter/artery__gb_1.mp3
access_road,https://www.oxfordlearnersdictionaries.com/definition/english/access-road,C1,access road,đường vào,noun,/ˈækses rəʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/access_road_1_gb_1.mp3
bike_lane,https://www.oxfordlearnersdictionaries.com/definition/english/bike-lane,B2,bike lane,làn đường dành cho xe đạp,noun,/ˈbaɪk leɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bik/bike_/bike_lane_1_gb_1.mp3
avenue,https://www.oxfordlearnersdictionaries.com/definition/english/avenue,C1,avenue,đại lộ,noun,/ˈævənjuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ave/avenu/avenue__gb_1.mp3
boulevard,https://www.oxfordlearnersdictionaries.com/definition/english/boulevard,C1,boulevard,đại lộ,noun,/ˈbuːləvɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bou/boule/boulevard__gb_4.mp3
backstreet,https://www.oxfordlearnersdictionaries.com/definition/english/backstreet_1,C2,backstreet,đường sau,noun,/ˈbækstriːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backs/backstreet__gb_1.mp3
approach,https://www.oxfordlearnersdictionaries.com/definition/english/approach_1,C1,approach,tiếp cận,noun,/əˈprəʊtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appro/approach__gb_2.mp3
beltway,https://www.oxfordlearnersdictionaries.com/definition/english/beltway,C2,beltway,đường vành đai,noun,/ˈbeltweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/beltw/beltway__gb_4.mp3
bicycle_lane,https://www.oxfordlearnersdictionaries.com/definition/english/bicycle-lane,B2,bicycle lane,làn đường dành cho xe đạp,noun,/ˈbaɪsɪkl leɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bic/bicyc/bicycle_lane_1_gb_1.mp3
a-road,https://www.oxfordlearnersdictionaries.com/definition/english/a-road,C2,A-road,đường chữ A,noun,/ˈeɪ rəʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/a_r/a_roa/a_road_1_gb_1.mp3
bus_lane,https://www.oxfordlearnersdictionaries.com/definition/english/bus-lane,B2,bus lane,làn đường xe buýt,noun,/ˈbʌs leɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bus/bus_l/bus_lane_1_gb_1.mp3
carriageway,https://www.oxfordlearnersdictionaries.com/definition/english/carriageway,C2,carriageway,đường xe chạy,noun,/ˈkærɪdʒweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carri/carriageway__gb_1.mp3
bypass,https://www.oxfordlearnersdictionaries.com/definition/english/bypass_1,C1,bypass,đường vòng,noun,/ˈbaɪpɑːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/byp/bypas/bypass__gb_2.mp3
causeway,https://www.oxfordlearnersdictionaries.com/definition/english/causeway,C2,causeway,đường đắp cao,noun,/ˈkɔːzweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cau/cause/causeway__gb_2.mp3
breakdown_lane,https://www.oxfordlearnersdictionaries.com/definition/english/breakdown-lane,C1,breakdown lane,làn đường hư hỏng,noun,/ˈbreɪkdaʊn leɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/break/breakdown_lane_1_gb_1.mp3
clearway,https://www.oxfordlearnersdictionaries.com/definition/english/clearway,C2,clearway,đường thông thoáng,noun,/ˈklɪəweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cle/clear/clearway__gb_1.mp3
byroad,https://www.oxfordlearnersdictionaries.com/definition/english/byroad,C2,byroad,đường phụ,noun,/ˈbaɪrəʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/byr/byroa/byroad__gb_1.mp3
cobbled,https://www.oxfordlearnersdictionaries.com/definition/english/cobbled,C2,cobbled,rải sỏi,adjective,/ˈkɒbld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cob/cobbl/cobbled__gb_1.mp3
b-road,https://www.oxfordlearnersdictionaries.com/definition/english/b-road,C2,B-road,đường B,noun,/ˈbiː rəʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/b_r/b_roa/b_road_1_gb_1.mp3
byway,https://www.oxfordlearnersdictionaries.com/definition/english/byway,C2,byway,nhân tiện,noun,/ˈbaɪweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/byw/byway/byway__gb_2.mp3
cobbles,https://www.oxfordlearnersdictionaries.com/definition/english/cobbles,C2,cobbles,sỏi,noun,/ˈkɒblz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cob/cobbl/cobbles__gb_1.mp3
corridor,https://www.oxfordlearnersdictionaries.com/definition/english/corridor,C1,corridor,hành lang,noun,/ˈkɒrɪdɔː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corri/corridor__gb_1.mp3
crescent,https://www.oxfordlearnersdictionaries.com/definition/english/crescent,C2,crescent,lưỡi liềm,noun,/ˈkresnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/cresc/crescent__gb_1.mp3
dead_end,https://www.oxfordlearnersdictionaries.com/definition/english/dead-end,C2,dead end,ngõ cụt,noun,/ˌded ˈend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dea/dead_/dead_end_1_gb_1.mp3
cycle_lane,https://www.oxfordlearnersdictionaries.com/definition/english/cycle-lane,B2,cycle lane,làn đường dành cho xe đạp,noun,/ˈsaɪkl leɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cyc/cycle/cycle_lane_1_gb_1.mp3
divided_highway,https://www.oxfordlearnersdictionaries.com/definition/english/divided-highway,C2,divided highway,đường cao tốc bị chia cắt,noun,/dɪˌvaɪdɪd ˈhaɪweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/div/divid/divided_highway_1_gb_1.mp3
