id,url,levels,word,translation,part_of_speech,ipa,audio_link
appeal,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_2,B2,appeal,bắt mắt,verb,/əˈpiːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appea/appeal__gb_1.mp3
appellant,https://www.oxfordlearnersdictionaries.com/definition/english/appellant,C2,appellant,người kháng cáo,noun,/əˈpelənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appel/appellant__gb_1.mp3
appeal_court,https://www.oxfordlearnersdictionaries.com/definition/english/appeal-court,C2,appeal court,tòa phúc thẩm,noun,/əˈpiːl kɔːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appea/appeal_court_1_gb_1.mp3
appellate_court,https://www.oxfordlearnersdictionaries.com/definition/english/appellate-court,C2,appellate court,tòa phúc thẩm,noun,/əˈpelət kɔːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appel/appellate_court_1_gb_1.mp3
appeal,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_1,B2,appeal,bắt mắt,noun,/əˈpiːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appea/appeal__gb_1.mp3
bail,https://www.oxfordlearnersdictionaries.com/definition/english/bail_2,C1,bail,tại ngoại,verb,/beɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bai/bail_/bail__gb_2.mp3
bail,https://www.oxfordlearnersdictionaries.com/definition/english/bail_1,C1,bail,tại ngoại,noun,/beɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bai/bail_/bail__gb_2.mp3
bring/press/lay/prefer_charges_against_somebody,https://www.oxfordlearnersdictionaries.com/definition/english/charge_1,C2,bring/press/lay/prefer charges against somebody,đưa ra/báo chí/đưa ra/ủng hộ việc buộc tội ai đó,noun,/tʃɑːdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/charg/charge__gb_2.mp3
bail_out,https://www.oxfordlearnersdictionaries.com/definition/english/bail-out,C2,bail out,bảo lãnh ra ngoài,phrasal verb,,
acquit,https://www.oxfordlearnersdictionaries.com/definition/english/acquit,C1,acquit,tha bổng,verb,/əˈkwɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acq/acqui/acquit__gb_1.mp3
case,https://www.oxfordlearnersdictionaries.com/definition/english/case_1,B1,case,trường hợp,noun,/keɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/case_/case__gb_2.mp3
charge,https://www.oxfordlearnersdictionaries.com/definition/english/charge_2,B2,charge,thù lao,verb,/tʃɑːdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/charg/charge__gb_2.mp3
civil_law,https://www.oxfordlearnersdictionaries.com/definition/english/civil-law,C2,civil law,luật dân sự,noun,/ˌsɪvl ˈlɔː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/civ/civil/civil_law_1_gb_1.mp3
contempt_of_court,https://www.oxfordlearnersdictionaries.com/definition/english/contempt-of-court,C2,contempt of court,coi thường tòa án,noun,/kənˌtempt əv ˈkɔːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontempt_of_court_1_gb_1.mp3
charge,https://www.oxfordlearnersdictionaries.com/definition/english/charge_1,B2,charge,thù lao,noun,/tʃɑːdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/charg/charge__gb_2.mp3
convict,https://www.oxfordlearnersdictionaries.com/definition/english/convict_1,C1,convict,kết án,verb,/kənˈvɪkt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconv/xconvict__gb_1.mp3
conviction,https://www.oxfordlearnersdictionaries.com/definition/english/conviction,C1,conviction,niềm tin,noun,/kənˈvɪkʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconv/xconviction__gb_1.mp3
conditional_discharge,https://www.oxfordlearnersdictionaries.com/definition/english/conditional-discharge,C2,conditional discharge,xả có điều kiện,noun,/kənˌdɪʃənl ˈdɪstʃɑːdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcond/xconditional_discharge_1_gb_1.mp3
cease-and-desist,https://www.oxfordlearnersdictionaries.com/definition/english/cease-and-desist,C2,cease-and-desist,ngừng và ngừng,adjective,/ˌsiːs ən dɪˈzɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cea/cease/cease_and_desist_1_gb_1.mp3
county_court,https://www.oxfordlearnersdictionaries.com/definition/english/county-court,C1,county court,tòa án quận,noun,/ˌkaʊnti ˈkɔːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/count/county_court_1_gb_1.mp3
court,https://www.oxfordlearnersdictionaries.com/definition/english/court_1,B1,court,tòa án,noun,/kɔːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/court/court__gb_2.mp3
criminal,https://www.oxfordlearnersdictionaries.com/definition/english/criminal_2,B1,criminal,tội phạm,adjective,/ˈkrɪmɪnl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cri/crimi/criminal__gb_2.mp3
certiorari,https://www.oxfordlearnersdictionaries.com/definition/english/certiorari,C2,certiorari,chứng nhận,noun,/ˌsɜːʃiəˈreəraɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cer/certi/certiorari__gb_3.mp3
criminal_law,https://www.oxfordlearnersdictionaries.com/definition/english/criminal-law,B2,criminal law,luật hình sự,noun,/ˌkrɪmɪnl ˈlɔː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cri/crimi/criminal_law_1_gb_1.mp3
court_of_appeal,https://www.oxfordlearnersdictionaries.com/definition/english/court-of-appeal,C2,court of appeal,tòa phúc thẩm,noun,/ˌkɔːt əv əˈpiːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/court/court_of_appeal_1_gb_1.mp3
defence,https://www.oxfordlearnersdictionaries.com/definition/english/defence,B2,defence,phòng thủ,noun,/dɪˈfens/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defen/defence__gb_1.mp3
defense,https://www.oxfordlearnersdictionaries.com/definition/english/defense,B2,defense,phòng thủ,noun,/dɪˈfens/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defen/defence__gb_1.mp3
cross-examination,https://www.oxfordlearnersdictionaries.com/definition/english/cross-examination,C2,cross-examination,kiểm tra chéo,noun,/ˌkrɒs ɪɡˌzæmɪˈneɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/cross/cross_examination_1_gb_1.mp3
court_order,https://www.oxfordlearnersdictionaries.com/definition/english/court-order,C1,court order,lệnh của tòa án,noun,/ˈkɔːt ɔːdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/court/court_order_1_gb_2.mp3
cross-examine,https://www.oxfordlearnersdictionaries.com/definition/english/cross-examine,C2,cross-examine,kiểm tra chéo,verb,/ˌkrɒs ɪɡˈzæmɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/cross/cross_examine_1_gb_1.mp3
defend,https://www.oxfordlearnersdictionaries.com/definition/english/defend,B2,defend,phòng vệ,verb,/dɪˈfend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defen/defend__gb_1.mp3
