id,url,levels,word,translation,part_of_speech,ipa,audio_link
bellhop,https://www.oxfordlearnersdictionaries.com/definition/english/bellhop,C2,bellhop,nhân viên trực tầng,noun,/ˈbelhɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/bellh/bellhop__gb_3.mp3
board,https://www.oxfordlearnersdictionaries.com/definition/english/board_1,C2,board,Cái bảng,noun,/bɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boa/board/board__gb_2.mp3
checkout,https://www.oxfordlearnersdictionaries.com/definition/english/checkout,B2,checkout,thanh toán,noun,/ˈtʃekaʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/check/checkout__gb_3.mp3
check-in,https://www.oxfordlearnersdictionaries.com/definition/english/check-in_2,B1,check-in,đăng ký vào,noun,/ˈtʃek ɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/check/check_in_1_gb_1.mp3
clerk,https://www.oxfordlearnersdictionaries.com/definition/english/clerk_1,B2,clerk,nhân viên văn phòng,noun,/klɑːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cle/clerk/clerk__gb_1.mp3
check_in,https://www.oxfordlearnersdictionaries.com/definition/english/check-in_1,A2,check in,đăng ký vào,phrasal verb,,
card_key,https://www.oxfordlearnersdictionaries.com/definition/english/card-key,A2,card key,chìa khóa thẻ,noun,/ˈkɑːd kiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/card_/card_key_1_gb_1.mp3
bed_and_breakfast,https://www.oxfordlearnersdictionaries.com/definition/english/bed-and-breakfast,B2,bed and breakfast,giường ngủ và bữa sáng,noun,/ˌbed ən ˈbrekfəst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bed/bed_a/bed_and_breakfast_1_gb_1.mp3
bellboy,https://www.oxfordlearnersdictionaries.com/definition/english/bellboy,C2,bellboy,người phục vụ,noun,/ˈbelbɔɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/bellb/bellboy__gb_2.mp3
american_plan,https://www.oxfordlearnersdictionaries.com/definition/english/american-plan,C2,American plan,kế hoạch của Mỹ,noun,/əˌmerɪkən ˈplæn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ame/ameri/american_plan_1_gb_1.mp3
concierge,https://www.oxfordlearnersdictionaries.com/definition/english/concierge,C2,concierge,hướng dẫn viên,noun,/ˈkɒnsieəʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconcierge__gb_1.mp3
doorman,https://www.oxfordlearnersdictionaries.com/definition/english/doorman,C1,doorman,người gác cửa,noun,/ˈdɔːmən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/doo/doorm/doorman__gb_1.mp3
desk,https://www.oxfordlearnersdictionaries.com/definition/english/desk,A1,desk,bàn làm việc,noun,/desk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/desk_/desk__gb_1.mp3
double_room,https://www.oxfordlearnersdictionaries.com/definition/english/double-room,A2,double room,phòng đôi,noun,/ˌdʌbl ˈruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dou/doubl/double_room_1_gb_1.mp3
en_suite,https://www.oxfordlearnersdictionaries.com/definition/english/en-suite_1,C1,en suite,phòng tắm riêng,"adjective,adverb",/ˌɒ̃ ˈswiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/en_/en_su/en_suite_1_gb_1.mp3
double,https://www.oxfordlearnersdictionaries.com/definition/english/double_6,B1,double,gấp đôi,noun,/ˈdʌbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dou/doubl/double__gb_1.mp3
desk_clerk,https://www.oxfordlearnersdictionaries.com/definition/english/desk-clerk,B2,desk clerk,nhân viên bàn,noun,/ˈdesk klɑːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/desk_/desk_clerk_1_gb_1.mp3
doorwoman,https://www.oxfordlearnersdictionaries.com/definition/english/doorwoman,C1,doorwoman,người gác cửa,noun,/ˈdɔːwʊmən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/doo/doorw/doorwoman__gb_1.mp3
en-suite,https://www.oxfordlearnersdictionaries.com/definition/english/en-suite_2,C1,en-suite,phòng tắm riêng,noun,/ˌɒ̃ ˈswiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/en_/en_su/en_suite_1_gb_1.mp3
commissionaire,https://www.oxfordlearnersdictionaries.com/definition/english/commissionaire,C2,commissionaire,ủy viên,noun,/kəˌmɪʃəˈneə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commi/commissionaire__gb_1.mp3
family_room,https://www.oxfordlearnersdictionaries.com/definition/english/family-room,B1,family room,phòng gia đình,noun,/ˈfæməli ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fam/famil/family_room_1_gb_1.mp3
floor,https://www.oxfordlearnersdictionaries.com/definition/english/floor_1,A2,floor,sàn nhà,noun,/flɔː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/flo/floor/floor__gb_3.mp3
forecourt,https://www.oxfordlearnersdictionaries.com/definition/english/forecourt,C2,forecourt,sân trước,noun,/ˈfɔːkɔːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/for/forec/forecourt__gb_1.mp3
foyer,https://www.oxfordlearnersdictionaries.com/definition/english/foyer,C2,foyer,tiền sảnh,noun,/ˈfɔɪeɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foy/foyer/foyer__gb_1.mp3
front_desk,https://www.oxfordlearnersdictionaries.com/definition/english/front-desk,B1,front desk,quầy lễ tân,noun,/ˌfrʌnt ˈdesk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fro/front/front_desk_1_gb_1.mp3
full_board,https://www.oxfordlearnersdictionaries.com/definition/english/full-board,C2,full board,đầy đủ,noun,/ˌfʊl ˈbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/ful/full_/full_board_1_gb_1.mp3
half_board,https://www.oxfordlearnersdictionaries.com/definition/english/half-board,C2,half board,nửa ván,noun,/ˌhɑːf ˈbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hal/half_/half_board_1_gb_1.mp3
guest,https://www.oxfordlearnersdictionaries.com/definition/english/guest_1,A2,guest,khách mời,noun,/ɡest/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gue/guest/guest__gb_2.mp3
