id,url,levels,word,translation,part_of_speech,ipa,audio_link
bet,https://www.oxfordlearnersdictionaries.com/definition/english/bet_2,B2,bet,cá cược,noun,/bet/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bet/bet__/bet__gb_2.mp3
gamble,https://www.oxfordlearnersdictionaries.com/definition/english/gamble_1,C1,gamble,cờ bạc,verb,/ˈɡæmbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gam/gambl/gamble__gb_2.mp3
gamble,https://www.oxfordlearnersdictionaries.com/definition/english/gamble_2,C1,gamble,cờ bạc,noun,/ˈɡæmbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gam/gambl/gamble__gb_2.mp3
chip,https://www.oxfordlearnersdictionaries.com/definition/english/chip_1,C2,chip,chip,noun,/tʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chip_/chip__gb_3.mp3
betting,https://www.oxfordlearnersdictionaries.com/definition/english/betting,B2,betting,cá cược,noun,/ˈbetɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bet/betti/betting__gb_3.mp3
gambling,https://www.oxfordlearnersdictionaries.com/definition/english/gambling,C1,gambling,cờ bạc,noun,/ˈɡæmblɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gam/gambl/gambling__gb_7.mp3
casino,https://www.oxfordlearnersdictionaries.com/definition/english/casino,C1,casino,sòng bạc,noun,/kəˈsiːnəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/casin/casino__gb_2.mp3
bet,https://www.oxfordlearnersdictionaries.com/definition/english/bet_1,B2,bet,cá cược,verb,/bet/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bet/bet__/bet__gb_2.mp3
spread_betting,https://www.oxfordlearnersdictionaries.com/definition/english/spread-betting,C2,spread betting,cá cược chênh lệch,noun,/ˈspred betɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spr/sprea/spread_betting_1_gb_2.mp3
lottery,https://www.oxfordlearnersdictionaries.com/definition/english/lottery,B2,lottery,xổ số,noun,/ˈlɒtəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lot/lotte/lottery__gb_1.mp3
stake,https://www.oxfordlearnersdictionaries.com/definition/english/stake_1,C2,stake,cổ phần,noun,/steɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/stake/stake__gb_1.mp3
stake,https://www.oxfordlearnersdictionaries.com/definition/english/stake_2,C1,stake,cổ phần,verb,/steɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/stake/stake__gb_1.mp3
sweepstake,https://www.oxfordlearnersdictionaries.com/definition/english/sweepstake,C2,sweepstake,rút thăm trúng thưởng,noun,/ˈswiːpsteɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/swe/sweep/sweepstake__gb_1.mp3
