id,url,levels,word,translation,part_of_speech,ipa,audio_link
batboy,https://www.oxfordlearnersdictionaries.com/definition/english/batboy,C2,batboy,người dơi,noun,/ˈbætbɔɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/batbo/batboy__gb_1.mp3
ballpark,https://www.oxfordlearnersdictionaries.com/definition/english/ballpark,B2,ballpark,sân bóng chày,noun,/ˈbɔːlpɑːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/ballp/ballpark__gb_2.mp3
ball_game,https://www.oxfordlearnersdictionaries.com/definition/english/ball-game,B2,ball game,trò chơi bóng,noun,/ˈbɔːl ɡeɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/ball_/ball_game_1_gb_1.mp3
baseball,https://www.oxfordlearnersdictionaries.com/definition/english/baseball,A2,baseball,bóng chày,noun,/ˈbeɪsbɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/baseb/baseball__gb_3.mp3
base,https://www.oxfordlearnersdictionaries.com/definition/english/base_1,C1,base,căn cứ,noun,/beɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/base_/base__gb_2.mp3
ballplayer,https://www.oxfordlearnersdictionaries.com/definition/english/ballplayer,C2,ballplayer,người chơi bóng,noun,/ˈbɔːlpleɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/ballp/ballplayer__gb_1.mp3
at-bat,https://www.oxfordlearnersdictionaries.com/definition/english/at-bat,C2,at-bat,at-bat,noun,/ət ˈbæt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/at_/at_ba/at_bat_1_gb_1.mp3
at_bat,https://www.oxfordlearnersdictionaries.com/definition/english/bat_1,C2,at bat,tại dơi,noun,/bæt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/bat__/bat__gb_4.mp3
batter,https://www.oxfordlearnersdictionaries.com/definition/english/batter_2,C1,batter,bột,noun,/ˈbætə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/batte/batter__gb_1.mp3
backstop,https://www.oxfordlearnersdictionaries.com/definition/english/backstop,C2,backstop,chặn lại,noun,/ˈbækstɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backs/backstop__gb_1.mp3
