id,url,levels,word,translation,part_of_speech,ipa,audio_link
airplay,https://www.oxfordlearnersdictionaries.com/definition/english/airplay,C2,airplay,phát sóng,noun,/ˈeəpleɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airpl/airplay__gb_1.mp3
advertising,https://www.oxfordlearnersdictionaries.com/definition/english/advertising,A2,advertising,quảng cáo,noun,/ˈædvətaɪzɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertising__gb_1.mp3
antenna,https://www.oxfordlearnersdictionaries.com/definition/english/antenna,C1,antenna,ăng-ten,noun,/ænˈtenə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/anten/antenna__gb_1.mp3
am,https://www.oxfordlearnersdictionaries.com/definition/english/am_2,C2,AM,LÀ,abbreviation,/ˌeɪ ˈem/,
announce,https://www.oxfordlearnersdictionaries.com/definition/english/announce,B2,announce,thông báo,verb,/əˈnaʊns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ann/annou/announce__gb_1.mp3
advertise,https://www.oxfordlearnersdictionaries.com/definition/english/advertise,A2,advertise,quảng cáo,verb,/ˈædvətaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertise__gb_1.mp3
airtime,https://www.oxfordlearnersdictionaries.com/definition/english/airtime,C2,airtime,thời gian phát sóng,noun,/ˈeətaɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airti/airtime__gb_1.mp3
adapt,https://www.oxfordlearnersdictionaries.com/definition/english/adapt,B2,adapt,thích nghi,verb,/əˈdæpt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ada/adapt/adapt__gb_2.mp3
air,https://www.oxfordlearnersdictionaries.com/definition/english/air_2,C1,air,không khí,verb,/eə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/air__/air__gb_1.mp3
airwaves,https://www.oxfordlearnersdictionaries.com/definition/english/airwaves,C2,airwaves,sóng phát thanh,noun,/ˈeəweɪvz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airwa/airwaves__gb_1.mp3
attenuator,https://www.oxfordlearnersdictionaries.com/definition/english/attenuator,C2,attenuator,bộ suy giảm,noun,/əˈtenjueɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/atten/attenuator__gb_1.mp3
beacon,https://www.oxfordlearnersdictionaries.com/definition/english/beacon,C2,beacon,đèn hiệu,noun,/ˈbiːkən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beaco/beacon__gb_2.mp3
blind_spot,https://www.oxfordlearnersdictionaries.com/definition/english/blind-spot,C2,blind spot,điểm mù,noun,/ˈblaɪnd spɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bli/blind/blind_spot_1_gb_1.mp3
breaking_news,https://www.oxfordlearnersdictionaries.com/definition/english/breaking-news,C2,breaking news,tin nóng hổi,noun,/ˌbreɪkɪŋ ˈnjuːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/break/breaking_news_1_gb_1.mp3
band,https://www.oxfordlearnersdictionaries.com/definition/english/band_1,C2,band,ban nhạc,noun,/bænd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/band_/band__gb_3.mp3
appear,https://www.oxfordlearnersdictionaries.com/definition/english/appear,B2,appear,xuất hiện,verb,/əˈpɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appea/appear__gb_2.mp3
bleep,https://www.oxfordlearnersdictionaries.com/definition/english/bleep_2,C2,bleep,bíp,verb,/bliːp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ble/bleep/bleep__gb_2.mp3
beam,https://www.oxfordlearnersdictionaries.com/definition/english/beam_2,C2,beam,chùm tia,verb,/biːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beam_/beam__gb_2.mp3
atmospherics,https://www.oxfordlearnersdictionaries.com/definition/english/atmospherics,C2,atmospherics,khí quyển,noun,/ˌætməsˈferɪks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/atm/atmos/atmospherics__gb_1.mp3
autocue™,https://www.oxfordlearnersdictionaries.com/definition/english/autocuetm,C2,Autocue™,Autocue™,noun,/ˈɔːtəʊkjuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aut/autoc/autocue__gb_1.mp3
broadcasting,https://www.oxfordlearnersdictionaries.com/definition/english/broadcasting,B2,broadcasting,phát sóng,noun,/ˈbrɔːdkɑːstɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broad/broadcasting__gb_1.mp3
canned,https://www.oxfordlearnersdictionaries.com/definition/english/canned,C2,canned,đóng hộp,adjective,/kænd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/can/canne/canned__gb_1.mp3
cable_television,https://www.oxfordlearnersdictionaries.com/definition/english/cable-television,B2,cable television,truyền hình cáp,noun,/ˌkeɪbl ˈtelɪvɪʒn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cab/cable/cable_television_1_gb_1.mp3
commentary,https://www.oxfordlearnersdictionaries.com/definition/english/commentary,C1,commentary,bình luận,noun,/ˈkɒməntri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comme/commentary__gb_1.mp3
close_down,https://www.oxfordlearnersdictionaries.com/definition/english/close-down_1,C1,close down,đóng cửa,phrasal verb,,
camera,https://www.oxfordlearnersdictionaries.com/definition/english/camera,A1,camera,máy ảnh,noun,/ˈkæmrə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cam/camer/camera__gb_2.mp3
broadcast,https://www.oxfordlearnersdictionaries.com/definition/english/broadcast_1,B2,broadcast,phát tin,verb,/ˈbrɔːdkɑːst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broad/broadcast__gb_1.mp3
cue_card,https://www.oxfordlearnersdictionaries.com/definition/english/cue-card,C2,cue card,thẻ gợi ý,noun,/ˈkjuː kɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cue/cue_c/cue_card_1_gb_1.mp3
converter,https://www.oxfordlearnersdictionaries.com/definition/english/converter,C2,converter,bộ chuyển đổi,noun,/kənˈvɜːtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconv/xconverter__gb_1.mp3
call_letters,https://www.oxfordlearnersdictionaries.com/definition/english/call-letters,C2,call letters,gọi thư,noun,/ˈkɔːl letəz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/call_/call_letters_1_gb_1.mp3
credit,https://www.oxfordlearnersdictionaries.com/definition/english/credit_1,C2,credit,tín dụng,noun,/ˈkredɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/credi/credit__gb_1.mp3
digital,https://www.oxfordlearnersdictionaries.com/definition/english/digital_1,A2,digital,điện tử,adjective,/ˈdɪdʒɪtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dig/digit/digital__gb_2.mp3
commentate,https://www.oxfordlearnersdictionaries.com/definition/english/commentate,C2,commentate,bình luận,verb,/ˈkɒmənteɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comme/commentate__gb_1.mp3
dub,https://www.oxfordlearnersdictionaries.com/definition/english/dub_1,C1,dub,lồng tiếng,verb,/dʌb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dub/dub__/dub__gb_1.mp3
edit,https://www.oxfordlearnersdictionaries.com/definition/english/edit_2,B2,edit,biên tập,verb,/ˈedɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/edi/edit_/edit__gb_2.mp3
