id,url,levels,word,translation,part_of_speech,ipa,audio_link
accident,https://www.oxfordlearnersdictionaries.com/definition/english/accident,A2,accident,tai nạn,noun,/ˈæksɪdənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accid/accident__gb_2.mp3
black_eye,https://www.oxfordlearnersdictionaries.com/definition/english/black-eye,B2,black eye,mắt đen,noun,/ˌblæk ˈaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/black/black_eye_1_gb_1.mp3
bang,https://www.oxfordlearnersdictionaries.com/definition/english/bang_1,B2,bang,bang,verb,/bæŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/bang_/bang__gb_2.mp3
bleed,https://www.oxfordlearnersdictionaries.com/definition/english/bleed,C1,bleed,chảy máu,verb,/bliːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ble/bleed/bleed__gb_2.mp3
blister,https://www.oxfordlearnersdictionaries.com/definition/english/blister_1,C1,blister,mụn rộp,noun,/ˈblɪstə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bli/blist/blister__gb_1.mp3
break,https://www.oxfordlearnersdictionaries.com/definition/english/break_1,B1,break,phá vỡ,verb,/breɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/break/break__gb_1.mp3
break,https://www.oxfordlearnersdictionaries.com/definition/english/break_2,B1,break,phá vỡ,noun,/breɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/break/break__gb_1.mp3
broken,https://www.oxfordlearnersdictionaries.com/definition/english/broken_1,A2,broken,vỡ,adjective,/ˈbrəʊkən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broke/broken__gb_1.mp3
bruise,https://www.oxfordlearnersdictionaries.com/definition/english/bruise_1,B2,bruise,vết bầm tím,noun,/bruːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bru/bruis/bruise__gb_1.mp3
bump,https://www.oxfordlearnersdictionaries.com/definition/english/bump_1,B2,bump,đâm sầm vào,verb,/bʌmp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bum/bump_/bump__gb_5.mp3
bump,https://www.oxfordlearnersdictionaries.com/definition/english/bump_2,B2,bump,đâm sầm vào,noun,/bʌmp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bum/bump_/bump__gb_5.mp3
battered,https://www.oxfordlearnersdictionaries.com/definition/english/battered,C2,battered,bị đánh đập,adjective,/ˈbætəd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/batte/battered__gb_3.mp3
banged_up,https://www.oxfordlearnersdictionaries.com/definition/english/banged-up,C2,banged up,đập lên,adjective,/ˌbæŋd ˈʌp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/bange/banged_up_1_gb_1.mp3
burnt,https://www.oxfordlearnersdictionaries.com/definition/english/burnt,B1,burnt,bị cháy,adjective,/bɜːnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bur/burnt/burnt__gb_5.mp3
burn,https://www.oxfordlearnersdictionaries.com/definition/english/burn_2,B2,burn,đốt cháy,noun,/bɜːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bur/burn_/burn__gb_2.mp3
bruise,https://www.oxfordlearnersdictionaries.com/definition/english/bruise_2,B2,bruise,vết bầm tím,verb,/bruːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bru/bruis/bruise__gb_1.mp3
bite,https://www.oxfordlearnersdictionaries.com/definition/english/bite_2,B1,bite,cắn,noun,/baɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bit/bite_/bite__gb_2.mp3
concussed,https://www.oxfordlearnersdictionaries.com/definition/english/concussed,C2,concussed,bị chấn động,adjective,/kənˈkʌst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconcussed__gb_1.mp3
