id,url,levels,word,translation,part_of_speech,ipa,audio_link
assiduous,https://www.oxfordlearnersdictionaries.com/definition/english/assiduous,C2,assiduous,cần mẫn,adjective,/əˈsɪdʒuəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assid/assiduous__gb_3.mp3
artistic,https://www.oxfordlearnersdictionaries.com/definition/english/artistic,B2,artistic,nghệ thuật,adjective,/ɑːˈtɪstɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/art/artis/artistic__gb_1.mp3
accomplished,https://www.oxfordlearnersdictionaries.com/definition/english/accomplished,C1,accomplished,hoàn thành,adjective,/əˈkʌmplɪʃt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplished__gb_1.mp3
adept,https://www.oxfordlearnersdictionaries.com/definition/english/adept_1,C2,adept,lão luyện,adjective,/əˈdept/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ade/adept/adept__gb_1.mp3
autonomous,https://www.oxfordlearnersdictionaries.com/definition/english/autonomous,C2,autonomous,tự trị,adjective,/ɔːˈtɒnəməs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aut/auton/autonomous__gb_1.mp3
adroit,https://www.oxfordlearnersdictionaries.com/definition/english/adroit,C2,adroit,khéo léo,adjective,/əˈdrɔɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adr/adroi/adroit__gb_1.mp3
careful,https://www.oxfordlearnersdictionaries.com/definition/english/careful,A2,careful,cẩn thận,adjective,/ˈkeəfl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/caref/careful__gb_1.mp3
attentive,https://www.oxfordlearnersdictionaries.com/definition/english/attentive,C1,attentive,chú ý,adjective,/əˈtentɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/atten/attentive__gb_1.mp3
calm,https://www.oxfordlearnersdictionaries.com/definition/english/calm_1,B1,calm,điềm tĩnh,adjective,/kɑːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/calm_/calm__gb_1.mp3
(be)_on_the_ball,https://www.oxfordlearnersdictionaries.com/definition/english/ball_1,C2,(be) on the ball,(được) trên quả bóng,noun,/bɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/ball_/ball__gb_3.mp3
caution,https://www.oxfordlearnersdictionaries.com/definition/english/caution_1,C1,caution,thận trọng,noun,/ˈkɔːʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cau/cauti/caution__gb_2.mp3
committed,https://www.oxfordlearnersdictionaries.com/definition/english/committed,C1,committed,tận tụy,adjective,/kəˈmɪtɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commi/committed__gb_1.mp3
competent,https://www.oxfordlearnersdictionaries.com/definition/english/competent,C1,competent,có thẩm quyền,adjective,/ˈkɒmpɪtənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compe/competent__gb_1.mp3
cautious,https://www.oxfordlearnersdictionaries.com/definition/english/cautious,C1,cautious,thận trọng,adjective,/ˈkɔːʃəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cau/cauti/cautious__gb_2.mp3
creative,https://www.oxfordlearnersdictionaries.com/definition/english/creative_1,A2,creative,sáng tạo,adjective,/kriˈeɪtɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/creat/creative__gb_3.mp3
diligent,https://www.oxfordlearnersdictionaries.com/definition/english/diligent,C2,diligent,siêng năng,adjective,/ˈdɪlɪdʒənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dil/dilig/diligent__gb_1.mp3
dignified,https://www.oxfordlearnersdictionaries.com/definition/english/dignified,C1,dignified,trang nghiêm,adjective,/ˈdɪɡnɪfaɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dig/digni/dignified__gb_1.mp3
discreet,https://www.oxfordlearnersdictionaries.com/definition/english/discreet,C2,discreet,kín đáo,adjective,/dɪˈskriːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/discr/discreet__gb_2.mp3
discretion,https://www.oxfordlearnersdictionaries.com/definition/english/discretion,C1,discretion,tùy ý,noun,/dɪˈskreʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/discr/discretion__gb_2.mp3
conscientious,https://www.oxfordlearnersdictionaries.com/definition/english/conscientious,C1,conscientious,tận tâm,adjective,/ˌkɒnʃiˈenʃəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconscientious__gb_1.mp3
efficient,https://www.oxfordlearnersdictionaries.com/definition/english/efficient,B2,efficient,có hiệu quả,adjective,/ɪˈfɪʃnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eff/effic/efficient__gb_2.mp3
hard-working,https://www.oxfordlearnersdictionaries.com/definition/english/hard-working,A2,hard-working,làm việc chăm chỉ,adjective,/ˌhɑːd ˈwɜːkɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/har/hard_/hard_working_1_gb_1.mp3
experienced,https://www.oxfordlearnersdictionaries.com/definition/english/experienced,B1,experienced,có kinh nghiệm,adjective,/ɪkˈspɪəriənst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exp/exper/experienced__gb_1.mp3
imaginative,https://www.oxfordlearnersdictionaries.com/definition/english/imaginative,B2,imaginative,giàu trí tưởng tượng,adjective,/ɪˈmædʒɪnətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ima/imagi/imaginative__gb_1.mp3
enterprising,https://www.oxfordlearnersdictionaries.com/definition/english/enterprising,C2,enterprising,dám nghĩ dám làm,adjective,/ˈentəpraɪzɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ent/enter/enterprising__gb_1.mp3
excel,https://www.oxfordlearnersdictionaries.com/definition/english/excel,B2,excel,vượt trội,verb,/ɪkˈsel/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exc/excel/excel__gb_1.mp3
inspo,https://www.oxfordlearnersdictionaries.com/definition/english/inspo,C2,inspo,nguồn cảm hứng,noun,/ˈɪnspəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ins/inspo/inspo__gb_1.mp3
invest_in,https://www.oxfordlearnersdictionaries.com/definition/english/invest-in,C2,invest in,đầu tư vào,phrasal verb,,
good_sense,https://www.oxfordlearnersdictionaries.com/definition/english/good-sense,B2,good sense,ý thức tốt,noun,/ˌɡʊd ˈsens/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/goo/good_/good_sense_1_gb_1.mp3
keen,https://www.oxfordlearnersdictionaries.com/definition/english/keen_1,B1,keen,sắc sảo,adjective,/kiːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kee/keen_/keen__gb_1.mp3
leadership,https://www.oxfordlearnersdictionaries.com/definition/english/leadership,B2,leadership,Khả năng lãnh đạo,noun,/ˈliːdəʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lea/leade/leadership__gb_1.mp3
mature,https://www.oxfordlearnersdictionaries.com/definition/english/mature_1,C1,mature,trưởng thành,adjective,/məˈtʃʊə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mat/matur/mature__gb_1.mp3
motivate,https://www.oxfordlearnersdictionaries.com/definition/english/motivate,B2,motivate,động viên,verb,/ˈməʊtɪveɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mot/motiv/motivate__gb_1.mp3
organized,https://www.oxfordlearnersdictionaries.com/definition/english/organized,B1,organized,được tổ chức,adjective,/ˈɔːɡənaɪzd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/org/organ/organized__gb_1.mp3
patience,https://www.oxfordlearnersdictionaries.com/definition/english/patience,B2,patience,tính kiên nhẫn,noun,/ˈpeɪʃns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pat/patie/patience__gb_1.mp3
meticulous,https://www.oxfordlearnersdictionaries.com/definition/english/meticulous,C2,meticulous,tỉ mỉ,adjective,/məˈtɪkjələs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/met/metic/meticulous__gb_1.mp3
knowledgeable,https://www.oxfordlearnersdictionaries.com/definition/english/knowledgeable,C1,knowledgeable,hiểu biết,adjective,/ˈnɒlɪdʒəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kno/knowl/knowledgeable__gb_2.mp3
past_master,https://www.oxfordlearnersdictionaries.com/definition/english/past-master,C2,past master,chủ cũ,noun,/ˌpɑːst ˈmɑːstə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pas/past_/past_master_1_gb_1.mp3
musical,https://www.oxfordlearnersdictionaries.com/definition/english/musical_1,B2,musical,âm nhạc,adjective,/ˈmjuːzɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mus/music/musical__gb_1.mp3
patient,https://www.oxfordlearnersdictionaries.com/definition/english/patient_2,B2,patient,kiên nhẫn,adjective,/ˈpeɪʃnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pat/patie/patient__gb_2.mp3
personable,https://www.oxfordlearnersdictionaries.com/definition/english/personable,C2,personable,dễ thương,adjective,/ˈpɜːsənəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/per/perso/personable__gb_1.mp3
practical,https://www.oxfordlearnersdictionaries.com/definition/english/practical_1,B2,practical,thực tế,adjective,/ˈpræktɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pra/pract/practical__gb_2.mp3
potential,https://www.oxfordlearnersdictionaries.com/definition/english/potential_2,B2,potential,tiềm năng,noun,/pəˈtenʃl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pot/poten/potential__gb_2.mp3
professional,https://www.oxfordlearnersdictionaries.com/definition/english/professional_1,B1,professional,chuyên nghiệp,adjective,/prəˈfeʃənl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/profe/professional__gb_3.mp3
proactive,https://www.oxfordlearnersdictionaries.com/definition/english/proactive,C2,proactive,chủ động,adjective,/ˌprəʊˈæktɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/proac/proactive__gb_1.mp3
people_skills,https://www.oxfordlearnersdictionaries.com/definition/english/people-skills,B2,people skills,kỹ năng con người,noun,/ˈpiːpl skɪlz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/peo/peopl/people_skills_1_gb_1.mp3
relatable,https://www.oxfordlearnersdictionaries.com/definition/english/relatable,C1,relatable,có thể tin được,adjective,/rɪˈleɪtəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rel/relat/relatable__gb_2.mp3
quality,https://www.oxfordlearnersdictionaries.com/definition/english/quality_1,B1,quality,chất lượng,noun,/ˈkwɒləti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/q/qua/quali/quality__gb_3.mp3
rational,https://www.oxfordlearnersdictionaries.com/definition/english/rational,C1,rational,hợp lý,adjective,/ˈræʃnəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rat/ratio/rational__gb_1.mp3
reliable,https://www.oxfordlearnersdictionaries.com/definition/english/reliable,B1,reliable,đáng tin cậy,adjective,/rɪˈlaɪəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rel/relia/reliable__gb_2.mp3
polished,https://www.oxfordlearnersdictionaries.com/definition/english/polished,C2,polished,đánh bóng,adjective,/ˈpɒlɪʃt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pol/polis/polished__gb_1.mp3
self-starter,https://www.oxfordlearnersdictionaries.com/definition/english/self-starter,C2,self-starter,tự khởi động,noun,/ˌself ˈstɑːtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/self_/self_starter_1_gb_1.mp3
sangfroid,https://www.oxfordlearnersdictionaries.com/definition/english/sangfroid,C2,sangfroid,sangfroid,noun,/sɒŋˈfrwɑː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/san/sangf/sangfroid__gb_1.mp3
renaissance_man,https://www.oxfordlearnersdictionaries.com/definition/english/renaissance-man,C2,Renaissance man,người đàn ông thời Phục hưng,noun,/rɪˈneɪsns mæn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/ren/renai/renaissance_man_1_gb_2.mp3
responsible,https://www.oxfordlearnersdictionaries.com/definition/english/responsible,B2,responsible,chịu trách nhiệm,adjective,/rɪˈspɒnsəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/res/respo/responsible__gb_2.mp3
self-motivated,https://www.oxfordlearnersdictionaries.com/definition/english/self-motivated,C1,self-motivated,tự động viên,adjective,/ˌself ˈməʊtɪveɪtɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/self_/self_motivated_1_gb_1.mp3
