id,url,levels,word,translation,part_of_speech,ipa,audio_link
chancellor,https://www.oxfordlearnersdictionaries.com/definition/english/chancellor,C2,chancellor,thủ tướng,noun,/ˈtʃɑːnsələ(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chanc/chancellor__gb_1.mp3
governor,https://www.oxfordlearnersdictionaries.com/definition/english/governor,B2,governor,thống đốc,noun,/ˈɡʌvənə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gov/gover/governor__gb_1.mp3
councillor,https://www.oxfordlearnersdictionaries.com/definition/english/councillor,C1,councillor,ủy viên hội đồng,noun,/ˈkaʊnsələ(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/counc/councillor__gb_1.mp3
front_bench,https://www.oxfordlearnersdictionaries.com/definition/english/the-front-bench,C2,front bench,băng ghế phía trước,noun,/ðə ˌfrʌnt ˈbentʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_f/the_front_bench_1_gb_1.mp3
deputy,https://www.oxfordlearnersdictionaries.com/definition/english/deputy,C1,deputy,phó,noun,/ˈdepjuti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/deput/deputy__gb_1.mp3
flotus,https://www.oxfordlearnersdictionaries.com/definition/english/flotus,C2,FLOTUS,FLOTUS,abbreviation,/ˈfləʊtəs/,
congresswoman,https://www.oxfordlearnersdictionaries.com/definition/english/congresswoman,B2,congresswoman,nữ nghị sĩ,noun,/ˈkɒŋɡrəswʊmən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcong/xcongresswoman__gb_2.mp3
demagogue,https://www.oxfordlearnersdictionaries.com/definition/english/demagogue,C2,demagogue,kẻ mị dân,noun,/ˈdeməɡɒɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dem/demag/demagogue__gb_1.mp3
chief_whip,https://www.oxfordlearnersdictionaries.com/definition/english/chief-whip,C2,Chief Whip,roi trưởng,noun,/ˌtʃiːf ˈwɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chief/chief_whip_1_gb_1.mp3
backbencher,https://www.oxfordlearnersdictionaries.com/definition/english/backbencher,C2,backbencher,người ngồi sau lưng,noun,/ˌbækˈbentʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backb/backbencher__gb_1.mp3
independent,https://www.oxfordlearnersdictionaries.com/definition/english/independent_2,C1,independent,độc lập,noun,/ˌɪndɪˈpendənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ind/indep/independent__gb_3.mp3
legislator,https://www.oxfordlearnersdictionaries.com/definition/english/legislator,C1,legislator,nhà lập pháp,noun,/ˈledʒɪsleɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legis/legislator__gb_1.mp3
leadership,https://www.oxfordlearnersdictionaries.com/definition/english/leadership,B2,leadership,Khả năng lãnh đạo,noun,/ˈliːdəʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lea/leade/leadership__gb_1.mp3
minister,https://www.oxfordlearnersdictionaries.com/definition/english/minister_1,B2,minister,bộ trưởng,noun,/ˈmɪnɪstə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/min/minis/minister__gb_1.mp3
home_secretary,https://www.oxfordlearnersdictionaries.com/definition/english/home-secretary,C2,Home Secretary,Bộ trưởng Nội vụ,noun,/ˌhəʊm ˈsekrətri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hom/home_/home_secretary_1_gb_1.mp3
mp,https://www.oxfordlearnersdictionaries.com/definition/english/mp,B1,MP,nghị sĩ,noun,/ˌem ˈpiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mp_/mp__g/mp__gb_1.mp3
majority_whip,https://www.oxfordlearnersdictionaries.com/definition/english/majority-whip,C2,majority whip,đa số roi,noun,/məˌdʒɒrəti ˈwɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/maj/major/majority_whip_1_gb_1.mp3
member_of_parliament,https://www.oxfordlearnersdictionaries.com/definition/english/member-of-parliament,B1,Member of Parliament,Thành viên Quốc hội,noun,/ˌmembər əv ˈpɑːləmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mem/membe/member_of_parliament_1_gb_1.mp3
oligarch,https://www.oxfordlearnersdictionaries.com/definition/english/oligarch,C2,oligarch,đầu sỏ chính trị,noun,/ˈɒlɪɡɑːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/oli/oliga/oligarch__gb_1.mp3
member_of_congress,https://www.oxfordlearnersdictionaries.com/definition/english/member-of-congress,B2,Member of Congress,Thành viên Quốc hội,noun,/ˌmembər əv ˈkɒŋɡres/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mem/membe/member_of_congress_1_gb_1.mp3
pm,https://www.oxfordlearnersdictionaries.com/definition/english/pm_1,B2,PM,Thủ tướng,noun,/ˌpiː ˈem/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pm_/pm__g/pm__gb_1.mp3
mayor,https://www.oxfordlearnersdictionaries.com/definition/english/mayor,B2,mayor,thị trưởng,noun,/meə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/may/mayor/mayor__gb_1.mp3
parliamentarian,https://www.oxfordlearnersdictionaries.com/definition/english/parliamentarian,C2,parliamentarian,nghị sĩ,noun,/ˌpɑːləmənˈteəriən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/parli/parliamentarian__gb_1.mp3
potus,https://www.oxfordlearnersdictionaries.com/definition/english/potus,C2,POTUS,TIỀM NĂNG,abbreviation,/ˈpəʊtəs/,
representative,https://www.oxfordlearnersdictionaries.com/definition/english/representative_1,B2,representative,tiêu biểu,noun,/ˌreprɪˈzentətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rep/repre/representative__gb_3.mp3
premier,https://www.oxfordlearnersdictionaries.com/definition/english/premier_2,C2,premier,thủ tướng,noun,/ˈpremiə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pre/premi/premier__gb_1.mp3
president,https://www.oxfordlearnersdictionaries.com/definition/english/president,A2,president,chủ tịch,noun,/ˈprezɪdənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pre/presi/president__gb_1.mp3
prime_minister,https://www.oxfordlearnersdictionaries.com/definition/english/prime-minister,B1,prime minister,thủ tướng,noun,/ˌpraɪm ˈmɪnɪstə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pri/prime/prime_minister_1_gb_1.mp3
speaker,https://www.oxfordlearnersdictionaries.com/definition/english/speaker,C2,speaker,loa,noun,/ˈspiːkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spe/speak/speaker__gb_1.mp3
