id,url,levels,word,translation,part_of_speech,ipa,audio_link
acupressure,https://www.oxfordlearnersdictionaries.com/definition/english/acupressure,C2,acupressure,bấm huyệt,noun,/ˈækjupreʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acu/acupr/acupressure__gb_1.mp3
alternative_medicine,https://www.oxfordlearnersdictionaries.com/definition/english/alternative-medicine,B2,alternative medicine,thuốc thay thế,noun,/ɔːlˌtɜːnətɪv ˈmedsn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alt/alter/alternative_medicine_1_gb_1.mp3
acupuncture,https://www.oxfordlearnersdictionaries.com/definition/english/acupuncture,B2,acupuncture,châm cứu,noun,/ˈækjupʌŋktʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acu/acupu/acupuncture__gb_1.mp3
chiropractic,https://www.oxfordlearnersdictionaries.com/definition/english/chiropractic,C2,chiropractic,nắn khớp xương,noun,/ˌkaɪərəʊˈpræktɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chiro/chiropractic__gb_1.mp3
ayurvedic_medicine,https://www.oxfordlearnersdictionaries.com/definition/english/ayurvedic-medicine,C2,Ayurvedic medicine,Thuốc Ayurvedic,noun,/ˌaɪəˌveɪdɪk ˈmedsn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ayu/ayurv/ayurvedic_medicine_1_gb_4.mp3
faith_healing,https://www.oxfordlearnersdictionaries.com/definition/english/faith-healing,C2,faith healing,sự chữa lành bằng đức tin,noun,/ˈfeɪθ hiːlɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fai/faith/faith_healing_1_gb_1.mp3
herbalism,https://www.oxfordlearnersdictionaries.com/definition/english/herbalism,C2,herbalism,thảo dược học,noun,/ˈhɜːbəlɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/her/herba/herbalism__gb_1.mp3
alexander_technique,https://www.oxfordlearnersdictionaries.com/definition/english/alexander-technique,C2,Alexander technique,Kỹ thuật Alexander,noun,/ˌælɪɡˈzɑːndə tekniːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ale/alexa/alexander_technique_1_gb_1.mp3
complementary_medicine,https://www.oxfordlearnersdictionaries.com/definition/english/complementary-medicine,C2,complementary medicine,thuốc bổ sung,noun,/ˌkɒmplɪmentri ˈmedsn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compl/complementary_medicine_1_gb_1.mp3
fringe_medicine,https://www.oxfordlearnersdictionaries.com/definition/english/fringe-medicine,C2,fringe medicine,thuốc phụ,noun,/ˌfrɪndʒ ˈmedsn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fri/fring/fringe_medicine_1_gb_2.mp3
