id,url,levels,word,translation,part_of_speech,ipa,audio_link
blog,https://www.oxfordlearnersdictionaries.com/definition/english/blog_1,A1,blog,blog,noun,/blɒɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blog_/blog__gb_2.mp3
blogging,https://www.oxfordlearnersdictionaries.com/definition/english/blogging,B1,blogging,viết blog,noun,/ˈblɒɡɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blogg/blogging__gb_1.mp3
chat,https://www.oxfordlearnersdictionaries.com/definition/english/chat_1,A2,chat,trò chuyện,verb,/tʃæt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chat_/chat__gb_2.mp3
blog,https://www.oxfordlearnersdictionaries.com/definition/english/blog_2,B1,blog,blog,verb,/blɒɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blog_/blog__gb_2.mp3
chat_room,https://www.oxfordlearnersdictionaries.com/definition/english/chat-room,B2,chat room,phòng trò chuyện,noun,/ˈtʃæt ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chat_/chat_room_1_gb_1.mp3
blogger,https://www.oxfordlearnersdictionaries.com/definition/english/blogger,B1,blogger,người viết blog,noun,/ˈblɒɡə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blogg/blogger__gb_1.mp3
blogroll,https://www.oxfordlearnersdictionaries.com/definition/english/blogroll,C2,blogroll,danh sách blog,noun,/ˈblɒɡrəʊl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blogr/blogroll__gb_1.mp3
blog_post,https://www.oxfordlearnersdictionaries.com/definition/english/blog-post,B1,blog post,bài đăng trên blog,noun,/ˈblɒɡ pəʊst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blog_/blog_post_1_gb_2.mp3
bulletin_board,https://www.oxfordlearnersdictionaries.com/definition/english/bulletin-board,C2,bulletin board,bảng thông báo,noun,/ˈbʊlətɪn bɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bul/bulle/bulletin_board_1_gb_1.mp3
blogosphere,https://www.oxfordlearnersdictionaries.com/definition/english/blogosphere,C2,blogosphere,thế giới blog,noun,/ˈblɒɡəsfɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blogo/blogosphere__gb_4.mp3
flash_mob,https://www.oxfordlearnersdictionaries.com/definition/english/flash-mob,C2,flash mob,đám đông chớp nhoáng,noun,/ˈflæʃ mɒb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fla/flash/flashmob__gb_1.mp3
dm,https://www.oxfordlearnersdictionaries.com/definition/english/dm_2,C2,DM,DM,verb,/ˌdiː ˈem/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dms/dms__/dms__gb_1.mp3
facebook™,https://www.oxfordlearnersdictionaries.com/definition/english/facebooktm,A2,Facebook™,Facebook™,noun,/ˈfeɪsbʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fac/faceb/facebook_1_gb_1.mp3
follow,https://www.oxfordlearnersdictionaries.com/definition/english/follow,B2,follow,theo,verb,/ˈfɒləʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fol/follo/follow__gb_1.mp3
deepfake,https://www.oxfordlearnersdictionaries.com/definition/english/deepfake,C2,deepfake,giả sâu,noun,/ˈdiːpfeɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dee/deepf/deepfake__gb_1.mp3
flash_mobbing,https://www.oxfordlearnersdictionaries.com/definition/english/flash-mobbing,C2,flash mobbing,flash mob,noun,/ˈflæʃmɒbɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fla/flash/flashmobbing__gb_1.mp3
digital_media,https://www.oxfordlearnersdictionaries.com/definition/english/digital-media,A2,digital media,phương tiện truyền thông kỹ thuật số,noun,/ˌdɪdʒɪtl ˈmiːdiə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dig/digit/digital_media_1_gb_1.mp3
dm,https://www.oxfordlearnersdictionaries.com/definition/english/dm_1,C2,DM,DM,noun,/ˌdiː ˈem/,
citizen_journalism,https://www.oxfordlearnersdictionaries.com/definition/english/citizen-journalism,C1,citizen journalism,báo chí công dân,noun,/ˌsɪtɪzn ˈdʒɜːnəlɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cit/citiz/citizen_journalism_1_gb_1.mp3
cmc,https://www.oxfordlearnersdictionaries.com/definition/english/cmc,C2,CMC,CMC,abbreviation,/ˌsiː em ˈsiː/,
follower,https://www.oxfordlearnersdictionaries.com/definition/english/follower,B2,follower,người theo sau,noun,/ˈfɒləʊə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fol/follo/follower__gb_1.mp3
friend,https://www.oxfordlearnersdictionaries.com/definition/english/friend_2,B2,friend,người bạn,verb,/frend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fri/frien/friend__gb_1.mp3
followee,https://www.oxfordlearnersdictionaries.com/definition/english/followee,C2,followee,người theo dõi,noun,/ˌfɒləʊˈiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fol/follo/followee__gb_2.mp3
friend,https://www.oxfordlearnersdictionaries.com/definition/english/friend_1,A2,friend,người bạn,noun,/frend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fri/frien/friend__gb_1.mp3
friend_request,https://www.oxfordlearnersdictionaries.com/definition/english/friend-request,B1,friend request,yêu cầu kết bạn,noun,/ˈfrend rɪkwest/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fri/frien/friend_request_1_gb_1.mp3
handle,https://www.oxfordlearnersdictionaries.com/definition/english/handle_2,C2,handle,xử lý,noun,/ˈhændl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/han/handl/handle__gb_1.mp3
hashtag,https://www.oxfordlearnersdictionaries.com/definition/english/hashtag,C2,hashtag,thẻ bắt đầu bằng #,noun,/ˈhæʃtæɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/has/hasht/hashtag__gb_2.mp3
