id,url,levels,word,translation,part_of_speech,ipa,audio_link
fairy_tale,https://www.oxfordlearnersdictionaries.com/definition/english/fairy-tale_1,B1,fairy tale,truyện cổ tích,noun,/ˈfeəri teɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fai/fairy/fairy_tale_1_gb_1.mp3
cyberpunk,https://www.oxfordlearnersdictionaries.com/definition/english/cyberpunk,C2,cyberpunk,cyberpunk,noun,/ˈsaɪbəpʌŋk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cyb/cyber/cyberpunk__gb_1.mp3
anecdote,https://www.oxfordlearnersdictionaries.com/definition/english/anecdote,B2,anecdote,giai thoại,noun,/ˈænɪkdəʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ane/anecd/anecdote__gb_1.mp3
fable,https://www.oxfordlearnersdictionaries.com/definition/english/fable,C1,fable,truyện ngụ ngôn,noun,/ˈfeɪbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fab/fable/fable__gb_1.mp3
afrofuturist,https://www.oxfordlearnersdictionaries.com/definition/english/afrofuturist_2,C2,Afrofuturist,người theo chủ nghĩa vị lai,adjective,/ˌæfrəʊˈfjuːtʃərɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afr/afrof/afrofuturist_1_gb_2.mp3
fantasy,https://www.oxfordlearnersdictionaries.com/definition/english/fantasy,B2,fantasy,tưởng tượng,noun,/ˈfæntəsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fan/fanta/fantasy__gb_2.mp3
afrofuturism,https://www.oxfordlearnersdictionaries.com/definition/english/afrofuturism,C2,Afrofuturism,chủ nghĩa vị lai,noun,/ˌæfrəʊˈfjuːtʃərɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afr/afrof/afrofuturism_1_gb_1.mp3
afrofuturist,https://www.oxfordlearnersdictionaries.com/definition/english/afrofuturist_1,C2,Afrofuturist,người theo chủ nghĩa vị lai,noun,/ˌæfrəʊˈfjuːtʃərɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afr/afrof/afrofuturist_1_gb_2.mp3
allegory,https://www.oxfordlearnersdictionaries.com/definition/english/allegory,C2,allegory,câu chuyện ngụ ngôn,noun,/ˈæləɡəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/alleg/allegory__gb_1.mp3
chick_lit,https://www.oxfordlearnersdictionaries.com/definition/english/chick-lit,C2,chick lit,gà thắp sáng,noun,/ˈtʃɪk lɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chick/chick_lit_1_gb_1.mp3
mystery,https://www.oxfordlearnersdictionaries.com/definition/english/mystery,B1,mystery,bí ẩn,noun,/ˈmɪstri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mys/myste/mystery__gb_1.mp3
legend,https://www.oxfordlearnersdictionaries.com/definition/english/legend,B2,legend,huyền thoại,noun,/ˈledʒənd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legen/legend__gb_1.mp3
folk_tale,https://www.oxfordlearnersdictionaries.com/definition/english/folk-tale,C1,folk tale,truyện dân gian,noun,/ˈfəʊk teɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fol/folk_/folk_tale_1_gb_1.mp3
melodrama,https://www.oxfordlearnersdictionaries.com/definition/english/melodrama,C2,melodrama,kịch tình cảm,noun,/ˈmelədrɑːmə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mel/melod/melodrama__gb_1.mp3
myth,https://www.oxfordlearnersdictionaries.com/definition/english/myth,B2,myth,huyền thoại,noun,/mɪθ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/myt/myth_/myth__gb_1.mp3
horror_story,https://www.oxfordlearnersdictionaries.com/definition/english/horror-story,B1,horror story,câu chuyện kinh dị,noun,/ˈhɒrə stɔːri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hor/horro/horror_story_1_gb_1.mp3
parable,https://www.oxfordlearnersdictionaries.com/definition/english/parable,C2,parable,chuyện ngụ ngôn,noun,/ˈpærəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/parab/parable__gb_1.mp3
page-turner,https://www.oxfordlearnersdictionaries.com/definition/english/page-turner,C2,page-turner,trình lật trang,noun,/ˈpeɪdʒ tɜːnə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pag/page_/page_turner_1_gb_1.mp3
saga,https://www.oxfordlearnersdictionaries.com/definition/english/saga_1,C2,saga,câu chuyện,noun,/ˈsɑːɡə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sag/saga_/saga__gb_1.mp3
ghost_story,https://www.oxfordlearnersdictionaries.com/definition/english/ghost-story,B1,ghost story,truyện ma,noun,/ˈɡəʊst stɔːri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gho/ghost/ghost_story_1_gb_1.mp3
science_fiction,https://www.oxfordlearnersdictionaries.com/definition/english/science-fiction,A2,science fiction,khoa học viễn tưởng,noun,/ˌsaɪəns ˈfɪkʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sci/scien/science_fiction_1_gb_1.mp3
romance,https://www.oxfordlearnersdictionaries.com/definition/english/romance_1,C1,romance,lãng mạn,noun,/rəʊˈmæns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rom/roman/romance__gb_3.mp3
