id,url,levels,word,translation,part_of_speech,ipa,audio_link
backslash,https://www.oxfordlearnersdictionaries.com/definition/english/backslash,C2,backslash,dấu gạch chéo ngược,noun,/ˈbækslæʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backs/backslash__gb_1.mp3
back-end,https://www.oxfordlearnersdictionaries.com/definition/english/back-end_2,C2,back-end,phía sau,adjective,/ˈbæk end/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/back_/back_end_1_gb_1.mp3
artificial_intelligence,https://www.oxfordlearnersdictionaries.com/definition/english/artificial-intelligence,B2,artificial intelligence,trí tuệ nhân tạo,noun,/ˌɑːtɪfɪʃl ɪnˈtelɪdʒəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/art/artif/artificial_intelligence_1_gb_1.mp3
ai,https://www.oxfordlearnersdictionaries.com/definition/english/ai,C2,AI,trí tuệ nhân tạo,abbreviation,/ˌeɪ ˈaɪ/,
authoring,https://www.oxfordlearnersdictionaries.com/definition/english/authoring,C2,authoring,tác giả,noun,/ˈɔːθərɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aut/autho/authoring__gb_1.mp3
array,https://www.oxfordlearnersdictionaries.com/definition/english/array_1,C2,array,mảng,noun,/əˈreɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arr/array/array__gb_1.mp3
architecture,https://www.oxfordlearnersdictionaries.com/definition/english/architecture,C1,architecture,ngành kiến ​​​​trúc,noun,/ˈɑːkɪtektʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arc/archi/architecture__gb_1.mp3
algol,https://www.oxfordlearnersdictionaries.com/definition/english/algol,C2,Algol,Algol,noun,/ˈælɡɒl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alg/algol/algol__gb_1.mp3
architect,https://www.oxfordlearnersdictionaries.com/definition/english/architect_1,C2,architect,kiến trúc sư,noun,/ˈɑːkɪtekt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arc/archi/architect__gb_1.mp3
batch,https://www.oxfordlearnersdictionaries.com/definition/english/batch_1,C2,batch,lô,noun,/bætʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/batch/batch__gb_2.mp3
bios,https://www.oxfordlearnersdictionaries.com/definition/english/bios,C2,BIOS,BIOS,abbreviation,/ˈbaɪɒs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bio/bios_/bios__gb_1.mp3
bit,https://www.oxfordlearnersdictionaries.com/definition/english/bit_1,C2,bit,chút,noun,/bɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bit/bit__/bit__gb_6.mp3
basic,https://www.oxfordlearnersdictionaries.com/definition/english/basic_2,C2,BASIC,NỀN TẢNG,noun,/ˈbeɪsɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/basic/basic__gb_3.mp3
bitcoin™,https://www.oxfordlearnersdictionaries.com/definition/english/bitcointm,C2,Bitcoin™,Bitcoin™,noun,/ˈbɪtkɔɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bit/bitco/bitcoin__gb_2.mp3
byte,https://www.oxfordlearnersdictionaries.com/definition/english/byte,C1,byte,byte,noun,/baɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/byt/byte_/byte__gb_2.mp3
cache,https://www.oxfordlearnersdictionaries.com/definition/english/cache_2,C2,cache,bộ nhớ đệm,verb,/kæʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cac/cache/cache__gb_2.mp3
binary,https://www.oxfordlearnersdictionaries.com/definition/english/binary_1,C2,binary,nhị phân,adjective,/ˈbaɪnəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bin/binar/binary__gb_1.mp3
