id,url,levels,word,translation,part_of_speech,ipa,audio_link
concourse,https://www.oxfordlearnersdictionaries.com/definition/english/concourse,C2,concourse,buổi hòa nhạc,noun,/ˈkɒŋkɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconcourse__gb_1.mp3
branch,https://www.oxfordlearnersdictionaries.com/definition/english/branch_1,C1,branch,chi nhánh,noun,/brɑːntʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/branc/branch__gb_1.mp3
booking_office,https://www.oxfordlearnersdictionaries.com/definition/english/booking-office,B2,booking office,văn phòng đặt vé,noun,/ˈbʊkɪŋ ɒfɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/booki/booking_office_1_gb_1.mp3
embankment,https://www.oxfordlearnersdictionaries.com/definition/english/embankment,C2,embankment,bờ kè,noun,/ɪmˈbæŋkmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/emb/emban/embankment__gb_1.mp3
funicular,https://www.oxfordlearnersdictionaries.com/definition/english/funicular,C2,funicular,đường sắt leo núi,noun,/fjuːˈnɪkjələ(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fun/funic/funicular__gb_1.mp3
cutting,https://www.oxfordlearnersdictionaries.com/definition/english/cutting_1,C2,cutting,cắt,noun,/ˈkʌtɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cut/cutti/cutting__gb_1.mp3
gage,https://www.oxfordlearnersdictionaries.com/definition/english/gage_1,C2,gage,máy đo,noun,/ɡeɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gag/gage_/gage__gb_2.mp3
gauge,https://www.oxfordlearnersdictionaries.com/definition/english/gauge_1,C2,gauge,máy đo,noun,/ɡeɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gau/gauge/gauge__gb_2.mp3
buffer,https://www.oxfordlearnersdictionaries.com/definition/english/buffer_1,C2,buffer,đệm,noun,/ˈbʌfə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/buf/buffe/buffer__gb_1.mp3
gradient,https://www.oxfordlearnersdictionaries.com/definition/english/gradient,C1,gradient,độ dốc,noun,/ˈɡreɪdiənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/gradi/gradient__gb_1.mp3
junction,https://www.oxfordlearnersdictionaries.com/definition/english/junction,C1,junction,ngã ba,noun,/ˈdʒʌŋkʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/jun/junct/junction__gb_1.mp3
grade_crossing,https://www.oxfordlearnersdictionaries.com/definition/english/grade-crossing,C2,grade crossing,vượt lớp,noun,/ˈɡreɪd krɒsɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/grade/grade_crossing_1_gb_1.mp3
halt,https://www.oxfordlearnersdictionaries.com/definition/english/halt_2,C2,halt,dừng lại,noun,/hɔːlt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hal/halt_/halt__gb_3.mp3
main_line,https://www.oxfordlearnersdictionaries.com/definition/english/main-line_1,B2,main line,dòng chính,noun,/ˌmeɪn ˈlaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mai/main_/main_line_1_gb_1.mp3
loop,https://www.oxfordlearnersdictionaries.com/definition/english/loop_1,C2,loop,vòng lặp,noun,/luːp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/loo/loop_/loop__gb_1.mp3
line,https://www.oxfordlearnersdictionaries.com/definition/english/line_1,A2,line,đường kẻ,noun,/laɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lin/line_/line__gb_1.mp3
main-line,https://www.oxfordlearnersdictionaries.com/definition/english/main-line_2,B2,main-line,dòng chính,adjective,/ˌmeɪn ˈlaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mai/main_/main_line_1_gb_1.mp3
left_luggage_office,https://www.oxfordlearnersdictionaries.com/definition/english/left-luggage-office,B2,left luggage office,văn phòng hành lý trái,noun,/ˌleft ˈlʌɡɪdʒ ɒfɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lef/left_/left_luggage_office_1_gb_1.mp3
level_crossing,https://www.oxfordlearnersdictionaries.com/definition/english/level-crossing,C2,level crossing,vượt cấp,noun,/ˌlevl ˈkrɒsɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lev/level/level_crossing_1_gb_1.mp3
office,https://www.oxfordlearnersdictionaries.com/definition/english/office,A1,office,văn phòng,noun,/ˈɒfɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/off/offic/office__gb_2.mp3
platform,https://www.oxfordlearnersdictionaries.com/definition/english/platform,A2,platform,nền tảng,noun,/ˈplætfɔːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pla/platf/platform__gb_1.mp3
narrow_gauge,https://www.oxfordlearnersdictionaries.com/definition/english/narrow-gauge,C2,narrow gauge,khổ hẹp,noun,/ˈnærəʊ ɡeɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nar/narro/narrow_gauge_1_gb_1.mp3
overbridge,https://www.oxfordlearnersdictionaries.com/definition/english/overbridge,C2,overbridge,cầu vượt,noun,/ˈəʊvəbrɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ove/overb/overbridge__gb_1.mp3
rail,https://www.oxfordlearnersdictionaries.com/definition/english/rail_1,B2,rail,đường sắt,noun,/reɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rai/rail_/rail__gb_1.mp3
marshalling_yard,https://www.oxfordlearnersdictionaries.com/definition/english/marshalling-yard,C2,marshalling yard,bãi tập kết,noun,/ˈmɑːʃlɪŋ jɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marsh/marshalling_yard_1_gb_1.mp3
point,https://www.oxfordlearnersdictionaries.com/definition/english/point_1,C2,point,điểm,noun,/pɔɪnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/poi/point/point__gb_1.mp3
railhead,https://www.oxfordlearnersdictionaries.com/definition/english/railhead,C2,railhead,đầu đường sắt,noun,/ˈreɪlhed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rai/railh/railhead__gb_1.mp3
