id,url,levels,word,translation,part_of_speech,ipa,audio_link
absolutely,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely,B1,absolutely,tuyệt đối,adverb,/ˈæbsəluːtli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absol/absolutely__gb_6.mp3
academic_1,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1,B1,academic,học thuật,adjective,/ˌækəˈdemɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academic__gb_2.mp3
access_1,https://www.oxfordlearnersdictionaries.com/definition/english/access_1,B1,access,truy cập,noun,/ˈækses/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/access__gb_4.mp3
access_2,https://www.oxfordlearnersdictionaries.com/definition/english/access_2,B1,access,truy cập,verb,/ˈækses/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/access__gb_4.mp3
accommodation,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation,B1,accommodation,chỗ ở,noun,/əˌkɒməˈdeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accommodation__gb_2.mp3
account_1,https://www.oxfordlearnersdictionaries.com/definition/english/account_1,B1,account,tài khoản,noun,/əˈkaʊnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/account__gb_1.mp3
achievement,https://www.oxfordlearnersdictionaries.com/definition/english/achievement,B1,achievement,thành tích,noun,/əˈtʃiːvmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achievement__gb_1.mp3
act_2,https://www.oxfordlearnersdictionaries.com/definition/english/act_2,B1,act,hành động,noun,/ækt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/act__/act__gb_2.mp3
ad_1,https://www.oxfordlearnersdictionaries.com/definition/english/ad_1,B1,ad,quảng cáo,noun,/æd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ad_/ad__g/ad__gb_2.mp3
addition,https://www.oxfordlearnersdictionaries.com/definition/english/addition,B1,addition,phép cộng,noun,/əˈdɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addit/addition__gb_1.mp3
admire,https://www.oxfordlearnersdictionaries.com/definition/english/admire,B1,admire,ngưỡng mộ,verb,/ədˈmaɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admir/admire__gb_1.mp3
admit,https://www.oxfordlearnersdictionaries.com/definition/english/admit,B1,admit,thừa nhận,verb,/ədˈmɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admit/admit__gb_1.mp3
advanced,https://www.oxfordlearnersdictionaries.com/definition/english/advanced,B1,advanced,trình độ cao,adjective,/ədˈvɑːnst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advanced__gb_1.mp3
advise,https://www.oxfordlearnersdictionaries.com/definition/english/advise,B1,advise,khuyên nhủ,verb,/ədˈvaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advis/advise__gb_2.mp3
afford,https://www.oxfordlearnersdictionaries.com/definition/english/afford,B1,afford,đủ khả năng,verb,/əˈfɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affor/afford__gb_1.mp3
age_3,https://www.oxfordlearnersdictionaries.com/definition/english/age_3,B1,age,tuổi,verb,/eɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/age/age__/age__gb_1.mp3
aged,https://www.oxfordlearnersdictionaries.com/definition/english/aged,B1,aged,già,adjective,/eɪdʒd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/age/aged_/aged__gb_1.mp3
agent,https://www.oxfordlearnersdictionaries.com/definition/english/agent,B1,agent,đại lý,noun,/ˈeɪdʒənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/age/agent/agent__gb_1.mp3
agreement,https://www.oxfordlearnersdictionaries.com/definition/english/agreement,B1,agreement,hiệp định,noun,/əˈɡriːmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agree/agreement__gb_1.mp3
ahead,https://www.oxfordlearnersdictionaries.com/definition/english/ahead,B1,ahead,phía trước,adverb,/əˈhed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ahe/ahead/ahead__gb_1.mp3
aim_2,https://www.oxfordlearnersdictionaries.com/definition/english/aim_2,B1,aim,mục tiêu,noun,/eɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aim/aim__/aim__gb_2.mp3
aim_1,https://www.oxfordlearnersdictionaries.com/definition/english/aim_1,B1,aim,mục tiêu,verb,/eɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aim/aim__/aim__gb_2.mp3
album,https://www.oxfordlearnersdictionaries.com/definition/english/album,B1,album,album,noun,/ˈælbəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alb/album/album__gb_1.mp3
