id,url,levels,word,translation,part_of_speech,ipa,audio_link
dead_weight,https://www.oxfordlearnersdictionaries.com/definition/english/dead-weight,C2,dead weight,trọng lượng chết,noun,/ˌded ˈweɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dea/deadw/deadweight__gb_1.mp3
defeat,https://www.oxfordlearnersdictionaries.com/definition/english/defeat_1,B2,defeat,đánh bại,verb,/dɪˈfiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defea/defeat__gb_1.mp3
deficiency,https://www.oxfordlearnersdictionaries.com/definition/english/deficiency,C1,deficiency,sự thiếu hụt,noun,/dɪˈfɪʃnsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defic/deficiency__gb_1.mp3
doom,https://www.oxfordlearnersdictionaries.com/definition/english/doom_2,C1,doom,sự diệt vong,verb,/duːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/doo/doom_/doom__gb_1.mp3
damper,https://www.oxfordlearnersdictionaries.com/definition/english/damper,C2,damper,van điều tiết,noun,/ˈdæmpə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dam/dampe/damper__gb_1.mp3
conquest,https://www.oxfordlearnersdictionaries.com/definition/english/conquest,C2,conquest,chinh phục,noun,/ˈkɒŋkwest/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconq/xconquest__gb_1.mp3
cost,https://www.oxfordlearnersdictionaries.com/definition/english/cost_2,B1,cost,trị giá,verb,/kɒst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cos/cost_/cost__gb_1.mp3
at_the_expense_of_somebody/something,https://www.oxfordlearnersdictionaries.com/definition/english/expense,C1,at the expense of somebody/something,với cái giá phải trả của ai đó/cái gì đó,noun,/ɪkˈspens/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exp/expen/expense__gb_1.mp3
cook_somebody’s_goose,https://www.oxfordlearnersdictionaries.com/definition/english/cook_1,C2,cook somebody’s goose,nấu ngỗng cho ai đó,verb,/kʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cook_/cook__gb_3.mp3
enemy,https://www.oxfordlearnersdictionaries.com/definition/english/enemy,B2,enemy,kẻ thù,noun,/ˈenəmi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ene/enemy/enemy__gb_1.mp3
