id,url,levels,word,translation,part_of_speech,ipa,audio_link
decoration,https://www.oxfordlearnersdictionaries.com/definition/english/decoration,B2,decoration,trang trí,noun,/ˌdekəˈreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decor/decoration__gb_2.mp3
cornice,https://www.oxfordlearnersdictionaries.com/definition/english/cornice,C2,cornice,mái hiên,noun,/ˈkɔːnɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corni/cornice__gb_1.mp3
comforter,https://www.oxfordlearnersdictionaries.com/definition/english/comforter,B2,comforter,chăn bông,noun,/ˈkʌmfətə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comfo/comforter__gb_1.mp3
curtain,https://www.oxfordlearnersdictionaries.com/definition/english/curtain_1,B1,curtain,tấm màn,noun,/ˈkɜːtn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cur/curta/curtain__gb_2.mp3
cushion,https://www.oxfordlearnersdictionaries.com/definition/english/cushion_1,C1,cushion,cái đệm,noun,/ˈkʊʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cus/cushi/cushion__gb_1.mp3
decor,https://www.oxfordlearnersdictionaries.com/definition/english/decor,C1,decor,thiết kế nội thất,noun,/ˈdeɪkɔː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decor/decor__gb_3.mp3
decorate,https://www.oxfordlearnersdictionaries.com/definition/english/decorate,B1,decorate,trang trí,verb,/ˈdekəreɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decor/decorate__gb_3.mp3
chintz,https://www.oxfordlearnersdictionaries.com/definition/english/chintz,C2,chintz,hoa vải,noun,/tʃɪnts/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chint/chintz__gb_2.mp3
built-in,https://www.oxfordlearnersdictionaries.com/definition/english/built-in,C1,built-in,tích hợp sẵn,adjective,/ˌbɪlt ˈɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bui/built/built_in_1_gb_1.mp3
baseboard,https://www.oxfordlearnersdictionaries.com/definition/english/baseboard,C2,baseboard,ván chân tường,noun,/ˈbeɪsbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/baseb/baseboard__gb_2.mp3
diy,https://www.oxfordlearnersdictionaries.com/definition/english/diy,B2,DIY,tự làm lấy,noun,/ˌdiː aɪ ˈwaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/diy/diy__/diy__gb_1.mp3
fitting,https://www.oxfordlearnersdictionaries.com/definition/english/fitting_2,C2,fitting,lắp,noun,/ˈfɪtɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fit/fitti/fitting__gb_1.mp3
fixture,https://www.oxfordlearnersdictionaries.com/definition/english/fixture,C1,fixture,vật cố định,noun,/ˈfɪkstʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fix/fixtu/fixture__gb_1.mp3
hang,https://www.oxfordlearnersdictionaries.com/definition/english/hang_1,C2,hang,treo,verb,/hæŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/han/hang_/hang__gb_1.mp3
hanging,https://www.oxfordlearnersdictionaries.com/definition/english/hanging,C2,hanging,treo,noun,/ˈhæŋɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/han/hangi/hanging__gb_1.mp3
drape,https://www.oxfordlearnersdictionaries.com/definition/english/drape_2,C2,drape,treo lên,noun,/dreɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dra/drape/drape__gb_2.mp3
frieze,https://www.oxfordlearnersdictionaries.com/definition/english/frieze,C2,frieze,đường diềm,noun,/friːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fri/friez/frieze__gb_1.mp3
detailing,https://www.oxfordlearnersdictionaries.com/definition/english/detailing,C2,detailing,chi tiết,noun,/ˈdiːteɪlɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/det/detai/detailing__gb_1.mp3
home_improvement,https://www.oxfordlearnersdictionaries.com/definition/english/home-improvement,C1,home improvement,cải tạo nhà cửa,noun,/ˌhəʊm ɪmˈpruːvmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hom/home_/home_improvement_1_gb_1.mp3
duvet,https://www.oxfordlearnersdictionaries.com/definition/english/duvet,B2,duvet,chăn bông,noun,/ˈduːveɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/duv/duvet/duvet__gb_1.mp3
linoleum,https://www.oxfordlearnersdictionaries.com/definition/english/linoleum,C2,linoleum,vải sơn,noun,/lɪˈnəʊliəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lin/linol/linoleum__gb_1.mp3
moulding,https://www.oxfordlearnersdictionaries.com/definition/english/moulding,C2,moulding,đúc,noun,/ˈməʊldɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mou/mould/moulding__gb_1.mp3
knick-knack,https://www.oxfordlearnersdictionaries.com/definition/english/knick-knack,C2,knick-knack,chuyện vặt vãnh,noun,/ˈnɪk næk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kni/knick/knick_knack_1_gb_3.mp3
lino,https://www.oxfordlearnersdictionaries.com/definition/english/lino,C2,lino,lino,noun,/ˈlaɪnəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lin/lino_/lino__gb_1.mp3
mural,https://www.oxfordlearnersdictionaries.com/definition/english/mural_2,C1,mural,bức tranh tường,noun,/ˈmjʊərəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mur/mural/mural__gb_1.mp3
interior,https://www.oxfordlearnersdictionaries.com/definition/english/interior_2,C1,interior,nội thất,adjective,/ɪnˈtɪəriə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/inter/interior__gb_2.mp3
ornament,https://www.oxfordlearnersdictionaries.com/definition/english/ornament_1,C2,ornament,vật trang trí,noun,/ˈɔːnəmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/orn/ornam/ornament__gb_1.mp3
ornament,https://www.oxfordlearnersdictionaries.com/definition/english/ornament_2,C2,ornament,vật trang trí,verb,/ˈɔːnəment/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/orn/ornam/ornament__gb_2.mp3
paint,https://www.oxfordlearnersdictionaries.com/definition/english/paint_1,A1,paint,sơn,noun,/peɪnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pai/paint/paint__gb_1.mp3
