id,url,levels,word,translation,part_of_speech,ipa,audio_link
blackboard,https://www.oxfordlearnersdictionaries.com/definition/english/blackboard,B1,blackboard,bảng đen,noun,/ˈblækbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/black/blackboard__gb_2.mp3
common_room,https://www.oxfordlearnersdictionaries.com/definition/english/common-room,C2,common room,phòng sinh hoạt chung,noun,/ˈkɒmən ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commo/common_room_1_gb_1.mp3
classroom,https://www.oxfordlearnersdictionaries.com/definition/english/classroom,A1,classroom,lớp học,noun,/ˈklɑːsruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/class/classroom__gb_1.mp3
board,https://www.oxfordlearnersdictionaries.com/definition/english/board_1,A2,board,Cái bảng,noun,/bɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boa/board/board__gb_2.mp3
chapel,https://www.oxfordlearnersdictionaries.com/definition/english/chapel,C2,chapel,nhà nguyện,noun,/ˈtʃæpl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chape/chapel__gb_3.mp3
canteen,https://www.oxfordlearnersdictionaries.com/definition/english/canteen,B1,canteen,căng tin,noun,/kænˈtiːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/can/cante/canteen__gb_1.mp3
chalk,https://www.oxfordlearnersdictionaries.com/definition/english/chalk_1,C1,chalk,phấn,noun,/tʃɔːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chalk/chalk__gb_2.mp3
book,https://www.oxfordlearnersdictionaries.com/definition/english/book_1,A1,book,sách,noun,/bʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/book_/book__gb_2.mp3
calculator,https://www.oxfordlearnersdictionaries.com/definition/english/calculator,B2,calculator,máy tính,noun,/ˈkælkjuleɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/calcu/calculator__gb_1.mp3
chalkboard,https://www.oxfordlearnersdictionaries.com/definition/english/chalkboard,C1,chalkboard,bảng đen,noun,/ˈtʃɔːkbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chalk/chalkboard__gb_2.mp3
