id,url,levels,word,translation,part_of_speech,ipa,audio_link
blueprint,https://www.oxfordlearnersdictionaries.com/definition/english/blueprint,C2,blueprint,bản thiết kế,noun,/ˈbluːprɪnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/bluep/blueprint__gb_1.mp3
clone,https://www.oxfordlearnersdictionaries.com/definition/english/clone_2,C1,clone,dòng vô tính,verb,/kləʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/clone/clone__gb_1.mp3
chromosome,https://www.oxfordlearnersdictionaries.com/definition/english/chromosome,C2,chromosome,nhiễm sắc thể,noun,/ˈkrəʊməsəʊm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chr/chrom/chromosome__gb_1.mp3
allele,https://www.oxfordlearnersdictionaries.com/definition/english/allele,C2,allele,alen,noun,/əˈliːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allel/allele__gb_1.mp3
dominant,https://www.oxfordlearnersdictionaries.com/definition/english/dominant,C2,dominant,trội,adjective,/ˈdɒmɪnənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dom/domin/dominant__gb_1.mp3
dna,https://www.oxfordlearnersdictionaries.com/definition/english/dna,B2,DNA,ADN,noun,/ˌdiː en ˈeɪ/,
deoxyribonucleic_acid,https://www.oxfordlearnersdictionaries.com/definition/english/deoxyribonucleic-acid,C2,deoxyribonucleic acid,axit deoxyribonucleic,noun,/diˌɒksiˌraɪbəʊnjuːˌkleɪɪk ˈæsɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/deo/deoxy/deoxyribonucleic_acid_1_gb_1.mp3
clone,https://www.oxfordlearnersdictionaries.com/definition/english/clone_1,C1,clone,dòng vô tính,noun,/kləʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/clone/clone__gb_1.mp3
disruptor,https://www.oxfordlearnersdictionaries.com/definition/english/disruptor,C2,disruptor,kẻ phá rối,noun,/dɪsˈrʌptə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disru/disrupter__gb_1.mp3
biotype,https://www.oxfordlearnersdictionaries.com/definition/english/biotype,C2,biotype,kiểu sinh học,noun,/ˈbaɪəʊtaɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bio/bioty/biotype__gb_2.mp3
