id,url,levels,word,translation,part_of_speech,ipa,audio_link
africa,https://www.oxfordlearnersdictionaries.com/definition/english/africa,A1,Africa,Châu phi,noun,/ˈæfrɪkə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afr/afric/africa__gb_3.mp3
continent,https://www.oxfordlearnersdictionaries.com/definition/english/continent_2,A2,continent,lục địa,noun,/ˈkɒntɪnənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontinent__gb_2.mp3
antarctica,https://www.oxfordlearnersdictionaries.com/definition/english/antarctica,B1,Antarctica,Nam Cực,noun,/ænˈtɑːktɪkə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/antar/antarctica_1_gb_4.mp3
country,https://www.oxfordlearnersdictionaries.com/definition/english/country,A1,country,quốc gia,noun,/ˈkʌntri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/count/country__gb_3.mp3
north_america,https://www.oxfordlearnersdictionaries.com/definition/english/north-america,A1,North America,Bắc Mỹ,noun,/ˌnɔːθ əˈmerɪkə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nor/north/north_america_1_gb_1.mp3
australasia,https://www.oxfordlearnersdictionaries.com/definition/english/australasia,C2,Australasia,Châu Úc,noun,/ˌɒstrəˈleɪʒə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aus/austr/australasia__gb_4.mp3
geography,https://www.oxfordlearnersdictionaries.com/definition/english/geography,A1,geography,địa lý,noun,/dʒiˈɒɡrəfi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/geo/geogr/geography__gb_1.mp3
south_america,https://www.oxfordlearnersdictionaries.com/definition/english/south-america,A1,South America,Nam Mỹ,noun,/ˌsaʊθ əˈmerɪkə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sou/south/south_america_1_gb_1.mp3
asia,https://www.oxfordlearnersdictionaries.com/definition/english/asia,A1,Asia,Châu Á,noun,/ˈeɪʒə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/asi/asia_/asia_1_gb_8.mp3
europe,https://www.oxfordlearnersdictionaries.com/definition/english/europe,A1,Europe,Châu Âu,noun,/ˈjʊərəp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eur/europ/europe__gb_1.mp3
