id,url,levels,word,translation,part_of_speech,ipa,audio_link
bride,https://www.oxfordlearnersdictionaries.com/definition/english/bride,B1,bride,cô dâu,noun,/braɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/bride/bride__gb_1.mp3
anniversary,https://www.oxfordlearnersdictionaries.com/definition/english/anniversary,B2,anniversary,dịp kỉ niệm,noun,/ˌænɪˈvɜːsəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ann/anniv/anniversary__gb_1.mp3
best_man,https://www.oxfordlearnersdictionaries.com/definition/english/best-man,C1,best man,người đàn ông tốt nhất,noun,/ˌbest ˈmæn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bes/best_/best_man_1_gb_1.mp3
bachelor_party,https://www.oxfordlearnersdictionaries.com/definition/english/bachelor-party,C2,bachelor party,tiệc độc thân,noun,/ˈbætʃələ pɑːti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/bache/bachelor_party_1_gb_1.mp3
bridal,https://www.oxfordlearnersdictionaries.com/definition/english/bridal,C2,bridal,cô dâu,adjective,/ˈbraɪdl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brida/bridal__gb_1.mp3
bigamous,https://www.oxfordlearnersdictionaries.com/definition/english/bigamous,C2,bigamous,chung thủy,adjective,/ˈbɪɡəməs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/big/bigam/bigamous__gb_2.mp3
bridegroom,https://www.oxfordlearnersdictionaries.com/definition/english/bridegroom,B2,bridegroom,chú rể,noun,/ˈbraɪdɡruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/bride/bridegroom__gb_1.mp3
arranged_marriage,https://www.oxfordlearnersdictionaries.com/definition/english/arranged-marriage,B2,arranged marriage,cuộc hôn nhân sắp đặt,noun,/əˌreɪndʒd ˈmærɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arr/arran/arranged_marriage_1_gb_1.mp3
best_woman,https://www.oxfordlearnersdictionaries.com/definition/english/best-woman,C1,best woman,người phụ nữ tốt nhất,noun,/ˌbest ˈwʊmən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bes/best_/best_woman_1_gb_1.mp3
bachelorette_party,https://www.oxfordlearnersdictionaries.com/definition/english/bachelorette-party,C2,bachelorette party,bữa tiệc độc thân,noun,/ˌbætʃələˈret pɑːti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/bache/bachelorette_party_1_gb_1.mp3
bridesmaid,https://www.oxfordlearnersdictionaries.com/definition/english/bridesmaid,B2,bridesmaid,phù dâu,noun,/ˈbraɪdzmeɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/bride/bridesmaid__gb_1.mp3
ceremony,https://www.oxfordlearnersdictionaries.com/definition/english/ceremony,B1,ceremony,lễ,noun,/ˈserəməni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cer/cerem/ceremony__gb_1.mp3
certificate,https://www.oxfordlearnersdictionaries.com/definition/english/certificate_1,B2,certificate,giấy chứng nhận,noun,/səˈtɪfɪkət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cer/certi/certificate__gb_4.mp3
confetti,https://www.oxfordlearnersdictionaries.com/definition/english/confetti,C2,confetti,hoa giấy,noun,/kənˈfeti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconf/xconfetti__gb_1.mp3
conjugal,https://www.oxfordlearnersdictionaries.com/definition/english/conjugal,C2,conjugal,vợ chồng,adjective,/ˈkɒndʒəɡl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconj/xconjugal__gb_1.mp3
consummate,https://www.oxfordlearnersdictionaries.com/definition/english/consummate2,C2,consummate,hoàn toàn,verb,/ˈkɒnsəmeɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsummate__gb_3.mp3
connubial,https://www.oxfordlearnersdictionaries.com/definition/english/connubial,C2,connubial,vợ chồng,adjective,/kəˈnjuːbiəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconn/xconnubial__gb_1.mp3
consummation,https://www.oxfordlearnersdictionaries.com/definition/english/consummation,C2,consummation,viên mãn,noun,/ˌkɒnsəˈmeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsummation__gb_1.mp3
civil_marriage,https://www.oxfordlearnersdictionaries.com/definition/english/civil-marriage,C1,civil marriage,hôn nhân dân sự,noun,/ˌsɪvl ˈmærɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/civ/civil/civil_marriage_1_gb_1.mp3
civil_partnership,https://www.oxfordlearnersdictionaries.com/definition/english/civil-partnership,C1,civil partnership,quan hệ đối tác dân sự,noun,/ˌsɪvl ˈpɑːtnəʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/civ/civil/civil_partnership_1_gb_1.mp3
dowry,https://www.oxfordlearnersdictionaries.com/definition/english/dowry,C2,dowry,của hồi môn,noun,/ˈdaʊri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dow/dowry/dowry__gb_2.mp3
engagement,https://www.oxfordlearnersdictionaries.com/definition/english/engagement,C1,engagement,hôn ước,noun,/ɪnˈɡeɪdʒmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eng/engag/engagement__gb_1.mp3
engaged,https://www.oxfordlearnersdictionaries.com/definition/english/engaged,B1,engaged,đính hôn,adjective,/ɪnˈɡeɪdʒd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eng/engag/engaged__gb_1.mp3
engagement_ring,https://www.oxfordlearnersdictionaries.com/definition/english/engagement-ring,C1,engagement ring,nhẫn đính hôn,noun,/ɪnˈɡeɪdʒmənt rɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eng/engag/engagement_ring_1_gb_1.mp3
diamond_wedding,https://www.oxfordlearnersdictionaries.com/definition/english/diamond-wedding,C2,diamond wedding,đám cưới kim cương,noun,/ˌdaɪmənd ˈwedɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dia/diamo/diamond_wedding_1_gb_2.mp3
fiancé,https://www.oxfordlearnersdictionaries.com/definition/english/fiance,C1,fiancé,hôn phu,noun,/fiˈɒnseɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fia/fianc/fiance_1_gb_1.mp3
fiancée,https://www.oxfordlearnersdictionaries.com/definition/english/fiancee,C1,fiancée,hôn thê,noun,/fiˈɒnseɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fia/fianc/fiancee_1_gb_1.mp3
give_away,https://www.oxfordlearnersdictionaries.com/definition/english/give-away,C2,give away,cho đi,phrasal verb,,
golden_wedding,https://www.oxfordlearnersdictionaries.com/definition/english/golden-wedding,C2,golden wedding,đám cưới vàng,noun,/ˌɡəʊldən ˈwedɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gol/golde/golden_wedding_1_gb_1.mp3
groomsman,https://www.oxfordlearnersdictionaries.com/definition/english/groomsman,C2,groomsman,phù rể,noun,/ˈɡruːmzmən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gro/groom/groomsman__gb_1.mp3
get_hitched,https://www.oxfordlearnersdictionaries.com/definition/english/hitch_1,C2,get hitched,bị cản trở,verb,/hɪtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hit/hitch/hitch__gb_1.mp3
hen_party,https://www.oxfordlearnersdictionaries.com/definition/english/hen-party,C2,hen party,bữa tiệc gà mái,noun,/ˈhen pɑːti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hen/hen_p/hen_party_1_gb_1.mp3
extramarital,https://www.oxfordlearnersdictionaries.com/definition/english/extramarital,C2,extramarital,ngoại tình,adjective,/ˌekstrəˈmærɪtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ext/extra/extramarital__gb_1.mp3
groom,https://www.oxfordlearnersdictionaries.com/definition/english/groom_2,B2,groom,chú rể,noun,/ɡruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gro/groom/groom__gb_1.mp3
housewife,https://www.oxfordlearnersdictionaries.com/definition/english/housewife,B1,housewife,bà nội trợ,noun,/ˈhaʊswaɪf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hou/house/housewife__gb_1.mp3
go/walk_down_the_aisle,https://www.oxfordlearnersdictionaries.com/definition/english/aisle,C2,go/walk down the aisle,đi/đi dọc lối đi,noun,/aɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ais/aisle/aisle__gb_1.mp3
honeymoon,https://www.oxfordlearnersdictionaries.com/definition/english/honeymoon_1,B2,honeymoon,tuần trăng mật,noun,/ˈhʌnimuːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hon/honey/honeymoon__gb_1.mp3
marital,https://www.oxfordlearnersdictionaries.com/definition/english/marital,C1,marital,hôn nhân,adjective,/ˈmærɪtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marit/marital__gb_2.mp3
marriageable,https://www.oxfordlearnersdictionaries.com/definition/english/marriageable,C2,marriageable,có thể kết hôn,adjective,/ˈmærɪdʒəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marri/marriageable__gb_1.mp3
marriage,https://www.oxfordlearnersdictionaries.com/definition/english/marriage,B1,marriage,kết hôn,noun,/ˈmærɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marri/marriage__gb_1.mp3
life_partner,https://www.oxfordlearnersdictionaries.com/definition/english/life-partner,B1,life partner,bạn đời,noun,/ˈlaɪf pɑːtnə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lif/life_/life_partner_1_gb_1.mp3
love_match,https://www.oxfordlearnersdictionaries.com/definition/english/love-match,C2,love match,trận đấu tình yêu,noun,/ˈlʌv mætʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lov/love_/love_match_1_gb_1.mp3
marriage_guidance,https://www.oxfordlearnersdictionaries.com/definition/english/marriage-guidance,C2,marriage guidance,hướng dẫn kết hôn,noun,/ˌmærɪdʒ ˈɡaɪdns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marri/marriage_guidance_1_gb_1.mp3
maid_of_honour,https://www.oxfordlearnersdictionaries.com/definition/english/maid-of-honour,C2,maid of honour,phù dâu,noun,/ˌmeɪd əv ˈɒnə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mai/maid_/maid_of_honour_1_gb_1.mp3
marry,https://www.oxfordlearnersdictionaries.com/definition/english/marry,A2,marry,kết hôn,verb,/ˈmæri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marry/marry__gb_1.mp3
marriage_counselling,https://www.oxfordlearnersdictionaries.com/definition/english/marriage-counselling,C2,marriage counselling,tư vấn hôn nhân,noun,/ˈmærɪdʒ kaʊnsəlɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marri/marriage_counselling_1_gb_2.mp3
match,https://www.oxfordlearnersdictionaries.com/definition/english/match_1,C2,match,cuộc thi đấu,noun,/mætʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mat/match/match__gb_1.mp3
matrimonial,https://www.oxfordlearnersdictionaries.com/definition/english/matrimonial,C2,matrimonial,hôn nhân,adjective,/ˌmætrɪˈməʊniəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mat/matri/matrimonial__gb_1.mp3
marriage_of_convenience,https://www.oxfordlearnersdictionaries.com/definition/english/marriage-of-convenience,C2,marriage of convenience,hôn nhân tiện lợi,noun,/ˌmærɪdʒ əv kənˈviːniəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marri/marriage_of_convenience_1_gb_1.mp3
newly-wed,https://www.oxfordlearnersdictionaries.com/definition/english/newly-wed_1,C2,newly-wed,mới cưới,noun,/ˈnjuːli wed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/new/newly/newly_wed_1_gb_1.mp3
newly-wed,https://www.oxfordlearnersdictionaries.com/definition/english/newly-wed_2,C2,newly-wed,mới cưới,adjective,/ˈnjuːli wed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/new/newly/newly_wed_1_gb_1.mp3
married,https://www.oxfordlearnersdictionaries.com/definition/english/married,A1,married,đã cưới,adjective,/ˈmærid/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marri/married__gb_1.mp3
marriage_lines,https://www.oxfordlearnersdictionaries.com/definition/english/marriage-lines,C2,marriage lines,đường hôn nhân,noun,/ˈmærɪdʒ laɪnz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marri/marriage_lines_1_gb_1.mp3
nuptial,https://www.oxfordlearnersdictionaries.com/definition/english/nuptial,C2,nuptial,lễ cưới,adjective,/ˈnʌpʃl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nup/nupti/nuptial__gb_1.mp3
nuptials,https://www.oxfordlearnersdictionaries.com/definition/english/nuptials,C2,nuptials,lễ cưới,noun,/ˈnʌpʃlz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nup/nupti/nuptials__gb_1.mp3
matrimony,https://www.oxfordlearnersdictionaries.com/definition/english/matrimony,C2,matrimony,hôn nhân,noun,/ˈmætrɪməni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mat/matri/matrimony__gb_1.mp3
partner,https://www.oxfordlearnersdictionaries.com/definition/english/partner_1,A2,partner,cộng sự,noun,/ˈpɑːtnə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/partn/partner__gb_2.mp3
plural,https://www.oxfordlearnersdictionaries.com/definition/english/plural_2,C2,plural,số nhiều,adjective,/ˈplʊərəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/plu/plura/plural__gb_1.mp3
prenuptial_agreement,https://www.oxfordlearnersdictionaries.com/definition/english/prenuptial-agreement,C2,prenuptial agreement,thỏa thuận tiền hôn nhân,noun,/priːˌnʌpʃl əˈɡriːmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pre/prenu/prenuptial_agreement_1_gb_1.mp3
proposal,https://www.oxfordlearnersdictionaries.com/definition/english/proposal,B2,proposal,đề xuất,noun,/prəˈpəʊzl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/propo/proposal__gb_1.mp3
propose,https://www.oxfordlearnersdictionaries.com/definition/english/propose,B2,propose,đề nghị,verb,/prəˈpəʊz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/propo/propose__gb_2.mp3
pageboy,https://www.oxfordlearnersdictionaries.com/definition/english/pageboy,C2,pageboy,cậu giúp việc,noun,/ˈpeɪdʒbɔɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pag/pageb/pageboy__gb_1.mp3
ring,https://www.oxfordlearnersdictionaries.com/definition/english/ring1_1,A2,ring,nhẫn,noun,/rɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rin/ring_/ring__gb_1.mp3
registry_office,https://www.oxfordlearnersdictionaries.com/definition/english/registry-office,C1,registry office,văn phòng đăng ký,noun,/ˈredʒɪstri ɒfɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/reg/regis/registry_office_1_gb_1.mp3
shotgun_wedding,https://www.oxfordlearnersdictionaries.com/definition/english/shotgun-wedding,C2,shotgun wedding,đám cưới súng săn,noun,/ˌʃɒtɡʌn ˈwedɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sho/shotg/shotgun_wedding_1_gb_1.mp3
ruby_wedding,https://www.oxfordlearnersdictionaries.com/definition/english/ruby-wedding,C2,ruby wedding,đám cưới hồng ngọc,noun,/ˌruːbi ˈwedɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rub/ruby_/ruby_wedding_1_gb_1.mp3
toast,https://www.oxfordlearnersdictionaries.com/definition/english/toast_2,C2,toast,nướng,verb,/təʊst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/toa/toast/toast__gb_1.mp3
union,https://www.oxfordlearnersdictionaries.com/definition/english/union,C2,union,sự đoàn kết,noun,/ˈjuːniən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/u/uni/union/union__gb_1.mp3
stag_night,https://www.oxfordlearnersdictionaries.com/definition/english/stag-night,C2,stag night,đêm độc thân,noun,/ˈstæɡ naɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/stag_/stag_night_1_gb_1.mp3
reception,https://www.oxfordlearnersdictionaries.com/definition/english/reception,B1,reception,thu nhận,noun,/rɪˈsepʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rec/recep/reception__gb_1.mp3
