id,url,levels,word,translation,part_of_speech,ipa,audio_link
age_of_consent,https://www.oxfordlearnersdictionaries.com/definition/english/age-of-consent,C2,age of consent,độ tuổi đồng ý,noun,/ˌeɪdʒ əv kənˈsent/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/age/age_o/age_of_consent_1_gb_1.mp3
copyright,https://www.oxfordlearnersdictionaries.com/definition/english/copyright_1,C1,copyright,bản quyền,noun,/ˈkɒpiraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cop/copyr/copyright__gb_1.mp3
abide_by,https://www.oxfordlearnersdictionaries.com/definition/english/abide-by,C2,abide by,tuân theo,phrasal verb,,
binding,https://www.oxfordlearnersdictionaries.com/definition/english/binding_1,C2,binding,ràng buộc,adjective,/ˈbaɪndɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bin/bindi/binding__gb_3.mp3
circuit_breaker,https://www.oxfordlearnersdictionaries.com/definition/english/circuit-breaker,C2,circuit breaker,ngắt mạch,noun,/ˈsɜːkɪt breɪkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cir/circu/circuit_breaker_1_gb_1.mp3
copyright,https://www.oxfordlearnersdictionaries.com/definition/english/copyright_2,C1,copyright,bản quyền,adjective,/ˈkɒpiraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cop/copyr/copyright__gb_1.mp3
case_law,https://www.oxfordlearnersdictionaries.com/definition/english/case-law,C2,case law,án lệ,noun,/ˈkeɪs lɔː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/case_/case_law_1_gb_1.mp3
common_law,https://www.oxfordlearnersdictionaries.com/definition/english/common-law,C2,common law,luật chung,noun,/ˌkɒmən ˈlɔː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commo/common_law_1_gb_1.mp3
bill,https://www.oxfordlearnersdictionaries.com/definition/english/bill_1,B2,bill,hóa đơn,noun,/bɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bil/bill_/bill__gb_3.mp3
act,https://www.oxfordlearnersdictionaries.com/definition/english/act_2,B1,act,hành động,noun,/ækt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/act__/act__gb_2.mp3
copyright,https://www.oxfordlearnersdictionaries.com/definition/english/copyright_3,C1,copyright,bản quyền,verb,/ˈkɒpiraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cop/copyr/copyright__gb_1.mp3
due_diligence,https://www.oxfordlearnersdictionaries.com/definition/english/due-diligence,C2,due diligence,sự thẩm định,noun,/ˌdjuː ˈdɪlɪdʒəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/due/due_d/due_diligence_1_gb_1.mp3
firebreak,https://www.oxfordlearnersdictionaries.com/definition/english/firebreak,C2,firebreak,sự bùng cháy,noun,/ˈfaɪəbreɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fir/fireb/firebreak__gb_1.mp3
duty_of_care,https://www.oxfordlearnersdictionaries.com/definition/english/duty-of-care,C2,duty of care,nghĩa vụ chăm sóc,noun,/ˌdjuːti əv ˈkeə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dut/duty_/duty_of_care_1_gb_1.mp3
enforce,https://www.oxfordlearnersdictionaries.com/definition/english/enforce,C1,enforce,thi hành,verb,/ɪnˈfɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/enf/enfor/enforce__gb_3.mp3
fair_use,https://www.oxfordlearnersdictionaries.com/definition/english/fair-use,C2,fair use,sử dụng hợp lý,noun,/ˌfeə ˈjuːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fai/fair_/fair_use_1_gb_1.mp3
illegal,https://www.oxfordlearnersdictionaries.com/definition/english/illegal_1,B1,illegal,bất hợp pháp,adjective,/ɪˈliːɡl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ill/illeg/illegal__gb_2.mp3
illegally,https://www.oxfordlearnersdictionaries.com/definition/english/illegally,B1,illegally,bất hợp pháp,adverb,/ɪˈliːɡəli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ill/illeg/illegally__gb_1.mp3
infringe,https://www.oxfordlearnersdictionaries.com/definition/english/infringe,C2,infringe,xâm phạm,verb,/ɪnˈfrɪndʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inf/infri/infringe__gb_1.mp3
fair_dealing,https://www.oxfordlearnersdictionaries.com/definition/english/fair-dealing,C2,fair dealing,đối xử công bằng,noun,/ˌfeə ˈdiːlɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fai/fair_/fair_dealing_1_gb_2.mp3
invalidation,https://www.oxfordlearnersdictionaries.com/definition/english/invalidation,C2,invalidation,sự vô hiệu,noun,/ɪnˌvælɪˈdeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inv/inval/invalidation__gb_1.mp3
invalid,https://www.oxfordlearnersdictionaries.com/definition/english/invalid_1,C1,invalid,không hợp lệ,adjective,/ɪnˈvælɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inv/inval/invalid__gb_1.mp3
international_law,https://www.oxfordlearnersdictionaries.com/definition/english/international-law,B2,international law,luật pháp quốc tế,noun,/ɪntəˌnæʃnəl ˈlɔː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/inter/international_law_1_gb_1.mp3
law,https://www.oxfordlearnersdictionaries.com/definition/english/law,A2,law,pháp luật,noun,/lɔː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/law/law__/law__gb_2.mp3
lawful,https://www.oxfordlearnersdictionaries.com/definition/english/lawful,C2,lawful,hợp pháp,adjective,/ˈlɔːfl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/law/lawfu/lawful__gb_1.mp3
invalidate,https://www.oxfordlearnersdictionaries.com/definition/english/invalidate,C2,invalidate,làm mất hiệu lực,verb,/ɪnˈvælɪdeɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inv/inval/invalidate__gb_1.mp3
invalidity,https://www.oxfordlearnersdictionaries.com/definition/english/invalidity,C2,invalidity,sự vô hiệu,noun,/ˌɪnvəˈlɪdəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inv/inval/invalidity__gb_1.mp3
legal,https://www.oxfordlearnersdictionaries.com/definition/english/legal,B1,legal,hợp pháp,adjective,/ˈliːɡl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legal/legal__gb_2.mp3
legislate,https://www.oxfordlearnersdictionaries.com/definition/english/legislate,C1,legislate,lập pháp,verb,/ˈledʒɪsleɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legis/legislate__gb_1.mp3
legally,https://www.oxfordlearnersdictionaries.com/definition/english/legally,B1,legally,hợp pháp,adverb,/ˈliːɡəli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legal/legally__gb_1.mp3
legalization,https://www.oxfordlearnersdictionaries.com/definition/english/legalization,C1,legalization,hợp pháp hóa,noun,/ˌliːɡəlaɪˈzeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legal/legalization__gb_1.mp3
legislation,https://www.oxfordlearnersdictionaries.com/definition/english/legislation,C1,legislation,pháp luật,noun,/ˌledʒɪsˈleɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legis/legislation__gb_3.mp3
legalize,https://www.oxfordlearnersdictionaries.com/definition/english/legalize,C1,legalize,hợp pháp hoá,verb,/ˈliːɡəlaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legal/legalize__gb_1.mp3
legality,https://www.oxfordlearnersdictionaries.com/definition/english/legality,C1,legality,tính hợp pháp,noun,/lɪˈɡæləti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legal/legality__gb_3.mp3
legislative,https://www.oxfordlearnersdictionaries.com/definition/english/legislative,C1,legislative,lập pháp,adjective,/ˈledʒɪslətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legis/legislative__gb_1.mp3
lawfully,https://www.oxfordlearnersdictionaries.com/definition/english/lawfully,C2,lawfully,hợp pháp,adverb,/ˈlɔːfəli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/law/lawfu/lawfully__gb_1.mp3
law_and_order,https://www.oxfordlearnersdictionaries.com/definition/english/law,B2,law and order,luật pháp và trật tự,noun,/lɔː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/law/law__/law__gb_2.mp3
liable,https://www.oxfordlearnersdictionaries.com/definition/english/liable,C1,liable,chịu trách nhiệm,adjective,/ˈlaɪəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lia/liabl/liable__gb_1.mp3
legitimate,https://www.oxfordlearnersdictionaries.com/definition/english/legitimate,C1,legitimate,hợp pháp,adjective,/lɪˈdʒɪtɪmət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legit/legitimate__gb_1.mp3
lock_down,https://www.oxfordlearnersdictionaries.com/definition/english/lock-down,C2,lock down,lệnh đóng cửa,phrasal verb,,
order,https://www.oxfordlearnersdictionaries.com/definition/english/order_1,B1,order,đặt hàng,noun,/ˈɔːdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ord/order/order__gb_1.mp3
prohibition,https://www.oxfordlearnersdictionaries.com/definition/english/prohibition,B2,prohibition,sự cấm đoán,noun,/ˌprəʊɪˈbɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/prohi/prohibition__gb_1.mp3
probable_cause,https://www.oxfordlearnersdictionaries.com/definition/english/probable-cause,C2,probable cause,nguyên nhân có thể xảy ra,noun,/ˌprɒbəbl ˈkɔːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/proba/probable_cause_1_gb_1.mp3
overturn,https://www.oxfordlearnersdictionaries.com/definition/english/overturn,C1,overturn,lật đổ,verb,/ˌəʊvəˈtɜːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ove/overt/overturn__gb_1.mp3
