id,url,levels,word,translation,part_of_speech,ipa,audio_link
aristocracy,https://www.oxfordlearnersdictionaries.com/definition/english/aristocracy,C1,aristocracy,tầng lớp quý tộc,noun,/ˌærɪˈstɒkrəsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ari/arist/aristocracy__gb_1.mp3
captain,https://www.oxfordlearnersdictionaries.com/definition/english/captain_1,B1,captain,đội trưởng,noun,/ˈkæptɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cap/capta/captain__gb_1.mp3
chav,https://www.oxfordlearnersdictionaries.com/definition/english/chav,C2,chav,chav,noun,/tʃæv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chav_/chav__gb_2.mp3
baroness,https://www.oxfordlearnersdictionaries.com/definition/english/baroness,C2,baroness,nam tước,noun,/ˈbærənəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/baron/baroness__gb_1.mp3
caste,https://www.oxfordlearnersdictionaries.com/definition/english/caste,C2,caste,đẳng cấp,noun,/kɑːst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/caste/caste__gb_3.mp3
baron,https://www.oxfordlearnersdictionaries.com/definition/english/baron,C1,baron,nam tước,noun,/ˈbærən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/baron/baron__gb_1.mp3
bourgeoisie,https://www.oxfordlearnersdictionaries.com/definition/english/the-bourgeoisie,C2,bourgeoisie,giai cấp tư sản,noun,/ðə ˌbʊəʒwɑːˈziː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_b/the_bourgeoisie_1_gb_1.mp3
captain,https://www.oxfordlearnersdictionaries.com/definition/english/captain_2,B2,captain,đội trưởng,verb,/ˈkæptɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cap/capta/captain__gb_1.mp3
boss,https://www.oxfordlearnersdictionaries.com/definition/english/boss_1,A2,boss,ông chủ,noun,/bɒs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bos/boss_/boss__gb_2.mp3
aristocrat,https://www.oxfordlearnersdictionaries.com/definition/english/aristocrat,C1,aristocrat,quý tộc,noun,/ˈærɪstəkræt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ari/arist/aristocrat__gb_1.mp3
chief,https://www.oxfordlearnersdictionaries.com/definition/english/chief_2,B2,chief,người đứng đầu,noun,/tʃiːf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chief/chief__gb_2.mp3
class,https://www.oxfordlearnersdictionaries.com/definition/english/class_1,B1,class,lớp học,noun,/klɑːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/class/class__gb_3.mp3
count,https://www.oxfordlearnersdictionaries.com/definition/english/count_2,C1,count,đếm,noun,/kaʊnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/count/count__gb_2.mp3
commoner,https://www.oxfordlearnersdictionaries.com/definition/english/commoner,C2,commoner,thường dân,noun,/ˈkɒmənə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commo/commoner__gb_1.mp3
class,https://www.oxfordlearnersdictionaries.com/definition/english/class_2,B2,class,lớp học,verb,/klɑːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/class/class__gb_3.mp3
czar,https://www.oxfordlearnersdictionaries.com/definition/english/czar,C2,czar,Sa hoàng,noun,/zɑː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tsa/tsar_/tsar__gb_1.mp3
disadvantaged,https://www.oxfordlearnersdictionaries.com/definition/english/disadvantaged,C2,disadvantaged,thiệt thòi,adjective,/ˌdɪsədˈvɑːntɪdʒd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disad/disadvantaged__gb_1.mp3
class-conscious,https://www.oxfordlearnersdictionaries.com/definition/english/class-conscious,C2,class-conscious,có ý thức giai cấp,adjective,/ˌklɑːs ˈkɒnʃəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/class/class_conscious_1_gb_2.mp3
class-consciousness,https://www.oxfordlearnersdictionaries.com/definition/english/class-consciousness,C2,class-consciousness,ý thức giai cấp,noun,/ˌklɑːs ˈkɒnʃəsnəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/class/class_consciousness_1_gb_2.mp3
duchess,https://www.oxfordlearnersdictionaries.com/definition/english/duchess,C1,duchess,nữ công tước,noun,/ˈdʌtʃəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/duc/duche/duchess__gb_1.mp3
emperor,https://www.oxfordlearnersdictionaries.com/definition/english/emperor,B2,emperor,hoàng đế,noun,/ˈempərə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/emp/emper/emperor__gb_1.mp3
empress,https://www.oxfordlearnersdictionaries.com/definition/english/empress,C2,empress,hoàng hậu,noun,/ˈemprəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/emp/empre/empress__gb_1.mp3
duke,https://www.oxfordlearnersdictionaries.com/definition/english/duke_1,B2,duke,công tước,noun,/djuːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/duk/duke_/duke__gb_1.mp3
countess,https://www.oxfordlearnersdictionaries.com/definition/english/countess,C1,countess,nữ bá tước,noun,/ˈkaʊntəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/count/countess__gb_1.mp3
head,https://www.oxfordlearnersdictionaries.com/definition/english/head_1,A2,head,cái đầu,noun,/hed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/head_/head__gb_1.mp3
homeless,https://www.oxfordlearnersdictionaries.com/definition/english/homeless,B2,homeless,vô gia cư,adjective,/ˈhəʊmləs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hom/homel/homeless__gb_1.mp3
inferior,https://www.oxfordlearnersdictionaries.com/definition/english/inferior_2,C2,inferior,kém cỏi,noun,/ɪnˈfɪəriə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inf/infer/inferior__gb_1.mp3
inferior,https://www.oxfordlearnersdictionaries.com/definition/english/inferior_1,C2,inferior,kém cỏi,adjective,/ɪnˈfɪəriə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inf/infer/inferior__gb_1.mp3
head,https://www.oxfordlearnersdictionaries.com/definition/english/head_3,B1,head,cái đầu,verb,/hed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/head_/head__gb_1.mp3
earl,https://www.oxfordlearnersdictionaries.com/definition/english/earl,C1,earl,bá tước,noun,/ɜːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ear/earl_/earl__gb_1.mp3
lady,https://www.oxfordlearnersdictionaries.com/definition/english/lady,B2,lady,quý bà,noun,/ˈleɪdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lad/lady_/lady__gb_1.mp3
king,https://www.oxfordlearnersdictionaries.com/definition/english/king,A2,king,nhà vua,noun,/kɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kin/king_/king__gb_2.mp3
knight,https://www.oxfordlearnersdictionaries.com/definition/english/knight_1,B2,knight,hiệp sĩ,noun,/naɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kni/knigh/knight__gb_3.mp3
leader,https://www.oxfordlearnersdictionaries.com/definition/english/leader,A2,leader,lãnh đạo,noun,/ˈliːdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lea/leade/leader__gb_1.mp3
leadership,https://www.oxfordlearnersdictionaries.com/definition/english/leadership,B2,leadership,Khả năng lãnh đạo,noun,/ˈliːdəʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lea/leade/leadership__gb_1.mp3
lord,https://www.oxfordlearnersdictionaries.com/definition/english/lord_1,B2,lord,chúa tể,noun,/lɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lor/lord_/lord__gb_1.mp3
