id,url,levels,word,translation,part_of_speech,ipa,audio_link
beauty_salon,https://www.oxfordlearnersdictionaries.com/definition/english/beauty-salon,C1,beauty salon,thẩm mỹ viện,noun,/ˈbjuːti sælɒn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beaut/beauty_salon_1_gb_1.mp3
braid,https://www.oxfordlearnersdictionaries.com/definition/english/braid_2,C2,braid,bím tóc,verb,/breɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/braid/braid__gb_1.mp3
bob,https://www.oxfordlearnersdictionaries.com/definition/english/bob_1,C2,bob,bob,verb,/bɒb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bob/bob__/bob__gb_3.mp3
brush,https://www.oxfordlearnersdictionaries.com/definition/english/brush_1,A2,brush,chải,verb,/brʌʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bru/brush/brush__gb_1.mp3
blow-dry,https://www.oxfordlearnersdictionaries.com/definition/english/blow-dry_2,C2,blow-dry,sấy khô,verb,/ˈbləʊ draɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blow_/blow_dry_1_gb_1.mp3
brilliantine,https://www.oxfordlearnersdictionaries.com/definition/english/brilliantine,C2,brilliantine,chất rực rỡ,noun,/ˈbrɪliəntiːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brill/brilliantine__gb_1.mp3
barber,https://www.oxfordlearnersdictionaries.com/definition/english/barber,B2,barber,thợ cắt tóc,noun,/ˈbɑːbə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barbe/barber__gb_1.mp3
blow-dry,https://www.oxfordlearnersdictionaries.com/definition/english/blow-dry_1,C2,blow-dry,sấy khô,noun,/ˈbləʊ draɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blow_/blow_dry_1_gb_1.mp3
beauty_school,https://www.oxfordlearnersdictionaries.com/definition/english/beauty-school,C2,beauty school,trường học làm đẹp,noun,/ˈbjuːti skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beaut/beauty_school_1_gb_1.mp3
colorant,https://www.oxfordlearnersdictionaries.com/definition/english/colorant,C2,colorant,chất tạo màu,noun,/ˈkʌlərənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colou/colourant__gb_1.mp3
colourant,https://www.oxfordlearnersdictionaries.com/definition/english/colourant,C2,colourant,chất tạo màu,noun,/ˈkʌlərənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colou/colourant__gb_1.mp3
comb,https://www.oxfordlearnersdictionaries.com/definition/english/comb_2,B2,comb,cái lược,verb,/kəʊm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comb_/comb__gb_2.mp3
condition,https://www.oxfordlearnersdictionaries.com/definition/english/condition_2,C2,condition,tình trạng,verb,/kənˈdɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcond/xcondition__gb_1.mp3
crimp,https://www.oxfordlearnersdictionaries.com/definition/english/crimp_1,C2,crimp,uốn,verb,/krɪmp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cri/crimp/crimp__gb_1.mp3
curl,https://www.oxfordlearnersdictionaries.com/definition/english/curl_1,C1,curl,cuộn tròn,verb,/kɜːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cur/curl_/curl__gb_1.mp3
curler,https://www.oxfordlearnersdictionaries.com/definition/english/curler,C2,curler,dụng cụ uốn tóc,noun,/ˈkɜːlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cur/curle/curler__gb_1.mp3
crop,https://www.oxfordlearnersdictionaries.com/definition/english/crop_2,C2,crop,mùa vụ,verb,/krɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/crop_/crop__gb_1.mp3
comb,https://www.oxfordlearnersdictionaries.com/definition/english/comb_1,B2,comb,cái lược,noun,/kəʊm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comb_/comb__gb_2.mp3
delouse,https://www.oxfordlearnersdictionaries.com/definition/english/delouse,C2,delouse,diệt rận,verb,/ˌdiːˈlaʊs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/del/delou/delouse__gb_1.mp3
dye,https://www.oxfordlearnersdictionaries.com/definition/english/dye_1,B2,dye,thuốc nhuộm,verb,/daɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dye/dye__/dye__gb_1.mp3
frizz,https://www.oxfordlearnersdictionaries.com/definition/english/frizz_2,C2,frizz,tóc xoăn,verb,/frɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fri/frizz/frizz__gb_1.mp3
fix,https://www.oxfordlearnersdictionaries.com/definition/english/fix_1,C2,fix,sửa chữa,verb,/fɪks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fix/fix__/fix__gb_1.mp3
gel,https://www.oxfordlearnersdictionaries.com/definition/english/gel_2,C2,gel,gel,verb,/dʒel/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gel/gel__/gel__gb_3.mp3
dye,https://www.oxfordlearnersdictionaries.com/definition/english/dye_2,B2,dye,thuốc nhuộm,noun,/daɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dye/dye__/dye__gb_1.mp3
comb_out,https://www.oxfordlearnersdictionaries.com/definition/english/comb-out,C2,comb out,chải ra,phrasal verb,,
depilator,https://www.oxfordlearnersdictionaries.com/definition/english/depilator,C2,depilator,máy làm rụng lông,noun,/ˈdepɪleɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depil/depilator__gb_2.mp3
grow_back,https://www.oxfordlearnersdictionaries.com/definition/english/grow-back,C2,grow back,phát triển trở lại,phrasal verb,,
curling_tongs,https://www.oxfordlearnersdictionaries.com/definition/english/curling-tongs,C2,curling tongs,kẹp uốn tóc,noun,/ˈkɜːlɪŋ tɒŋz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cur/curli/curling_tongs_1_gb_1.mp3
haircut,https://www.oxfordlearnersdictionaries.com/definition/english/haircut,B1,haircut,cắt tóc,noun,/ˈheəkʌt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hai/hairc/haircut__gb_2.mp3
hairdresser,https://www.oxfordlearnersdictionaries.com/definition/english/hairdresser,A2,hairdresser,thợ làm tóc,noun,/ˈheədresə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hai/haird/hairdresser__gb_2.mp3
hairbrush,https://www.oxfordlearnersdictionaries.com/definition/english/hairbrush,A2,hairbrush,bàn chải tóc,noun,/ˈheəbrʌʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hai/hairb/hairbrush__gb_3.mp3
hairdryer,https://www.oxfordlearnersdictionaries.com/definition/english/hairdryer,B1,hairdryer,máy sấy tóc,noun,/ˈheədraɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hai/haird/hairdryer__gb_1.mp3
hair_extension,https://www.oxfordlearnersdictionaries.com/definition/english/hair-extension,C2,hair extension,nối tóc,noun,/ˈheər ɪkstenʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hai/hair_/hair_extension_1_gb_1.mp3
grow_out,https://www.oxfordlearnersdictionaries.com/definition/english/grow-out,C2,grow out,lớn lên,phrasal verb,,
hairspray,https://www.oxfordlearnersdictionaries.com/definition/english/hairspray,C2,hairspray,keo xịt tóc,noun,/ˈheəspreɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hai/hairs/hairspray__gb_1.mp3
hairstylist,https://www.oxfordlearnersdictionaries.com/definition/english/hairstylist,C2,hairstylist,nhà tạo mẫu tóc,noun,/ˈheəstaɪlɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hai/hairs/hairstylist__gb_2.mp3
hairpiece,https://www.oxfordlearnersdictionaries.com/definition/english/hairpiece,C2,hairpiece,sợi tóc,noun,/ˈheəpiːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hai/hairp/hairpiece__gb_2.mp3
highlight,https://www.oxfordlearnersdictionaries.com/definition/english/highlight_1,C1,highlight,điểm nổi bật,verb,/ˈhaɪlaɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hig/highl/highlight__gb_2.mp3
hydrogen_peroxide,https://www.oxfordlearnersdictionaries.com/definition/english/hydrogen-peroxide,C2,hydrogen peroxide,hydro peroxit,noun,/ˌhaɪdrədʒən pəˈrɒksaɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hyd/hydro/hydrogen_peroxide_1_gb_1.mp3
knot,https://www.oxfordlearnersdictionaries.com/definition/english/knot_2,C2,knot,nút thắt,verb,/nɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kno/knot_/knot__gb_2.mp3
lacquer,https://www.oxfordlearnersdictionaries.com/definition/english/lacquer_1,C2,lacquer,sơn mài,noun,/ˈlækə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lac/lacqu/lacquer__gb_1.mp3
