id,url,levels,word,translation,part_of_speech,ipa,audio_link
bauble,https://www.oxfordlearnersdictionaries.com/definition/english/bauble,C2,bauble,món trang sức,noun,/ˈbɔːbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bau/baubl/bauble__gb_2.mp3
aquamarine,https://www.oxfordlearnersdictionaries.com/definition/english/aquamarine_1,C2,aquamarine,aquamarine,noun,/ˌækwəməˈriːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aqu/aquam/aquamarine__gb_1.mp3
bangle,https://www.oxfordlearnersdictionaries.com/definition/english/bangle,C2,bangle,vòng tay,noun,/ˈbæŋɡl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/bangl/bangle__gb_2.mp3
amethyst,https://www.oxfordlearnersdictionaries.com/definition/english/amethyst,C2,amethyst,thạch anh tím,noun,/ˈæməθɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ame/ameth/amethyst__gb_1.mp3
bead,https://www.oxfordlearnersdictionaries.com/definition/english/bead,C1,bead,hạt,noun,/biːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/bead_/bead__gb_2.mp3
amulet,https://www.oxfordlearnersdictionaries.com/definition/english/amulet,C2,amulet,bùa hộ mệnh,noun,/ˈæmjʊlət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amu/amule/amulet__gb_1.mp3
bling,https://www.oxfordlearnersdictionaries.com/definition/english/bling_1,C2,bling,lấp lánh,adjective,/blɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bli/bling/bling__gb_1.mp3
amber,https://www.oxfordlearnersdictionaries.com/definition/english/amber_2,C2,amber,hổ phách,noun,/ˈæmbə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amb/amber/amber__gb_1.mp3
ankh,https://www.oxfordlearnersdictionaries.com/definition/english/ankh,C2,ankh,ankh,noun,/æŋk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ank/ankh_/ankh__gb_1.mp3
anklet,https://www.oxfordlearnersdictionaries.com/definition/english/anklet,C2,anklet,vòng chân,noun,/ˈæŋklət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ank/ankle/anklet__gb_1.mp3
body_piercing,https://www.oxfordlearnersdictionaries.com/definition/english/body-piercing,B2,body piercing,xuyên cơ thể,noun,/ˈbɒdi pɪəsɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bod/body_/body_piercing_1_gb_1.mp3
bling,https://www.oxfordlearnersdictionaries.com/definition/english/bling_2,C2,bling,lấp lánh,noun,/blɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bli/bling/bling__gb_1.mp3
cameo,https://www.oxfordlearnersdictionaries.com/definition/english/cameo,C2,cameo,khách mời,noun,/ˈkæmiəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cam/cameo/cameo__gb_1.mp3
brooch,https://www.oxfordlearnersdictionaries.com/definition/english/brooch,C2,brooch,trâm,noun,/brəʊtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brooc/brooch__gb_1.mp3
