id,url,levels,word,translation,part_of_speech,ipa,audio_link
aquiline,https://www.oxfordlearnersdictionaries.com/definition/english/aquiline,C2,aquiline,chim ưng,adjective,/ˈækwɪlaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aqu/aquil/aquiline__gb_1.mp3
beady,https://www.oxfordlearnersdictionaries.com/definition/english/beady,C2,beady,hạt cườm,adjective,/ˈbiːdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beady/beady__gb_2.mp3
cross-eyed,https://www.oxfordlearnersdictionaries.com/definition/english/cross-eyed,C2,cross-eyed,lác mắt,adjective,/ˌkrɒs ˈaɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/cross/cross_eyed_1_gb_1.mp3
brow,https://www.oxfordlearnersdictionaries.com/definition/english/brow,C2,brow,lông mày,noun,/braʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brow_/brow__gb_1.mp3
cornea,https://www.oxfordlearnersdictionaries.com/definition/english/cornea,C2,cornea,giác mạc,noun,/ˈkɔːniə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corne/cornea__gb_1.mp3
cheek,https://www.oxfordlearnersdictionaries.com/definition/english/cheek_1,B2,cheek,má,noun,/tʃiːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/cheek/cheek__gb_2.mp3
chin,https://www.oxfordlearnersdictionaries.com/definition/english/chin,B2,chin,cái cằm,noun,/tʃɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chin_/chin__gb_2.mp3
bleary,https://www.oxfordlearnersdictionaries.com/definition/english/bleary,C2,bleary,ảm đạm,adjective,/ˈblɪəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ble/blear/bleary__gb_1.mp3
corneal,https://www.oxfordlearnersdictionaries.com/definition/english/corneal,C2,corneal,giác mạc,adjective,/ˈkɔːniəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corne/corneal__gb_1.mp3
dimple,https://www.oxfordlearnersdictionaries.com/definition/english/dimple_1,C2,dimple,lúm đồng tiền,noun,/ˈdɪmpl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dim/dimpl/dimple__gb_1.mp3
eyeball,https://www.oxfordlearnersdictionaries.com/definition/english/eyeball_1,C1,eyeball,nhãn cầu,noun,/ˈaɪbɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eye/eyeba/eyeball__gb_1.mp3
eyebrow,https://www.oxfordlearnersdictionaries.com/definition/english/eyebrow,B2,eyebrow,lông mày,noun,/ˈaɪbraʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eye/eyebr/eyebrow__gb_1.mp3
ear,https://www.oxfordlearnersdictionaries.com/definition/english/ear,A1,ear,tai,noun,/ɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ear/ear__/ear__gb_2.mp3
bloodshot,https://www.oxfordlearnersdictionaries.com/definition/english/bloodshot,C2,bloodshot,đỏ ngầu,adjective,/ˈblʌdʃɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blood/bloodshot__gb_2.mp3
eyelid,https://www.oxfordlearnersdictionaries.com/definition/english/eyelid,C1,eyelid,mí mắt,noun,/ˈaɪlɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eye/eyeli/eyelid__gb_1.mp3
forehead,https://www.oxfordlearnersdictionaries.com/definition/english/forehead,B2,forehead,trán,noun,/ˈfɔːhed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/for/foreh/forehead__gb_1.mp3
grecian_nose,https://www.oxfordlearnersdictionaries.com/definition/english/grecian-nose,C2,Grecian nose,Mũi Hy Lạp,noun,/ˌɡriːʃn ˈnəʊz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/greci/grecian_nose_1_gb_1.mp3
hairline,https://www.oxfordlearnersdictionaries.com/definition/english/hairline,C2,hairline,đường chân tóc,noun,/ˈheəlaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hai/hairl/hairline__gb_2.mp3
iris,https://www.oxfordlearnersdictionaries.com/definition/english/iris_1,C2,iris,mống mắt,noun,/ˈaɪrɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/iri/iris_/iris__gb_1.mp3
earlobe,https://www.oxfordlearnersdictionaries.com/definition/english/earlobe,C2,earlobe,dái tai,noun,/ˈɪələʊb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ear/ear_l/ear_lobe_1_gb_1.mp3
deep-set,https://www.oxfordlearnersdictionaries.com/definition/english/deep-set,C2,deep-set,sâu sắc,adjective,/ˌdiːp ˈset/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dee/deep_/deep_set_1_gb_1.mp3
eye,https://www.oxfordlearnersdictionaries.com/definition/english/eye_1,A1,eye,mắt,noun,/aɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eye/eye__/eye__gb_2.mp3
eyelash,https://www.oxfordlearnersdictionaries.com/definition/english/eyelash,C1,eyelash,lông mi,noun,/ˈaɪlæʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eye/eyela/eyelash__gb_1.mp3
lens,https://www.oxfordlearnersdictionaries.com/definition/english/lens,C1,lens,ống kính,noun,/lenz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/len/lens_/lens__gb_1.mp3
lantern_jaw,https://www.oxfordlearnersdictionaries.com/definition/english/lantern-jaw,C2,lantern jaw,hàm đèn lồng,noun,/ˌlæntən ˈdʒɔː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lan/lante/lantern_jaw_1_gb_1.mp3
mucus,https://www.oxfordlearnersdictionaries.com/definition/english/mucus,C2,mucus,chất nhầy,noun,/ˈmjuːkəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/muc/mucus/mucus__gb_1.mp3
lip,https://www.oxfordlearnersdictionaries.com/definition/english/lip,B1,lip,môi,noun,/lɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lip/lip__/lip__gb_1.mp3
macular,https://www.oxfordlearnersdictionaries.com/definition/english/macular,C2,macular,điểm vàng,adjective,/ˈmækjələ(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mac/macul/macular__gb_1.mp3
nasal,https://www.oxfordlearnersdictionaries.com/definition/english/nasal,C2,nasal,mũi,adjective,/ˈneɪzl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nas/nasal/nasal__gb_1.mp3
nose,https://www.oxfordlearnersdictionaries.com/definition/english/nose_1,A1,nose,mũi,noun,/nəʊz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nos/nose_/nose__gb_1.mp3
pinna,https://www.oxfordlearnersdictionaries.com/definition/english/pinna,C2,pinna,vành tai,noun,/ˈpɪnə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pin/pinna/pinna__gb_1.mp3
nostril,https://www.oxfordlearnersdictionaries.com/definition/english/nostril,C2,nostril,lỗ mũi,noun,/ˈnɒstrəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nos/nostr/nostril__gb_1.mp3
pupil,https://www.oxfordlearnersdictionaries.com/definition/english/pupil,C2,pupil,học sinh,noun,/ˈpjuːpl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pup/pupil/pupil__gb_1.mp3
retina,https://www.oxfordlearnersdictionaries.com/definition/english/retina,C2,retina,võng mạc,noun,/ˈretɪnə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/ret/retin/retina__gb_1.mp3
retinal,https://www.oxfordlearnersdictionaries.com/definition/english/retinal,C2,retinal,võng mạc,adjective,/ˈretɪnl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/ret/retin/retinal__gb_1.mp3
roman_nose,https://www.oxfordlearnersdictionaries.com/definition/english/roman-nose,C2,Roman nose,mũi La Mã,noun,/ˌrəʊmən ˈnəʊz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rom/roman/roman_nose_1_gb_1.mp3
macula,https://www.oxfordlearnersdictionaries.com/definition/english/macula,C2,macula,điểm vàng,noun,/ˈmækjələ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mac/macul/macular__gb_1.mp3
sunken,https://www.oxfordlearnersdictionaries.com/definition/english/sunken,C2,sunken,chìm đắm,adjective,/ˈsʌŋkən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sun/sunke/sunken__gb_1.mp3
septum,https://www.oxfordlearnersdictionaries.com/definition/english/septum,C2,septum,vách ngăn,noun,/ˈseptəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sep/septu/septum__gb_1.mp3
tear_duct,https://www.oxfordlearnersdictionaries.com/definition/english/tear-duct,C2,tear duct,ống dẫn nước mắt,noun,/ˈtɪə dʌkt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tea/tear_/tear_duct_1_gb_1.mp3
temple,https://www.oxfordlearnersdictionaries.com/definition/english/temple,C1,temple,ngôi đền,noun,/ˈtempl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tem/templ/temple__gb_1.mp3
rheumy,https://www.oxfordlearnersdictionaries.com/definition/english/rheumy,C2,rheumy,bệnh thấp khớp,adjective,/ˈruːmi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rhe/rheum/rheumy__gb_3.mp3
unfocused,https://www.oxfordlearnersdictionaries.com/definition/english/unfocused,C2,unfocused,không tập trung,adjective,/ʌnˈfəʊkəst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/u/unf/unfoc/unfocused__gb_1.mp3
