id,url,levels,word,translation,part_of_speech,ipa,audio_link
bookmark,https://www.oxfordlearnersdictionaries.com/definition/english/bookmark_2,C1,bookmark,đánh dấu,verb,/ˈbʊkmɑːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/bookm/bookmark__gb_2.mp3
affiliate_marketing,https://www.oxfordlearnersdictionaries.com/definition/english/affiliate-marketing,C2,affiliate marketing,tiếp thị liên kết,noun,/əˌfɪliət ˈmɑːkɪtɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affil/affiliate_marketing_1_gb_1.mp3
bookmark,https://www.oxfordlearnersdictionaries.com/definition/english/bookmark_1,C1,bookmark,đánh dấu trang,noun,/ˈbʊkmɑːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/bookm/bookmark__gb_2.mp3
account,https://www.oxfordlearnersdictionaries.com/definition/english/account_1,B2,account,tài khoản,noun,/əˈkaʊnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/account__gb_1.mp3
ad_blocker,https://www.oxfordlearnersdictionaries.com/definition/english/ad-blocker,C2,ad blocker,trình chặn quảng cáo,noun,/ˈæd blɒkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ad_/ad_bl/ad_blocker_1_gb_1.mp3
anonymize,https://www.oxfordlearnersdictionaries.com/definition/english/anonymize,C2,anonymize,ẩn danh,verb,/əˈnɒnɪmaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ano/anony/anonymize__gb_1.mp3
address_bar,https://www.oxfordlearnersdictionaries.com/definition/english/address-bar,C2,address bar,thanh địa chỉ,noun,/əˈdres bɑː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addre/address_bar_1_gb_1.mp3
bandwidth,https://www.oxfordlearnersdictionaries.com/definition/english/bandwidth,C2,bandwidth,băng thông,noun,/ˈbændwɪdθ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/bandw/bandwidth__gb_4.mp3
adsl,https://www.oxfordlearnersdictionaries.com/definition/english/adsl,C2,ADSL,ADSL,abbreviation,/ˌeɪ diː es ˈel/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ads/adsl_/adsl__gb_1.mp3
access_provider,https://www.oxfordlearnersdictionaries.com/definition/english/access-provider,C2,access provider,nhà cung cấp truy cập,noun,/ˈækses prəvaɪdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/access_provider_1_gb_1.mp3
browser,https://www.oxfordlearnersdictionaries.com/definition/english/browser,C1,browser,trình duyệt,noun,/ˈbraʊzə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brows/browser__gb_1.mp3
breakout_room,https://www.oxfordlearnersdictionaries.com/definition/english/breakout-room,C2,breakout room,phòng đột phá,noun,/ˈbreɪkaʊt ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/break/breakout_room_1_gb_1.mp3
broadband,https://www.oxfordlearnersdictionaries.com/definition/english/broadband,C1,broadband,băng thông rộng,noun,/ˈbrɔːdbænd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broad/broadband__gb_1.mp3
clickjacking,https://www.oxfordlearnersdictionaries.com/definition/english/clickjacking,C2,clickjacking,clickjacking,noun,/ˈklɪkdʒækɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/click/clickjacking__gb_2.mp3
