id,url,levels,word,translation,part_of_speech,ipa,audio_link
a_close_thing,https://www.oxfordlearnersdictionaries.com/definition/english/close2_1,C2,a close thing,một điều gần gũi,adjective,/kləʊs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/close/close__gb_2.mp3
adapt,https://www.oxfordlearnersdictionaries.com/definition/english/adapt,B2,adapt,thích nghi,verb,/əˈdæpt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ada/adapt/adapt__gb_2.mp3
adaptability,https://www.oxfordlearnersdictionaries.com/definition/english/adaptability,C2,adaptability,khả năng thích ứng,noun,/əˌdæptəˈbɪləti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ada/adapt/adaptability__gb_1.mp3
accomplishment,https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment,C1,accomplishment,thành tựu,noun,/əˈkʌmplɪʃmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplishment__gb_1.mp3
accession,https://www.oxfordlearnersdictionaries.com/definition/english/accession,C2,accession,sự gia nhập,noun,/əkˈseʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/accession__gb_2.mp3
accede,https://www.oxfordlearnersdictionaries.com/definition/english/accede,C2,accede,gia nhập,verb,/əkˈsiːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acced/accede__gb_1.mp3
achieve,https://www.oxfordlearnersdictionaries.com/definition/english/achieve,A2,achieve,đạt được,verb,/əˈtʃiːv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achieve__gb_2.mp3
accomplish,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish,B2,accomplish,hoàn thành,verb,/əˈkʌmplɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplish__gb_1.mp3
achievement,https://www.oxfordlearnersdictionaries.com/definition/english/achievement,B1,achievement,thành tích,noun,/əˈtʃiːvmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achievement__gb_1.mp3
ace,https://www.oxfordlearnersdictionaries.com/definition/english/ace_3,C2,ace,quân át,verb,/eɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ace/ace__/ace__gb_1.mp3
adaptable,https://www.oxfordlearnersdictionaries.com/definition/english/adaptable,C1,adaptable,có thể thích nghi,adjective,/əˈdæptəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ada/adapt/adaptable__gb_1.mp3
advantage,https://www.oxfordlearnersdictionaries.com/definition/english/advantage_1,A2,advantage,lợi thế,noun,/ədˈvɑːntɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advantage__gb_4.mp3
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_2,C1,advance,nâng cao,verb,/ədˈvɑːns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3
advantage,https://www.oxfordlearnersdictionaries.com/definition/english/advantage_2,C1,advantage,lợi thế,verb,/ədˈvɑːntɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advantage__gb_4.mp3
advancement,https://www.oxfordlearnersdictionaries.com/definition/english/advancement,C1,advancement,thăng tiến,noun,/ədˈvɑːnsmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advancement__gb_1.mp3
advance,https://www.oxfordlearnersdictionaries.com/definition/english/advance_1,B2,advance,nâng cao,noun,/ədˈvɑːns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3
american_dream,https://www.oxfordlearnersdictionaries.com/definition/english/the-american-dream,C2,American dream,Giấc mơ Mỹ,noun,/ði əˌmerɪkən ˈdriːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ame/ameri/american_dream_1_gb_2.mp3
