id,url,levels,word,translation,part_of_speech,ipa,audio_link
mercenary,https://www.oxfordlearnersdictionaries.com/definition/english/mercenary_2,C2,mercenary,lính đánh thuê,adjective,/ˈmɜːsənəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mer/merce/mercenary__gb_1.mp3
number_one,https://www.oxfordlearnersdictionaries.com/definition/english/number-one_2,C2,number one,số một,noun,/ˌnʌmbə ˈwʌn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/num/numbe/number_one_1_gb_1.mp3
egocentric,https://www.oxfordlearnersdictionaries.com/definition/english/egocentric,C2,egocentric,ích kỷ,adjective,/ˌiːɡəʊˈsentrɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ego/egoce/egocentric__gb_2.mp3
narcissism,https://www.oxfordlearnersdictionaries.com/definition/english/narcissism,C2,narcissism,lòng tự ái,noun,/ˈnɑːsɪsɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nar/narci/narcissism__gb_1.mp3
miser,https://www.oxfordlearnersdictionaries.com/definition/english/miser,C2,miser,người keo kiệt,noun,/ˈmaɪzə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mis/miser/miser__gb_1.mp3
grasping,https://www.oxfordlearnersdictionaries.com/definition/english/grasping,C2,grasping,nắm bắt,adjective,/ˈɡrɑːspɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/grasp/grasping__gb_1.mp3
egoism,https://www.oxfordlearnersdictionaries.com/definition/english/egoism,C2,egoism,sự ích kỷ,noun,/ˈiːɡəʊɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ego/egois/egoism__gb_2.mp3
greedy,https://www.oxfordlearnersdictionaries.com/definition/english/greedy,B2,greedy,tham,adjective,/ˈɡriːdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/greed/greedy__gb_1.mp3
greedy_guts,https://www.oxfordlearnersdictionaries.com/definition/english/greedy,C2,greedy guts,lòng tham,adjective,/ˈɡriːdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/greed/greedy__gb_1.mp3
covidiot,https://www.oxfordlearnersdictionaries.com/definition/english/covidiot,C2,covidiot,vi rút,noun,/kəʊˈvɪdiət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cov/covid/covidiot__gb_2.mp3
opportunist,https://www.oxfordlearnersdictionaries.com/definition/english/opportunist_1,C2,opportunist,kẻ cơ hội,adjective,/ˌɒpəˈtjuːnɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/opp/oppor/opportunist__gb_1.mp3
possessive,https://www.oxfordlearnersdictionaries.com/definition/english/possessive_1,C2,possessive,sở hữu,adjective,/pəˈzesɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pos/posse/possessive__gb_1.mp3
self-centred,https://www.oxfordlearnersdictionaries.com/definition/english/self-centred,C1,self-centred,tự cho mình là trung tâm,adjective,/ˌself ˈsentəd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/self_/self_centred_1_gb_1.mp3
self-absorbed,https://www.oxfordlearnersdictionaries.com/definition/english/self-absorbed,C2,self-absorbed,tự hấp thụ,adjective,/ˌself əbˈzɔːbd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/self_/self_absorbed_1_gb_2.mp3
opportunism,https://www.oxfordlearnersdictionaries.com/definition/english/opportunism,C2,opportunism,chủ nghĩa cơ hội,noun,/ˌɒpəˈtjuːnɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/opp/oppor/opportunism__gb_1.mp3
opportunist,https://www.oxfordlearnersdictionaries.com/definition/english/opportunist_2,C2,opportunist,kẻ cơ hội,noun,/ˌɒpəˈtjuːnɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/opp/oppor/opportunist__gb_1.mp3
self-indulgent,https://www.oxfordlearnersdictionaries.com/definition/english/self-indulgent,C2,self-indulgent,buông thả bản thân,adjective,/ˌself ɪnˈdʌldʒənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/self_/self_indulgent_1_gb_1.mp3
selfish,https://www.oxfordlearnersdictionaries.com/definition/english/selfish,B1,selfish,ích kỷ,adjective,/ˈselfɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/selfi/selfish__gb_2.mp3
self-regarding,https://www.oxfordlearnersdictionaries.com/definition/english/self-regarding,C2,self-regarding,tự quan tâm,adjective,/ˌself rɪˈɡɑːdɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/self_/self_regarding_1_gb_1.mp3
self-regard,https://www.oxfordlearnersdictionaries.com/definition/english/self-regard,C2,self-regard,lòng tự trọng,noun,/ˌself rɪˈɡɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/self_/self_regard_1_gb_1.mp3
self-pity,https://www.oxfordlearnersdictionaries.com/definition/english/self-pity,C1,self-pity,tự thương hại,noun,/ˌself ˈpɪti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/self_/self_pity_1_gb_1.mp3
self-serving,https://www.oxfordlearnersdictionaries.com/definition/english/self-serving,C2,self-serving,tự phục vụ,adjective,/ˌself ˈsɜːvɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/self_/self_serving_1_gb_1.mp3
self-indulgence,https://www.oxfordlearnersdictionaries.com/definition/english/self-indulgence,C2,self-indulgence,sự buông thả bản thân,noun,/ˌself ɪnˈdʌldʒəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/self_/self_indulgence_1_gb_1.mp3
