id,url,levels,word,translation,part_of_speech,ipa,audio_link
alcoholic,https://www.oxfordlearnersdictionaries.com/definition/english/alcoholic_1,B1,alcoholic,rượu,adjective,/ˌælkəˈhɒlɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcoholic__gb_1.mp3
addiction,https://www.oxfordlearnersdictionaries.com/definition/english/addiction,B2,addiction,nghiện,noun,/əˈdɪkʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addic/addiction__gb_1.mp3
cold_turkey,https://www.oxfordlearnersdictionaries.com/definition/english/cold-turkey_1,C2,cold turkey,gà tây lạnh,adverb,/ˌkəʊld ˈtɜːki/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/cold_/cold_turkey_1_gb_1.mp3
addicted,https://www.oxfordlearnersdictionaries.com/definition/english/addicted,B2,addicted,nghiện,adjective,/əˈdɪktɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addic/addicted__gb_1.mp3
addictive,https://www.oxfordlearnersdictionaries.com/definition/english/addictive,C1,addictive,gây nghiện,adjective,/əˈdɪktɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addic/addictive__gb_1.mp3
addict,https://www.oxfordlearnersdictionaries.com/definition/english/addict,C1,addict,người nghiện,noun,/ˈædɪkt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addic/addict__gb_1.mp3
alcoholic,https://www.oxfordlearnersdictionaries.com/definition/english/alcoholic_2,C1,alcoholic,rượu,noun,/ˌælkəˈhɒlɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcoholic__gb_1.mp3
alcoholism,https://www.oxfordlearnersdictionaries.com/definition/english/alcoholism,C2,alcoholism,chứng nghiện rượu,noun,/ˈælkəhɒlɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcoholism__gb_1.mp3
alcoholics_anonymous™,https://www.oxfordlearnersdictionaries.com/definition/english/alcoholics-anonymoustm,C2,Alcoholics Anonymous™,Người nghiện rượu ẩn danh™,noun,/ˌælkəˌhɒlɪks əˈnɒnɪməs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcoholics_anonymous_1_gb_1.mp3
cold_turkey,https://www.oxfordlearnersdictionaries.com/definition/english/cold-turkey_2,C2,cold turkey,gà tây lạnh,noun,/ˌkəʊld ˈtɜːki/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/cold_/cold_turkey_1_gb_1.mp3
