id,url,levels,word,translation,part_of_speech,ipa,audio_link
bulletin,https://www.oxfordlearnersdictionaries.com/definition/english/bulletin,C1,bulletin,bản tin,noun,/ˈbʊlətɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bul/bulle/bulletin__gb_3.mp3
call-in,https://www.oxfordlearnersdictionaries.com/definition/english/call-in_2,C1,call-in,cuộc gọi đến,noun,/ˈkɔːl ɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/call_/call_in_1_gb_1.mp3
docudrama,https://www.oxfordlearnersdictionaries.com/definition/english/docudrama,C2,docudrama,phim tài liệu,noun,/ˈdɒkjudrɑːmə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/doc/docud/docudrama__gb_2.mp3
documentary,https://www.oxfordlearnersdictionaries.com/definition/english/documentary_1,B1,documentary,phim tài liệu,noun,/ˌdɒkjuˈmentri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/doc/docum/documentary__gb_4.mp3
comedy,https://www.oxfordlearnersdictionaries.com/definition/english/comedy,A2,comedy,hài kịch,noun,/ˈkɒmədi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comed/comedy__gb_1.mp3
break,https://www.oxfordlearnersdictionaries.com/definition/english/break_2,B1,break,phá vỡ,noun,/breɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/break/break__gb_1.mp3
broadcast,https://www.oxfordlearnersdictionaries.com/definition/english/broadcast_2,B2,broadcast,phát tin,noun,/ˈbrɔːdkɑːst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broad/broadcast__gb_1.mp3
anime,https://www.oxfordlearnersdictionaries.com/definition/english/anime,C2,anime,phim hoạt hình,noun,/ˈænɪmeɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ani/anime/anime__gb_1.mp3
docusoap,https://www.oxfordlearnersdictionaries.com/definition/english/docusoap,C2,docusoap,docusoap,noun,/ˈdɒkjusəʊp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/doc/docus/docusoap__gb_1.mp3
double_bill,https://www.oxfordlearnersdictionaries.com/definition/english/double-bill,C2,double bill,hóa đơn gấp đôi,noun,/ˌdʌbl ˈbɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dou/doubl/double_bill_1_gb_1.mp3
drama,https://www.oxfordlearnersdictionaries.com/definition/english/drama,A2,drama,kịch,noun,/ˈdrɑːmə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dra/drama/drama__gb_2.mp3
feature,https://www.oxfordlearnersdictionaries.com/definition/english/feature_1,C1,feature,tính năng,noun,/ˈfiːtʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fea/featu/feature__gb_2.mp3
film,https://www.oxfordlearnersdictionaries.com/definition/english/film_1,A1,film,phim ảnh,noun,/fɪlm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fil/film_/film__gb_1.mp3
episode,https://www.oxfordlearnersdictionaries.com/definition/english/episode,B1,episode,tập phim,noun,/ˈepɪsəʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/epi/episo/episode__gb_1.mp3
film,https://www.oxfordlearnersdictionaries.com/definition/english/film_2,A2,film,phim ảnh,verb,/fɪlm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fil/film_/film__gb_1.mp3
instalment,https://www.oxfordlearnersdictionaries.com/definition/english/instalment,C2,instalment,trả góp,noun,/ɪnˈstɔːlmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ins/insta/instalment__gb_1.mp3
edutainment,https://www.oxfordlearnersdictionaries.com/definition/english/edutainment,C2,edutainment,giáo dục giải trí,noun,/ˌedʒuˈteɪnmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/edu/eduta/edutainment__gb_1.mp3
game_show,https://www.oxfordlearnersdictionaries.com/definition/english/game-show,B1,game show,trò chơi truyền hình,noun,/ˈɡeɪm ʃəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gam/game_/game_show_1_gb_1.mp3
infomercial,https://www.oxfordlearnersdictionaries.com/definition/english/infomercial,C2,infomercial,thông tin thương mại,noun,/ˌɪnfəʊˈmɜːʃl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inf/infom/infomercial__gb_1.mp3
newscast,https://www.oxfordlearnersdictionaries.com/definition/english/newscast,C2,newscast,bản tin,noun,/ˈnjuːzkɑːst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/new/newsc/newscast__gb_1.mp3
newsflash,https://www.oxfordlearnersdictionaries.com/definition/english/newsflash,C2,newsflash,tin tức,noun,/ˈnjuːzflæʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/new/newsf/newsflash__gb_1.mp3
live,https://www.oxfordlearnersdictionaries.com/definition/english/live2_1,B1,live,sống,adjective,/laɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/liv/live_/live__gb_2.mp3
laugh_track,https://www.oxfordlearnersdictionaries.com/definition/english/laugh-track,C2,laugh track,đường cười,noun,/ˈlɑːf træk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lau/laugh/laugh_track_1_gb_1.mp3
omnibus,https://www.oxfordlearnersdictionaries.com/definition/english/omnibus_1,C2,omnibus,xe buýt nhiều tầng,noun,/ˈɒmnɪbəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/omn/omnib/omnibus__gb_1.mp3
mockumentary,https://www.oxfordlearnersdictionaries.com/definition/english/mockumentary,C2,mockumentary,mô phỏng,noun,/ˌmɒkjuˈmentri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/moc/mocku/mockumentary__gb_2.mp3
open-line,https://www.oxfordlearnersdictionaries.com/definition/english/open-line_1,C2,open-line,đường dây mở,adjective,/ˌəʊpən ˈlaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ope/open_/open_line_1_gb_1.mp3
k-drama,https://www.oxfordlearnersdictionaries.com/definition/english/k-drama,C2,K-drama,phim truyền hình K,noun,/ˈkeɪ drɑːmə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/k_d/k_dra/k_drama_1_gb_1.mp3
miniseries,https://www.oxfordlearnersdictionaries.com/definition/english/miniseries,C2,miniseries,phim truyền hình ngắn tập,noun,/ˈmɪnisɪəriːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/min/minis/miniseries__gb_1.mp3
pilot,https://www.oxfordlearnersdictionaries.com/definition/english/pilot_1,C2,pilot,phi công,noun,/ˈpaɪlət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pil/pilot/pilot__gb_1.mp3
phone-in,https://www.oxfordlearnersdictionaries.com/definition/english/phone-in_2,C2,phone-in,điện thoại vào,noun,/ˈfəʊn ɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pho/phone/phone_in_1_gb_1.mp3
play,https://www.oxfordlearnersdictionaries.com/definition/english/play_2,A1,play,chơi,noun,/pleɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pla/play_/play__gb_1.mp3
panel_game,https://www.oxfordlearnersdictionaries.com/definition/english/panel-game,B2,panel game,trò chơi bảng điều khiển,noun,/ˈpænl ɡeɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pan/panel/panel_game_1_gb_1.mp3
programme,https://www.oxfordlearnersdictionaries.com/definition/english/programme_1,A1,programme,chương trình,noun,/ˈprəʊɡræm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/progr/programme__gb_2.mp3
reconstruction,https://www.oxfordlearnersdictionaries.com/definition/english/reconstruction,C1,reconstruction,tái thiết,noun,/ˌriːkənˈstrʌkʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rec/recon/reconstruction__gb_1.mp3
quiz,https://www.oxfordlearnersdictionaries.com/definition/english/quiz_1,A1,quiz,câu đố,noun,/kwɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/q/qui/quiz_/quiz__gb_1.mp3
repeat,https://www.oxfordlearnersdictionaries.com/definition/english/repeat_2,B1,repeat,lặp lại,noun,/rɪˈpiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rep/repea/repeat__gb_2.mp3
quiz_show,https://www.oxfordlearnersdictionaries.com/definition/english/quiz-show,A2,quiz show,chương trình đố vui,noun,/ˈkwɪz ʃəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/q/qui/quiz_/quiz_show_1_gb_1.mp3
reality_tv,https://www.oxfordlearnersdictionaries.com/definition/english/reality-tv,B2,reality TV,truyền hình thực tế,noun,/riˌæləti ˌtiː ˈviː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rea/reali/reality_tv_1_gb_1.mp3
police_procedural,https://www.oxfordlearnersdictionaries.com/definition/english/police-procedural,C2,police procedural,thủ tục cảnh sát,noun,/pəˌliːs prəˈsiːdʒərəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pol/polic/police_procedural_1_gb_1.mp3
replay,https://www.oxfordlearnersdictionaries.com/definition/english/replay_1,C1,replay,phát lại,noun,/ˈriːpleɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rep/repla/replay__gb_1.mp3
season,https://www.oxfordlearnersdictionaries.com/definition/english/season_1,B2,season,mùa,noun,/ˈsiːzn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sea/seaso/season__gb_1.mp3
series,https://www.oxfordlearnersdictionaries.com/definition/english/series,A2,series,loạt,noun,/ˈsɪəriːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/ser/serie/series__gb_3.mp3
roadshow,https://www.oxfordlearnersdictionaries.com/definition/english/roadshow,C2,roadshow,buổi trình diễn lưu động,noun,/ˈrəʊdʃəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/roa/roads/roadshow__gb_1.mp3
show,https://www.oxfordlearnersdictionaries.com/definition/english/show_2,A1,show,trình diễn,noun,/ʃəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sho/show_/show__gb_5.mp3
sitcom,https://www.oxfordlearnersdictionaries.com/definition/english/sitcom,B2,sitcom,phim sitcom,noun,/ˈsɪtkɒm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sit/sitco/sitcom__gb_1.mp3
situation_comedy,https://www.oxfordlearnersdictionaries.com/definition/english/situation-comedy,C1,situation comedy,tình huống hài,noun,/ˌsɪtʃueɪʃn ˈkɒmədi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sit/situa/situation_comedy_1_gb_1.mp3
sketch,https://www.oxfordlearnersdictionaries.com/definition/english/sketch_1,C1,sketch,phác họa,noun,/sketʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/ske/sketc/sketch__gb_1.mp3
serial,https://www.oxfordlearnersdictionaries.com/definition/english/serial_2,C1,serial,nối tiếp,noun,/ˈsɪəriəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/ser/seria/serial__gb_1.mp3
rerun,https://www.oxfordlearnersdictionaries.com/definition/english/rerun_1,C2,rerun,chạy lại,noun,/ˈriːrʌn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rer/rerun/rerun__gb_1.mp3
