id,url,levels,word,translation,part_of_speech,ipa,audio_link
caper,https://www.oxfordlearnersdictionaries.com/definition/english/caper_1,C2,caper,bạch hoa,noun,/ˈkeɪpə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cap/caper/caper__gb_1.mp3
canker,https://www.oxfordlearnersdictionaries.com/definition/english/canker,C2,canker,tai ương,noun,/ˈkæŋkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/can/canke/canker__gb_1.mp3
dare,https://www.oxfordlearnersdictionaries.com/definition/english/dare_2,C1,dare,dám,noun,/deə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dar/dare_/dare__gb_1.mp3
chance,https://www.oxfordlearnersdictionaries.com/definition/english/chance_1,A2,chance,cơ hội,noun,/tʃɑːns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chanc/chance__gb_4.mp3
cancer,https://www.oxfordlearnersdictionaries.com/definition/english/cancer_1,C2,cancer,bệnh ung thư,noun,/ˈkænsə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/can/cance/cancer__gb_2.mp3
adventure,https://www.oxfordlearnersdictionaries.com/definition/english/adventure,A2,adventure,cuộc phiêu lưu,noun,/ədˈventʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adven/adventure__gb_1.mp3
alert,https://www.oxfordlearnersdictionaries.com/definition/english/alert_2,C1,alert,báo động,noun,/əˈlɜːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ale/alert/alert__gb_1.mp3
an_accident/a_disaster_waiting_to_happen,https://www.oxfordlearnersdictionaries.com/definition/english/wait_1,C2,an accident/a disaster waiting to happen,một tai nạn/một thảm họa đang chực chờ xảy ra,verb,/weɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wai/wait_/wait__gb_1.mp3
a_leap_in_the_dark,https://www.oxfordlearnersdictionaries.com/definition/english/leap_2,C2,a leap in the dark,một bước nhảy vọt trong bóng tối,noun,/liːp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lea/leap_/leap__gb_1.mp3
death_trap,https://www.oxfordlearnersdictionaries.com/definition/english/death-trap,C2,death trap,cái bẫy chết,noun,/ˈdeθtræp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dea/death/death_trap_1_gb_1.mp3
gamble,https://www.oxfordlearnersdictionaries.com/definition/english/gamble_2,C1,gamble,cờ bạc,noun,/ˈɡæmbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gam/gambl/gamble__gb_2.mp3
frankenstein,https://www.oxfordlearnersdictionaries.com/definition/english/frankenstein,C2,Frankenstein,Frankenstein,noun,/ˈfræŋkənstaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fra/frank/frankenstein__gb_1.mp3
