id,url,levels,word,translation,part_of_speech,ipa,audio_link
admiration,https://www.oxfordlearnersdictionaries.com/definition/english/admiration,C1,admiration,sự ngưỡng mộ,noun,/ˌædməˈreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admir/admiration__gb_1.mp3
averse,https://www.oxfordlearnersdictionaries.com/definition/english/averse,C2,averse,ác cảm,adjective,/əˈvɜːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ave/avers/averse__gb_1.mp3
adore,https://www.oxfordlearnersdictionaries.com/definition/english/adore,B2,adore,ngưỡng mộ,verb,/əˈdɔː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ado/adore/adore__gb_1.mp3
aversion,https://www.oxfordlearnersdictionaries.com/definition/english/aversion,C2,aversion,ác cảm,noun,/əˈvɜːʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ave/avers/aversion__gb_1.mp3
be_sweet_on_somebody,https://www.oxfordlearnersdictionaries.com/definition/english/sweet_1,C2,be sweet on somebody,hãy ngọt ngào với ai đó,adjective,/swiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/swe/sweet/sweet__gb_1.mp3
faddiness,https://www.oxfordlearnersdictionaries.com/definition/english/faddiness,C2,faddiness,sự lỗi thời,noun,/ˈfædinəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fad/faddi/faddiness__gb_1.mp3
for_your_liking,https://www.oxfordlearnersdictionaries.com/definition/english/liking,C1,for your liking,theo sở thích của bạn,noun,/ˈlaɪkɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lik/likin/liking__gb_1.mp3
enamoured,https://www.oxfordlearnersdictionaries.com/definition/english/enamoured,C2,enamoured,say mê,adjective,/ɪˈnæməd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ena/enamo/enamoured__gb_1.mp3
an_acquired_taste,https://www.oxfordlearnersdictionaries.com/definition/english/acquire,C2,an acquired taste,một hương vị có được,verb,/əˈkwaɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acq/acqui/acquire__gb_2.mp3
faddy,https://www.oxfordlearnersdictionaries.com/definition/english/faddy,C2,faddy,mốt nhất thời,adjective,/ˈfædi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fad/faddy/faddy__gb_1.mp3
go_off,https://www.oxfordlearnersdictionaries.com/definition/english/go-off,C2,go off,rời đi,phrasal verb,,
have_a_sweet_tooth,https://www.oxfordlearnersdictionaries.com/definition/english/sweet_1,C2,have a sweet tooth,thích ngọt ngào,adjective,/swiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/swe/sweet/sweet__gb_1.mp3
