id,url,levels,word,translation,part_of_speech,ipa,audio_link
attack,https://www.oxfordlearnersdictionaries.com/definition/english/attack_2,B2,attack,tấn công,verb,/əˈtæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/attac/attack__gb_1.mp3
attacker,https://www.oxfordlearnersdictionaries.com/definition/english/attacker,B2,attacker,kẻ tấn công,noun,/əˈtækə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/attac/attacker__gb_1.mp3
ballhawk,https://www.oxfordlearnersdictionaries.com/definition/english/ballhawk,C2,ballhawk,chim ưng,noun,/ˈbɔːlhɔːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/ballh/ballhawk__gb_2.mp3
bench,https://www.oxfordlearnersdictionaries.com/definition/english/bench_2,C2,bench,băng ghế dự bị,verb,/bentʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ben/bench/bench__gb_5.mp3
ball,https://www.oxfordlearnersdictionaries.com/definition/english/ball_1,A1,ball,quả bóng,noun,/bɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/ball_/ball__gb_3.mp3
back-to-back,https://www.oxfordlearnersdictionaries.com/definition/english/back-to-back_2,C2,back-to-back,quay lại phía sau,noun,/ˌbæk tə ˈbæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/back_/back_to_back_1_gb_1.mp3
away,https://www.oxfordlearnersdictionaries.com/definition/english/away_1,B2,away,xa,adverb,/əˈweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/awa/away_/away__gb_1.mp3
away,https://www.oxfordlearnersdictionaries.com/definition/english/away_2,B2,away,xa,adjective,/əˈweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/awa/away_/away__gb_1.mp3
at_home,https://www.oxfordlearnersdictionaries.com/definition/english/home_1,C1,at home,ở nhà,noun,/həʊm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hom/home_/home__gb_1.mp3
catch,https://www.oxfordlearnersdictionaries.com/definition/english/catch_1,A2,catch,nắm lấy,verb,/kætʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cat/catch/catch__gb_2.mp3
cap,https://www.oxfordlearnersdictionaries.com/definition/english/cap_2,C2,cap,mũ lưỡi trai,verb,/kæp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cap/cap__/cap__gb_2.mp3
clutch,https://www.oxfordlearnersdictionaries.com/definition/english/clutch_3,C2,clutch,ly hợp,adjective,/klʌtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clu/clutc/clutch__gb_1.mp3
coliseum,https://www.oxfordlearnersdictionaries.com/definition/english/coliseum,C2,coliseum,đấu trường,noun,/ˌkɒləˈsiːəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colis/coliseum__gb_1.mp3
club,https://www.oxfordlearnersdictionaries.com/definition/english/club_1,A1,club,câu lạc bộ,noun,/klʌb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clu/club_/club__gb_1.mp3
