id,url,levels,word,translation,part_of_speech,ipa,audio_link
active_service,https://www.oxfordlearnersdictionaries.com/definition/english/active-service,C1,active service,dịch vụ đang hoạt động,noun,/ˌæktɪv ˈsɜːvɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/active_service_1_gb_1.mp3
command,https://www.oxfordlearnersdictionaries.com/definition/english/command_2,B2,command,yêu cầu,verb,/kəˈmɑːnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comma/command__gb_1.mp3
commander,https://www.oxfordlearnersdictionaries.com/definition/english/commander,B2,commander,người chỉ huy,noun,/kəˈmɑːndə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comma/commander__gb_1.mp3
cashier,https://www.oxfordlearnersdictionaries.com/definition/english/cashier_2,C2,cashier,thu ngân,verb,/kæˈʃɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/cashi/cashier__gb_1.mp3
armed_forces,https://www.oxfordlearnersdictionaries.com/definition/english/the-armed-forces,B2,armed forces,lực lượng vũ trang,noun,/ði ˌɑːmd ˈfɔːsɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arm/armed/armed_forces_the_1_gb_1.mp3
colonel,https://www.oxfordlearnersdictionaries.com/definition/english/colonel,C1,colonel,đại tá,noun,/ˈkɜːnl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colon/colonel__gb_1.mp3
active_duty,https://www.oxfordlearnersdictionaries.com/definition/english/active-duty,C1,active duty,nhiệm vụ tích cực,noun,/ˌæktɪv ˈdjuːti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/active_duty_1_gb_1.mp3
brigadier_general,https://www.oxfordlearnersdictionaries.com/definition/english/brigadier-general,C2,brigadier general,thiếu tướng,noun,/ˌbrɪɡədɪə ˈdʒenrəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/briga/brigadier_general_1_gb_1.mp3
captain,https://www.oxfordlearnersdictionaries.com/definition/english/captain_1,B1,captain,đội trưởng,noun,/ˈkæptɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cap/capta/captain__gb_1.mp3
aide-de-camp,https://www.oxfordlearnersdictionaries.com/definition/english/aide-de-camp,C2,aide-de-camp,trợ lý trại,noun,/ˌeɪd də ˈkɒ̃/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aid/aide_/aide_de_camp_1_gb_1.mp3
corporal,https://www.oxfordlearnersdictionaries.com/definition/english/corporal,C2,corporal,hạ sĩ,noun,/ˈkɔːpərəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corpo/corporal__gb_1.mp3
draft,https://www.oxfordlearnersdictionaries.com/definition/english/draft_2,C2,draft,bản nháp,verb,/drɑːft/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dra/draft/draft__gb_3.mp3
draft,https://www.oxfordlearnersdictionaries.com/definition/english/draft_1,C2,draft,bản nháp,noun,/drɑːft/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dra/draft/draft__gb_3.mp3
corpsman,https://www.oxfordlearnersdictionaries.com/definition/english/corpsman,C2,corpsman,quân nhân,noun,/ˈkɔːmən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corps/corpsman__gb_1.mp3
deserter,https://www.oxfordlearnersdictionaries.com/definition/english/deserter,B2,deserter,kẻ đào ngũ,noun,/dɪˈzɜːtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/deser/deserter__gb_2.mp3
lieutenant_colonel,https://www.oxfordlearnersdictionaries.com/definition/english/lieutenant-colonel,C2,lieutenant colonel,trung tá,noun,/lefˌtenənt ˈkɜːnl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lie/lieut/lieutenant_colonel_1_gb_1.mp3
lieutenant,https://www.oxfordlearnersdictionaries.com/definition/english/lieutenant,C2,lieutenant,trung úy,noun,/lefˈtenənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lie/lieut/lieutenant__gb_1.mp3
general,https://www.oxfordlearnersdictionaries.com/definition/english/general_2,C1,general,tổng quan,noun,/ˈdʒenrəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gener/general__gb_1.mp3
ex-service,https://www.oxfordlearnersdictionaries.com/definition/english/ex-service,C2,ex-service,cựu quân nhân,adjective,/ˌeks ˈsɜːvɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ex_/ex_se/ex_service_1_gb_1.mp3
dress_uniform,https://www.oxfordlearnersdictionaries.com/definition/english/dress-uniform,C2,dress uniform,váy đồng phục,noun,/ˈdres juːnɪfɔːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dre/dress/dress_uniform_1_gb_1.mp3
major_general,https://www.oxfordlearnersdictionaries.com/definition/english/major-general,C2,major general,thiếu tướng,noun,/ˌmeɪdʒə ˈdʒenrəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/maj/major/major_general_1_gb_1.mp3
marshal,https://www.oxfordlearnersdictionaries.com/definition/english/marshal_1,C2,marshal,nguyên soái,noun,/ˈmɑːʃl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marsh/marshal__gb_1.mp3
rank,https://www.oxfordlearnersdictionaries.com/definition/english/rank_1,B2,rank,thứ hạng,noun,/ræŋk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/ran/rank_/rank__gb_2.mp3
recruit,https://www.oxfordlearnersdictionaries.com/definition/english/recruit_2,B2,recruit,tuyển dụng,noun,/rɪˈkruːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rec/recru/recruit__gb_1.mp3
major,https://www.oxfordlearnersdictionaries.com/definition/english/major_2,C1,major,lớn lao,noun,/ˈmeɪdʒə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/maj/major/major__gb_2.mp3
recruit,https://www.oxfordlearnersdictionaries.com/definition/english/recruit_1,B2,recruit,tuyển dụng,verb,/rɪˈkruːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rec/recru/recruit__gb_1.mp3
naafi,https://www.oxfordlearnersdictionaries.com/definition/english/naafi,C2,NAAFI,NAAFI,noun,/ˈnæfi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/naa/naafi/naafi__gb_1.mp3
military_police,https://www.oxfordlearnersdictionaries.com/definition/english/military-police,C1,military police,quân cảnh,noun,/ˌmɪlətri pəˈliːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mil/milit/military_police_1_gb_1.mp3
master_corporal,https://www.oxfordlearnersdictionaries.com/definition/english/master-corporal,C2,master corporal,hạ sĩ trưởng,noun,/ˌmɑːstə ˈkɔːpərəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mas/maste/master_corporal_1_gb_1.mp3
reservist,https://www.oxfordlearnersdictionaries.com/definition/english/reservist,C2,reservist,quân dự bị,noun,/rɪˈzɜːvɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/res/reser/reservist__gb_1.mp3
sergeant,https://www.oxfordlearnersdictionaries.com/definition/english/sergeant,C2,sergeant,trung sĩ,noun,/ˈsɑːdʒənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/ser/serge/sergeant__gb_1.mp3
service,https://www.oxfordlearnersdictionaries.com/definition/english/service_1,B2,service,dịch vụ,noun,/ˈsɜːvɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/ser/servi/service__gb_2.mp3
signaller,https://www.oxfordlearnersdictionaries.com/definition/english/signaller,C2,signaller,người báo hiệu,noun,/ˈsɪɡnələ(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sig/signa/signaller__gb_1.mp3
squadron,https://www.oxfordlearnersdictionaries.com/definition/english/squadron,C2,squadron,phi đội,noun,/ˈskwɒdrən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/squ/squad/squadron__gb_1.mp3
servicewoman,https://www.oxfordlearnersdictionaries.com/definition/english/servicewoman,C1,servicewoman,nữ phục vụ,noun,/ˈsɜːvɪswʊmən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/ser/servi/serviceman__gb_2.mp3
second_lieutenant,https://www.oxfordlearnersdictionaries.com/definition/english/second-lieutenant,C2,second lieutenant,thiếu úy,noun,/ˌsekənd ˌlefˈtenənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sec/secon/second_lieutenant_1_gb_1.mp3
signalman,https://www.oxfordlearnersdictionaries.com/definition/english/signalman,C2,signalman,người báo hiệu,noun,/ˈsɪɡnəlmən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sig/signa/signalman__gb_1.mp3
staff_sergeant,https://www.oxfordlearnersdictionaries.com/definition/english/staff-sergeant,C2,staff sergeant,trung sĩ,noun,/ˈstɑːf sɑːdʒənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/staff/staff_sergeant_1_gb_1.mp3
station,https://www.oxfordlearnersdictionaries.com/definition/english/station_1,C1,station,ga tàu,noun,/ˈsteɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/stati/station__gb_2.mp3
tour_of_duty,https://www.oxfordlearnersdictionaries.com/definition/english/tour-of-duty,C2,tour of duty,chuyến đi làm nhiệm vụ,noun,/ˌtʊər əv ˈdjuːti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tou/tour_/tour_of_duty_1_gb_1.mp3
veteran,https://www.oxfordlearnersdictionaries.com/definition/english/veteran,C1,veteran,cựu chiến binh,noun,/ˈvetərən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/v/vet/veter/veteran__gb_1.mp3
