id,url,levels,word,translation,part_of_speech,ipa,audio_link
affordable_housing,https://www.oxfordlearnersdictionaries.com/definition/english/affordable-housing,C1,affordable housing,nhà ở giá phải chăng,noun,/əˌfɔːdəbl ˈhaʊzɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affor/affordable_housing_1_gb_1.mp3
aid,https://www.oxfordlearnersdictionaries.com/definition/english/aid_1,B2,aid,sự giúp đỡ,noun,/eɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aid/aid__/aid__gb_2.mp3
appeal,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_1,B2,appeal,bắt mắt,noun,/əˈpiːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appea/appeal__gb_1.mp3
ally,https://www.oxfordlearnersdictionaries.com/definition/english/ally_1,C2,ally,đồng minh,noun,/ˈælaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/ally_/ally__gb_1.mp3
advocacy_group,https://www.oxfordlearnersdictionaries.com/definition/english/advocacy-group,C2,advocacy group,nhóm vận động,noun,/ˈædvəkəsi ɡruːp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advoc/advocacy_group_1_gb_1.mp3
alms,https://www.oxfordlearnersdictionaries.com/definition/english/alms,C2,alms,bố thí,noun,/ɑːmz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alm/alms_/alms__gb_1.mp3
affinity_card,https://www.oxfordlearnersdictionaries.com/definition/english/affinity-card,C2,affinity card,thẻ thân thiết,noun,/əˈfɪnəti kɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affin/affinity_card_1_gb_1.mp3
appeal,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_2,B2,appeal,bắt mắt,verb,/əˈpiːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appea/appeal__gb_1.mp3
bazaar,https://www.oxfordlearnersdictionaries.com/definition/english/bazaar,C2,bazaar,chợ,noun,/bəˈzɑː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/baz/bazaa/bazaar__gb_1.mp3
assist,https://www.oxfordlearnersdictionaries.com/definition/english/assist_1,B1,assist,hỗ trợ,verb,/əˈsɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assis/assist__gb_1.mp3
assistance,https://www.oxfordlearnersdictionaries.com/definition/english/assistance,B2,assistance,hỗ trợ,noun,/əˈsɪstəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assis/assistance__gb_2.mp3
aid_agency,https://www.oxfordlearnersdictionaries.com/definition/english/aid-agency,B2,aid agency,cơ quan viện trợ,noun,/ˈeɪd eɪdʒənsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aid/aid_a/aid_agency_1_gb_1.mp3
charitable,https://www.oxfordlearnersdictionaries.com/definition/english/charitable,C1,charitable,từ thiện,adjective,/ˈtʃærətəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chari/charitable__gb_1.mp3
benefactor,https://www.oxfordlearnersdictionaries.com/definition/english/benefactor,C2,benefactor,ân nhân,noun,/ˈbenɪfæktə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ben/benef/benefactor__gb_1.mp3
allyship,https://www.oxfordlearnersdictionaries.com/definition/english/allyship,C2,allyship,tàu đồng minh,noun,/ˈælaɪʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allys/allyship__gb_1.mp3
charity,https://www.oxfordlearnersdictionaries.com/definition/english/charity,A2,charity,tổ chức từ thiện,noun,/ˈtʃærəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chari/charity__gb_1.mp3
donation,https://www.oxfordlearnersdictionaries.com/definition/english/donation,B2,donation,quyên góp,noun,/dəʊˈneɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/don/donat/donation__gb_1.mp3
donate,https://www.oxfordlearnersdictionaries.com/definition/english/donate,B1,donate,quyên tặng,verb,/dəʊˈneɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/don/donat/donate__gb_1.mp3
collection,https://www.oxfordlearnersdictionaries.com/definition/english/collection,B2,collection,bộ sưu tập,noun,/kəˈlekʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colle/collection__gb_1.mp3
bring-and-buy_sale,https://www.oxfordlearnersdictionaries.com/definition/english/bring-and-buy-sale,C2,bring-and-buy sale,bán mang đi và mua,noun,/ˌbrɪŋ ən ˈbaɪ seɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/bring/bring_and_buy_sale_1_gb_1.mp3
donor,https://www.oxfordlearnersdictionaries.com/definition/english/donor,C1,donor,nhà tài trợ,noun,/ˈdəʊnə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/don/donor/donor__gb_3.mp3
community_service,https://www.oxfordlearnersdictionaries.com/definition/english/community-service,B2,community service,dịch vụ cộng đồng,noun,/kəˌmjuːnəti ˈsɜːvɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commu/community_service_1_gb_1.mp3
flag_day,https://www.oxfordlearnersdictionaries.com/definition/english/flag-day,C2,flag day,ngày chào cờ,noun,/ˈflæɡ deɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fla/flag_/flag_day_1_gb_1.mp3
deed_of_covenant,https://www.oxfordlearnersdictionaries.com/definition/english/deed-of-covenant,C2,deed of covenant,chứng thư giao ước,noun,/ˌdiːd əv ˈkʌvənənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dee/deed_/deed_of_covenant_1_gb_1.mp3
charity_shop,https://www.oxfordlearnersdictionaries.com/definition/english/charity-shop,B2,charity shop,cửa hàng từ thiện,noun,/ˈtʃærəti ʃɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chari/charity_shop_1_gb_1.mp3
food_bank,https://www.oxfordlearnersdictionaries.com/definition/english/food-bank,C1,food bank,ngân hàng thực phẩm,noun,/ˈfuːd bæŋk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/food_/food_bank_1_gb_1.mp3
foundation,https://www.oxfordlearnersdictionaries.com/definition/english/foundation,B2,foundation,sự thành lập,noun,/faʊnˈdeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fou/found/foundation__gb_1.mp3
friend,https://www.oxfordlearnersdictionaries.com/definition/english/friend_1,C2,friend,người bạn,noun,/frend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fri/frien/friend__gb_1.mp3
fund,https://www.oxfordlearnersdictionaries.com/definition/english/fund_1,B2,fund,quỹ,noun,/fʌnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fun/fund_/fund__gb_2.mp3
fund,https://www.oxfordlearnersdictionaries.com/definition/english/fund_2,B2,fund,quỹ,verb,/fʌnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fun/fund_/fund__gb_2.mp3
food_parcel,https://www.oxfordlearnersdictionaries.com/definition/english/food-parcel,B2,food parcel,gói thực phẩm,noun,/ˈfuːd pɑːsl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/food_/food_parcel_1_gb_1.mp3
food_pantry,https://www.oxfordlearnersdictionaries.com/definition/english/food-pantry,C2,food pantry,phòng đựng thức ăn,noun,/ˈfuːd pæntri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/food_/food_pantry_1_gb_1.mp3
food_stamp,https://www.oxfordlearnersdictionaries.com/definition/english/food-stamp,C2,food stamp,tem thực phẩm,noun,/ˈfuːd stæmp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/food_/food_stamp_1_gb_1.mp3
fun_run,https://www.oxfordlearnersdictionaries.com/definition/english/fun-run,C2,fun run,chạy vui vẻ,noun,/ˈfʌn rʌn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fun/fun_r/fun_run_1_gb_1.mp3
give,https://www.oxfordlearnersdictionaries.com/definition/english/give_1,A1,give,đưa cho,verb,/ɡɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/giv/give_/give__gb_3.mp3
fundraise,https://www.oxfordlearnersdictionaries.com/definition/english/fundraise,C1,fundraise,gây quỹ,verb,/ˈfʌndreɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fun/fundr/fundraise__gb_1.mp3
handout,https://www.oxfordlearnersdictionaries.com/definition/english/handout,C2,handout,tờ rơi,noun,/ˈhændaʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/han/hando/handout__gb_1.mp3
help,https://www.oxfordlearnersdictionaries.com/definition/english/help_1,A1,help,giúp đỡ,verb,/help/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hel/help_/help__gb_1.mp3
help,https://www.oxfordlearnersdictionaries.com/definition/english/help_2,A1,help,giúp đỡ,noun,/help/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hel/help_/help__gb_1.mp3
funding,https://www.oxfordlearnersdictionaries.com/definition/english/funding,B2,funding,tài trợ,noun,/ˈfʌndɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fun/fundi/funding__gb_3.mp3
fundraising,https://www.oxfordlearnersdictionaries.com/definition/english/fundraising,C1,fundraising,gây quỹ,noun,/ˈfʌndreɪzɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fun/fund_/fund_raising_1_gb_1.mp3
fundraiser,https://www.oxfordlearnersdictionaries.com/definition/english/fundraiser,C2,fundraiser,gây quỹ,noun,/ˈfʌndreɪzə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fun/fund_/fund_raiser_1_gb_1.mp3
helper,https://www.oxfordlearnersdictionaries.com/definition/english/helper,B1,helper,người trợ giúp,noun,/ˈhelpə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hel/helpe/helper__gb_1.mp3
housing_association,https://www.oxfordlearnersdictionaries.com/definition/english/housing-association,C2,housing association,hiệp hội nhà ở,noun,/ˈhaʊzɪŋ əsəʊsieɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hou/housi/housing_association_1_gb_1.mp3
