id,url,levels,word,translation,part_of_speech,ipa,audio_link
auburn,https://www.oxfordlearnersdictionaries.com/definition/english/auburn_1,C2,auburn,màu nâu vàng,adjective,/ˈɔːbən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aub/aubur/auburn__gb_1.mp3
aureate,https://www.oxfordlearnersdictionaries.com/definition/english/aureate,C2,aureate,có màu vàng,adjective,/ˈɔːriət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aur/aurea/aureate__gb_1.mp3
apricot,https://www.oxfordlearnersdictionaries.com/definition/english/apricot_2,C2,apricot,quả mơ,adjective,/ˈeɪprɪkɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/apr/apric/apricot__gb_1.mp3
amber,https://www.oxfordlearnersdictionaries.com/definition/english/amber_1,C2,amber,hổ phách,adjective,/ˈæmbə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amb/amber/amber__gb_1.mp3
azure,https://www.oxfordlearnersdictionaries.com/definition/english/azure_1,C2,azure,màu xanh,adjective,/ˈæʒə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/azu/azure/azure__gb_1.mp3
aquamarine,https://www.oxfordlearnersdictionaries.com/definition/english/aquamarine_2,C2,aquamarine,aquamarine,adjective,/ˌækwəməˈriːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aqu/aquam/aquamarine__gb_1.mp3
black,https://www.oxfordlearnersdictionaries.com/definition/english/black_1,A1,black,đen,adjective,/blæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/black/black__gb_2.mp3
bay,https://www.oxfordlearnersdictionaries.com/definition/english/bay_3,C2,bay,vịnh,adjective,/beɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bay/bay__/bay__gb_3.mp3
baby_blue,https://www.oxfordlearnersdictionaries.com/definition/english/baby-blue_1,C2,baby blue,em bé màu xanh,adjective,/ˌbeɪbi ˈbluː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bab/baby_/baby_blue_1_gb_1.mp3
beige,https://www.oxfordlearnersdictionaries.com/definition/english/beige_1,C1,beige,be,adjective,/beɪʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bei/beige/beige__gb_2.mp3
blackness,https://www.oxfordlearnersdictionaries.com/definition/english/blackness,B2,blackness,sự đen tối,noun,/ˈblæknəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/black/blackness__gb_1.mp3
black,https://www.oxfordlearnersdictionaries.com/definition/english/black_2,A1,black,đen,noun,/blæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/black/black__gb_2.mp3
blue,https://www.oxfordlearnersdictionaries.com/definition/english/blue_1,A1,blue,màu xanh da trời,adjective,/bluː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/blue_/blue__gb_2.mp3
bottle_green,https://www.oxfordlearnersdictionaries.com/definition/english/bottle-green_1,C2,bottle green,chai xanh,noun,/ˌbɒtl ˈɡriːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/bottl/bottle_green_1_gb_1.mp3
blonde,https://www.oxfordlearnersdictionaries.com/definition/english/blonde_1,A1,blonde,tóc vàng,adjective,/blɒnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blond/blonde__gb_2.mp3
bluish,https://www.oxfordlearnersdictionaries.com/definition/english/bluish,C1,bluish,hơi xanh,adjective,/ˈbluːɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/bluis/bluish__gb_2.mp3
blueness,https://www.oxfordlearnersdictionaries.com/definition/english/blueness,B2,blueness,màu xanh,noun,/ˈbluːnəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/bluen/blueness__gb_1.mp3
blue,https://www.oxfordlearnersdictionaries.com/definition/english/blue_2,A1,blue,màu xanh da trời,noun,/bluː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/blue_/blue__gb_2.mp3
blood-red,https://www.oxfordlearnersdictionaries.com/definition/english/blood-red,B2,blood-red,màu đỏ máu,adjective,/ˌblʌd ˈred/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blood/blood_red_1_gb_1.mp3
bottle-green,https://www.oxfordlearnersdictionaries.com/definition/english/bottle-green_2,C2,bottle-green,màu xanh chai,adjective,/ˌbɒtl ˈɡriːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/bottl/bottle_green_1_gb_1.mp3
brighten,https://www.oxfordlearnersdictionaries.com/definition/english/brighten,C1,brighten,làm sáng lên,verb,/ˈbraɪtn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brigh/brighten__gb_1.mp3
bright,https://www.oxfordlearnersdictionaries.com/definition/english/bright_1,A2,bright,sáng,adjective,/braɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brigh/bright_1_gb_1.mp3
brassy,https://www.oxfordlearnersdictionaries.com/definition/english/brassy,C2,brassy,đồng thau,adjective,/ˈbrɑːsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/brass/brassy__gb_1.mp3
bronze,https://www.oxfordlearnersdictionaries.com/definition/english/bronze_2,C1,bronze,đồng,adjective,/brɒnz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/bronz/bronze__gb_1.mp3
brightness,https://www.oxfordlearnersdictionaries.com/definition/english/brightness,B2,brightness,độ sáng,noun,/ˈbraɪtnəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brigh/brightness__gb_1.mp3
brazen,https://www.oxfordlearnersdictionaries.com/definition/english/brazen_1,C2,brazen,trơ trẽn,adjective,/ˈbreɪzn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/braze/brazen__gb_1.mp3
brownish,https://www.oxfordlearnersdictionaries.com/definition/english/brownish,C1,brownish,hơi nâu,adjective,/ˈbraʊnɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brown/brownish__gb_1.mp3
brown,https://www.oxfordlearnersdictionaries.com/definition/english/brown_2,A1,brown,màu nâu,noun,/braʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brown/brown_1_gb_1.mp3
brown,https://www.oxfordlearnersdictionaries.com/definition/english/brown_1,A1,brown,màu nâu,adjective,/braʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brown/brown_1_gb_1.mp3
buff,https://www.oxfordlearnersdictionaries.com/definition/english/buff_2,C2,buff,đánh bóng,adjective,/bʌf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/buf/buff_/buff__gb_2.mp3
burgundy,https://www.oxfordlearnersdictionaries.com/definition/english/burgundy_1,C2,burgundy,màu đỏ tía,noun,/ˈbɜːɡəndi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bur/burgu/burgundy__gb_2.mp3
