id,url,levels,word,translation,part_of_speech,ipa,audio_link
ar,https://www.oxfordlearnersdictionaries.com/definition/english/ar_2,C2,AR,AR,noun,/ˌeɪ ˈɑː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ar_/ar_1_/ar_1_gb_1.mp3
add-in,https://www.oxfordlearnersdictionaries.com/definition/english/add-in_2,C2,add-in,bổ trợ,noun,/ˈæd ɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/add_i/add_in_1_gb_1.mp3
alert,https://www.oxfordlearnersdictionaries.com/definition/english/alert_2,C1,alert,báo động,noun,/əˈlɜːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ale/alert/alert__gb_1.mp3
app,https://www.oxfordlearnersdictionaries.com/definition/english/app,A2,app,ứng dụng,noun,/æp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/app__/app__gb_1.mp3
animation,https://www.oxfordlearnersdictionaries.com/definition/english/animation,B2,animation,hoạt hình,noun,/ˌænɪˈmeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ani/anima/animation__gb_1.mp3
application,https://www.oxfordlearnersdictionaries.com/definition/english/application,C1,application,ứng dụng,noun,/ˌæplɪˈkeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appli/application__gb_2.mp3
analogue,https://www.oxfordlearnersdictionaries.com/definition/english/analogue_1,C1,analogue,tương tự,adjective,/ˈænəlɒɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ana/analo/analogue__gb_1.mp3
algorithm,https://www.oxfordlearnersdictionaries.com/definition/english/algorithm,C2,algorithm,thuật toán,noun,/ˈælɡərɪðəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alg/algor/algorithm__gb_1.mp3
applet,https://www.oxfordlearnersdictionaries.com/definition/english/applet,C2,applet,tiểu dụng,noun,/ˈæplət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/apple/applet__gb_1.mp3
autocorrect,https://www.oxfordlearnersdictionaries.com/definition/english/autocorrect_1,C2,autocorrect,tự động sửa,noun,/ˈɔːtəʊkərekt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aut/autoc/autocorrect__gb_1.mp3
antivirus,https://www.oxfordlearnersdictionaries.com/definition/english/antivirus,C1,antivirus,chống virus,adjective,/ˈæntivaɪrəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/antiv/antivirus__gb_1.mp3
back_end,https://www.oxfordlearnersdictionaries.com/definition/english/back-end_1,C2,back end,phần cuối,noun,/ˌbæk ˈend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/back_/back_end_1_gb_1.mp3
autocorrect,https://www.oxfordlearnersdictionaries.com/definition/english/autocorrect_2,C2,autocorrect,tự động sửa,verb,/ˌɔːtəʊkəˈrekt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aut/autoc/autocorrect__gb_2.mp3
blockchain,https://www.oxfordlearnersdictionaries.com/definition/english/blockchain,C2,blockchain,chuỗi khối,noun,/ˈblɒktʃeɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/block/blockchain__gb_1.mp3
bootstrap,https://www.oxfordlearnersdictionaries.com/definition/english/bootstrap_1,C2,bootstrap,khởi động,noun,/ˈbuːtstræp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/boots/bootstrap__gb_1.mp3
backup,https://www.oxfordlearnersdictionaries.com/definition/english/backup,C1,backup,hỗ trợ,noun,/ˈbækʌp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backu/backup__gb_1.mp3
beta_version,https://www.oxfordlearnersdictionaries.com/definition/english/beta-version,C2,beta version,phiên bản thử nghiệm,noun,/ˈbiːtə vɜːʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bet/beta_/beta_version_1_gb_2.mp3
bootstrap,https://www.oxfordlearnersdictionaries.com/definition/english/bootstrap_2,C2,bootstrap,khởi động,verb,/ˈbuːtstræp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/boots/bootstrap__gb_1.mp3
back_up,https://www.oxfordlearnersdictionaries.com/definition/english/back-up,C1,back up,hỗ trợ,phrasal verb,,
bot,https://www.oxfordlearnersdictionaries.com/definition/english/bot,C1,bot,bot,noun,/bɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/bot__/bot__gb_2.mp3
bundle,https://www.oxfordlearnersdictionaries.com/definition/english/bundle_1,C2,bundle,bó,noun,/ˈbʌndl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bun/bundl/bundle__gb_2.mp3
chatbot,https://www.oxfordlearnersdictionaries.com/definition/english/chatbot,C2,chatbot,chatbot,noun,/ˈtʃætbɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chatb/chatbot__gb_1.mp3
