id,url,levels,word,translation,part_of_speech,ipa,audio_link
kennel,https://www.oxfordlearnersdictionaries.com/definition/english/kennel,C2,kennel,cũi,noun,/ˈkenl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/ken/kenne/kennel__gb_2.mp3
drey,https://www.oxfordlearnersdictionaries.com/definition/english/drey,C2,drey,khô khan,noun,/dreɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dre/drey_/drey__gb_2.mp3
burrow,https://www.oxfordlearnersdictionaries.com/definition/english/burrow_2,C2,burrow,đào hang,noun,/ˈbʌrəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bur/burro/burrow__gb_1.mp3
lair,https://www.oxfordlearnersdictionaries.com/definition/english/lair,C2,lair,hang ổ,noun,/leə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lai/lair_/lair__gb_1.mp3
dolphinarium,https://www.oxfordlearnersdictionaries.com/definition/english/dolphinarium,C2,dolphinarium,bể cá heo,noun,/ˌdɒlfɪˈneəriəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dol/dolph/dolphinarium__gb_3.mp3
den,https://www.oxfordlearnersdictionaries.com/definition/english/den,C1,den,cái hang,noun,/den/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/den/den__/den__gb_1.mp3
cage,https://www.oxfordlearnersdictionaries.com/definition/english/cage_1,B2,cage,cái lồng,noun,/keɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cag/cage_/cage__gb_3.mp3
lodge,https://www.oxfordlearnersdictionaries.com/definition/english/lodge_1,C2,lodge,nhà trọ,noun,/lɒdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lod/lodge/lodge__gb_1.mp3
forever_home,https://www.oxfordlearnersdictionaries.com/definition/english/forever-home,C2,forever home,mãi mãi là nhà,noun,/fərˈevə həʊm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/for/forev/forever_home_1_gb_1.mp3
sett,https://www.oxfordlearnersdictionaries.com/definition/english/sett,C2,sett,giải quyết,noun,/set/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/set/sett_/sett__gb_1.mp3
hutch,https://www.oxfordlearnersdictionaries.com/definition/english/hutch,C2,hutch,cái chuồng,noun,/hʌtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hut/hutch/hutch__gb_1.mp3
